symbol,date,open,high,low,close,volume,year,month,week,weekday
"STG","2010-03-02","3.6","3.6","3.6","3.6","10","2010","03","10","Tuesday"
"STG","2010-03-03","3.78","3.78","3.78","3.78","10","2010","03","10","Wednesday"
"STG","2010-03-04","3.78","3.78","3.78","3.78","10","2010","03","10","Thursday"
"STG","2010-03-05","3.96","3.96","3.96","3.96","1110","2010","03","10","Friday"
"STG","2010-03-08","4.16","4.16","4.16","4.16","20","2010","03","11","Monday"
"STG","2010-03-09","4.36","4.36","4.36","4.36","120","2010","03","11","Tuesday"
"STG","2010-03-10","4.57","4.57","4.57","4.57","2310","2010","03","11","Wednesday"
"STG","2010-03-11","4.79","4.79","4.79","4.79","1080","2010","03","11","Thursday"
"STG","2010-03-12","5.01","5.01","5.01","5.01","9110","2010","03","11","Friday"
"STG","2010-03-15","5.26","5.26","5.26","5.26","12000","2010","03","12","Monday"
"STG","2010-03-16","5.51","5.51","5.51","5.51","17150","2010","03","12","Tuesday"
"STG","2010-03-17","5.78","5.78","5.78","5.78","32910","2010","03","12","Wednesday"
"STG","2010-03-18","6.07","6.07","5.78","6.01","51450","2010","03","12","Thursday"
"STG","2010-03-19","5.71","6.01","5.71","5.71","12960","2010","03","12","Friday"
"STG","2010-03-22","5.71","5.71","5.42","5.63","8800","2010","03","13","Monday"
"STG","2010-03-23","5.63","5.78","5.51","5.63","4300","2010","03","13","Tuesday"
"STG","2010-03-24","5.44","5.63","5.36","5.36","22130","2010","03","13","Wednesday"
"STG","2010-03-25","5.33","5.33","5.11","5.11","4040","2010","03","13","Thursday"
"STG","2010-03-26","4.88","5.26","4.88","5.26","21540","2010","03","13","Friday"
"STG","2010-03-29","5.39","5.39","5.39","5.39","3020","2010","03","14","Monday"
"STG","2010-03-30","5.18","5.18","5.15","5.15","6420","2010","03","14","Tuesday"
"STG","2010-03-31","5.03","5.03","4.89","4.89","11840","2010","03","14","Wednesday"
"STG","2010-04-01","4.73","5.11","4.68","4.88","3560","2010","04","14","Thursday"
"STG","2010-04-02","4.83","5.08","4.8","5.08","2670","2010","04","14","Friday"
"STG","2010-04-05","5.03","5.11","5.03","5.11","2250","2010","04","15","Monday"
"STG","2010-04-06","4.91","4.96","4.91","4.96","4380","2010","04","15","Tuesday"
"STG","2010-04-07","4.92","4.92","4.82","4.82","6410","2010","04","15","Wednesday"
"STG","2010-04-08","4.76","4.8","4.73","4.76","3350","2010","04","15","Thursday"
"STG","2010-04-09","4.78","4.99","4.78","4.99","4110","2010","04","15","Friday"
"STG","2010-04-12","5.23","5.23","5.11","5.11","4150","2010","04","16","Monday"
