symbol,date,open,high,low,close,volume,year,month,week,weekday
"STL","2008-09-23","36.8","38","30.1","31","166700","2008","09","39","Tuesday"
"STL","2008-09-24","30.9","32","30.5","30.5","60300","2008","09","39","Wednesday"
"STL","2008-09-25","31.5","32.9","30.4","32.9","78400","2008","09","39","Thursday"
"STL","2008-09-26","34.1","34.1","33","34.1","169600","2008","09","39","Friday"
"STL","2008-09-29","36.3","36.4","34.5","36.4","180900","2008","09","40","Monday"
"STL","2008-09-30","33.6","33.6","33.6","36.1","37500","2008","09","40","Tuesday"
"STL","2008-10-01","34.5","35.9","34.1","35.9","217700","2008","10","40","Wednesday"
"STL","2008-10-02","38.1","38.1","36","38.1","197800","2008","10","40","Thursday"
"STL","2008-10-03","40.6","40.6","38","40.2","161500","2008","10","40","Friday"
"STL","2008-10-06","38","38","37","37","64300","2008","10","41","Monday"
"STL","2008-10-07","34.7","34.7","34.7","34.7","13800","2008","10","41","Tuesday"
"STL","2008-10-08","32.3","32.3","32.3","32.3","14400","2008","10","41","Wednesday"
"STL","2008-10-09","30.1","32.3","30.1","30.1","273300","2008","10","41","Thursday"
"STL","2008-10-10","28.4","28.4","28.4","28.4","22200","2008","10","41","Friday"
"STL","2008-10-13","26.5","28.1","26.5","26.5","156700","2008","10","42","Monday"
"STL","2008-10-14","28.6","28.6","28.6","28.6","3900","2008","10","42","Tuesday"
"STL","2008-10-15","28.6","28.6","26.6","26.8","163500","2008","10","42","Wednesday"
"STL","2008-10-16","25.3","26","25.3","25.3","102300","2008","10","42","Thursday"
"STL","2008-10-17","26.5","27","23.7","24.9","150200","2008","10","42","Friday"
"STL","2008-10-20","25.3","25.8","23.2","25","81100","2008","10","43","Monday"
"STL","2008-10-21","25.1","26.3","25.1","26.3","117200","2008","10","43","Tuesday"
"STL","2008-10-22","27.1","27.9","25.5","27.9","143500","2008","10","43","Wednesday"
"STL","2008-10-23","27.7","27.9","25.8","25.8","119500","2008","10","43","Thursday"
"STL","2008-10-24","25.8","25.8","24.3","24.7","67800","2008","10","43","Friday"
"STL","2008-10-27","22.8","22.8","22.8","22.8","46500","2008","10","44","Monday"
"STL","2008-10-28","21.3","21.6","21.3","21.6","140700","2008","10","44","Tuesday"
"STL","2008-10-29","22.3","22.7","22","22.7","93300","2008","10","44","Wednesday"
"STL","2008-10-30","22.5","23.3","21.1","23","51500","2008","10","44","Thursday"
"STL","2008-10-31","23.5","24.3","23.5","24.3","63600","2008","10","44","Friday"
"STL","2008-11-03","22.5","23.1","22.4","22.4","45200","2008","11","45","Monday"
"STL","2008-11-04","22.7","24","22.7","24","65400","2008","11","45","Tuesday"
"STL","2008-11-05","25.2","25.2","25.2","25.2","20200","2008","11","45","Wednesday"
"STL","2008-11-06","25","26.3","23.5","24.9","133400","2008","11","45","Thursday"
"STL","2008-11-07","23.1","23.7","23.1","23.2","80900","2008","11","45","Friday"
"STL","2008-11-10","24.5","24.7","23","23","49600","2008","11","46","Monday"
"STL","2008-11-11","22.5","22.8","21.8","22","52400","2008","11","46","Tuesday"
"STL","2008-11-12","20.5","22.5","20.5","22.2","43100","2008","11","46","Wednesday"
"STL","2008-11-13","21.2","22.8","20.1","22.8","73700","2008","11","46","Thursday"
"STL","2008-11-14","23.6","23.6","22.6","23","64600","2008","11","46","Friday"
"STL","2008-11-17","23","23","22","22.4","17400","2008","11","47","Monday"
"STL","2008-11-18","21.4","22.4","21.4","22","17800","2008","11","47","Tuesday"
"STL","2008-11-19","21.6","21.8","21.5","21.6","55800","2008","11","47","Wednesday"
"STL","2008-11-20","20.2","20.9","20.2","20.5","63800","2008","11","47","Thursday"
"STL","2008-11-21","20","20","19","19.2","29700","2008","11","47","Friday"
"STL","2008-11-24","18","19.5","17.9","18","102200","2008","11","48","Monday"
"STL","2008-11-25","18.3","18.5","17.4","18","60900","2008","11","48","Tuesday"
"STL","2008-11-26","17.5","17.7","16.9","16.9","63500","2008","11","48","Wednesday"
"STL","2008-11-27","16.8","16.8","16","16","55300","2008","11","48","Thursday"
"STL","2008-11-28","17","17.2","17","17.2","28800","2008","11","48","Friday"
"STL","2008-12-01","18.4","18.4","16.7","17.8","81300","2008","12","49","Monday"
"STL","2008-12-02","17","17.3","17.7","17.3","15800","2008","12","49","Tuesday"
"STL","2008-12-03","17.3","17.2","17.5","17.3","15800","2008","12","49","Wednesday"
"STL","2008-12-04","17.9","17.7","18.2","17.6","13700","2008","12","49","Thursday"
"STL","2008-12-05","16.8","16.9","17.1","17","34000","2008","12","49","Friday"
"STL","2008-12-08","16.8","16","16.8","16","29600","2008","12","50","Monday"
"STL","2008-12-09","16","16.1","17","16","24400","2008","12","50","Tuesday"
"STL","2008-12-10","15.9","15.2","15.9","15.2","15100","2008","12","50","Wednesday"
"STL","2008-12-11","15.5","15.3","15.7","15.3","19300","2008","12","50","Thursday"
"STL","2008-12-12","15.2","16.2","16.3","16.3","77000","2008","12","50","Friday"
"STL","2008-12-15","17.3","17.1","17.3","17.2","92600","2008","12","51","Monday"
"STL","2008-12-16","17.3","16.2","17.3","16","40000","2008","12","51","Tuesday"
"STL","2008-12-17","16.8","17","15.9","16.8","13100","2008","12","51","Wednesday"
"STL","2008-12-18","16","16.6","15.9","16.6","29700","2008","12","51","Thursday"
"STL","2008-12-19","16","16.4","16","16.3","32300","2008","12","51","Friday"
"STL","2008-12-22","16.8","17.4","16.7","17.1","71600","2008","12","52","Monday"
"STL","2008-12-23","16.9","17","16.4","16.6","28600","2008","12","52","Tuesday"
"STL","2008-12-24","16","17","16","16.7","14300","2008","12","52","Wednesday"
"STL","2008-12-25","17","17","16.2","16.4","22800","2008","12","52","Thursday"
"STL","2008-12-26","16.4","16.6","16.2","16.6","13800","2008","12","52","Friday"
"STL","2008-12-29","16.5","16.6","16.2","16.3","16700","2008","12","1","Monday"
"STL","2008-12-30","16.1","16.7","16.1","16.4","15500","2008","12","1","Tuesday"
"STL","2008-12-31","16.6","16.6","16.3","16.3","41200","2008","12","1","Wednesday"
"STL","2009-01-02","16.5","16.5","16.4","16.4","9500","2009","01","1","Friday"
"STL","2009-01-05","16.4","16.4","16.1","16.1","5900","2009","01","2","Monday"
"STL","2009-01-06","16.4","17.3","16.3","17.3","74800","2009","01","2","Tuesday"
"STL","2009-01-07","17.7","17.7","17","17.2","19300","2009","01","2","Wednesday"
"STL","2009-01-08","16.4","16.8","16.3","16.8","8500","2009","01","2","Thursday"
"STL","2009-01-09","16.5","16.9","16.5","16.9","26400","2009","01","2","Friday"
"STL","2009-01-12","17","17.3","17","17.3","22900","2009","01","3","Monday"
"STL","2009-01-13","16.5","18","16.5","17.5","39100","2009","01","3","Tuesday"
"STL","2009-01-14","17.3","17.5","17.1","17.4","28400","2009","01","3","Wednesday"
"STL","2009-01-15","16.6","17.1","16.6","16.8","27300","2009","01","3","Thursday"
"STL","2009-01-16","16.9","17","16.8","17","8800","2009","01","3","Friday"
"STL","2009-01-19","17.8","17.8","16.1","16.8","5800","2009","01","4","Monday"
"STL","2009-01-20","16.5","16.7","16.5","16.6","16100","2009","01","4","Tuesday"
"STL","2009-01-21","16","16.6","16","16.2","14900","2009","01","4","Wednesday"
"STL","2009-01-22","16.4","16.5","16.3","16.5","10000","2009","01","4","Thursday"
"STL","2009-01-23","16.6","16.6","16.6","16.6","6200","2009","01","4","Friday"
"STL","2009-02-02","16.7","16.7","16.6","16.6","1000","2009","02","6","Monday"
"STL","2009-02-03","16.1","16.1","15.9","16","18100","2009","02","6","Tuesday"
"STL","2009-02-04","16.1","16.1","16","16","3300","2009","02","6","Wednesday"
"STL","2009-02-05","15.5","15.5","15.3","15.5","5200","2009","02","6","Thursday"
"STL","2009-02-06","15.5","15.8","15.5","15.7","12400","2009","02","6","Friday"
"STL","2009-02-09","15","16","15","15.8","5800","2009","02","7","Monday"
"STL","2009-02-10","15.5","15.5","15.3","15.3","15500","2009","02","7","Tuesday"
"STL","2009-02-11","15","15.3","15","15.3","2800","2009","02","7","Wednesday"
