symbol,date,open,high,low,close,volume,year,month,week,weekday
"SVH","2018-01-11","8.8","8.8","8.8","8.8","100","2018","01","2","Thursday"
"SVH","2018-01-12","10.1","10.1","10.1","10.1","100","2018","01","2","Friday"
"SVH","2018-01-30","11.5","11.5","11.5","11.5","100","2018","01","5","Tuesday"
"SVH","2018-02-01","12.8","12.8","12.8","12.8","4768370","2018","02","5","Thursday"
"SVH","2018-05-04","10","10","10","10","132000","2018","05","18","Friday"
"SVH","2018-08-02","11.6","11.6","11.6","11.6","100","2018","08","31","Thursday"
"SVH","2018-08-09","13.3","13.3","13.3","13.3","7978992","2018","08","32","Thursday"
"SVH","2019-03-07","10","10","10","10","3850000","2019","03","10","Thursday"
"SVH","2019-03-15","10","10","10","10","3360000","2019","03","11","Friday"
"SVH","2019-03-29","10","10","10","10","3328900","2019","03","13","Friday"
"SVH","2019-04-05","10","10","10","10","2208300","2019","04","14","Friday"
"SVH","2019-10-11","6","6.5","6","6.5","7600","2019","10","41","Friday"
"SVH","2019-10-15","6.9","7.2","6.9","7.2","13100","2019","10","42","Tuesday"
"SVH","2019-10-17","6.9","7.1","6.9","7.1","5000","2019","10","42","Thursday"
"SVH","2019-11-15","6","6","6","6","4300","2019","11","46","Friday"
