symbol,date,open,high,low,close,volume,year,month,week,weekday
"TA9","2015-07-31","5.5","5.5","5.5","5.5","14800","2015","07","31","Friday"
"TA9","2015-08-03","6.04","6.04","6.04","6.04","11400","2015","08","32","Monday"
"TA9","2015-08-04","6.63","6.63","6.63","6.63","1500","2015","08","32","Tuesday"
"TA9","2015-08-05","7.23","7.23","6.92","7.23","3900","2015","08","32","Wednesday"
"TA9","2015-08-06","6.51","6.51","6.51","6.51","1800","2015","08","32","Thursday"
"TA9","2015-08-07","6.89","6.92","6.89","6.92","700","2015","08","32","Friday"
"TA9","2015-08-10","6.6","6.6","6.6","6.6","400","2015","08","33","Monday"
"TA9","2015-08-11","6.92","6.92","6.92","6.92","1000","2015","08","33","Tuesday"
"TA9","2015-08-12","7.61","7.61","7.61","7.61","100","2015","08","33","Wednesday"
"TA9","2015-08-14","8.33","8.33","8.33","8.33","200","2015","08","33","Friday"
"TA9","2015-08-18","7.52","7.52","7.52","7.52","100","2015","08","34","Tuesday"
"TA9","2015-08-21","6.79","6.79","6.79","6.79","100","2015","08","34","Friday"
"TA9","2015-09-10","6.13","6.13","6.13","6.13","100","2015","09","37","Thursday"
"TA9","2015-09-11","5.66","6.73","5.63","6.73","700","2015","09","37","Friday"
"TA9","2015-09-15","6.1","6.1","6.1","6.1","100","2015","09","38","Tuesday"
"TA9","2015-09-16","5.66","5.66","5.66","5.66","200","2015","09","38","Wednesday"
"TA9","2015-09-17","6.23","6.23","6.23","6.23","7600","2015","09","38","Thursday"
"TA9","2015-09-18","6.23","6.23","5.63","5.63","3640","2015","09","38","Friday"
"TA9","2015-09-21","5.09","5.5","5.09","5.5","4100","2015","09","39","Monday"
"TA9","2015-09-24","5.13","5.13","5.13","5.13","1500","2015","09","39","Thursday"
"TA9","2015-09-25","5.35","5.35","5.35","5.35","100","2015","09","39","Friday"
"TA9","2015-09-28","4.97","5.82","4.94","5.82","400","2015","09","40","Monday"
"TA9","2015-09-29","5.28","5.41","5.25","5.41","3400","2015","09","40","Tuesday"
