symbol,date,open,high,low,close,volume,year,month,week,weekday
"TB8","2017-08-09","6.17","6.17","6.17","6.17","1800","2017","08","32","Wednesday"
"TB8","2017-12-29","5.32","5.32","5.32","5.32","11400","2017","12","52","Friday"
"TB8","2018-03-22","5.32","5.32","5.32","5.32","7200","2018","03","12","Thursday"
"TB8","2018-04-05","6.12","6.12","6.12","6.12","3000","2018","04","14","Thursday"
"TB8","2018-09-18","6.04","6.04","6.04","6.04","18300","2018","09","38","Tuesday"
"TB8","2018-10-24","6.04","6.04","6.04","6.04","600","2018","10","43","Wednesday"
"TB8","2018-12-03","6.04","6.04","6.04","6.04","6900","2018","12","49","Monday"
"TB8","2019-06-20","6.5","6.5","6.5","6.5","100","2019","06","25","Thursday"
"TB8","2022-07-21","9.1","9.1","9.1","9.1","2000","2022","07","29","Thursday"
"TB8","2022-07-22","9.1","9.1","9.1","9.1","5958","2022","07","29","Friday"
