symbol,date,open,high,low,close,volume,year,month,week,weekday
"TBX","2008-11-18","23.25","28.36","22.32","26.96","70100","2008","11","47","Tuesday"
"TBX","2008-11-19","26.22","26.22","26.22","26.22","30000","2008","11","47","Wednesday"
"TBX","2008-11-20","27.99","27.99","27.99","27.99","40000","2008","11","47","Thursday"
"TBX","2008-11-21","29.94","29.94","26.13","29.75","4600","2008","11","47","Friday"
"TBX","2008-11-24","26.96","26.96","26.96","26.96","1100","2008","11","48","Monday"
"TBX","2008-11-25","25.11","25.11","25.11","25.11","100","2008","11","48","Tuesday"
"TBX","2008-11-26","23.43","23.43","23.43","23.43","100","2008","11","48","Wednesday"
"TBX","2008-11-27","21.85","21.85","21.85","21.85","600","2008","11","48","Thursday"
"TBX","2008-11-28","20.36","20.46","20.36","20.36","48600","2008","11","48","Friday"
"TBX","2008-12-01","20.46","20.46","18.97","18.97","13600","2008","12","49","Monday"
"TBX","2008-12-02","18.13","18.32","18.6","18.13","10500","2008","12","49","Tuesday"
"TBX","2008-12-03","17.76","17.76","19.06","17.67","8200","2008","12","49","Wednesday"
"TBX","2008-12-04","18.6","18.5","18.97","17.95","6100","2008","12","49","Thursday"
"TBX","2008-12-05","18.13","17.67","18.13","17.67","18900","2008","12","49","Friday"
"TBX","2008-12-08","18.41","17.39","18.41","17.67","7500","2008","12","50","Monday"
"TBX","2008-12-09","18.22","18.22","18.6","18.6","8700","2008","12","50","Tuesday"
"TBX","2008-12-10","18.97","17.85","18.97","17.76","5700","2008","12","50","Wednesday"
"TBX","2008-12-11","17.67","17.57","17.67","17.57","4100","2008","12","50","Thursday"
"TBX","2008-12-12","18.5","18.6","18.78","18.78","4200","2008","12","50","Friday"
"TBX","2008-12-15","19.34","18.97","19.62","18.78","1500","2008","12","51","Monday"
"TBX","2008-12-16","19.34","19.9","20.27","20.18","8600","2008","12","51","Tuesday"
"TBX","2008-12-17","21.2","21.2","21.2","21.2","4400","2008","12","51","Wednesday"
"TBX","2008-12-18","22.59","22.59","22.32","22.32","26800","2008","12","51","Thursday"
"TBX","2008-12-19","21.85","22.59","21.29","21.29","11300","2008","12","51","Friday"
"TBX","2008-12-22","22.32","22.32","20.83","21.29","3800","2008","12","52","Monday"
"TBX","2008-12-23","19.53","19.53","17.85","17.85","12700","2008","12","52","Tuesday"
"TBX","2008-12-24","18.41","18.41","18.41","18.41","500","2008","12","52","Wednesday"
"TBX","2008-12-25","18.6","18.6","18.41","18.41","4800","2008","12","52","Thursday"
"TBX","2008-12-29","18.13","18.13","18.13","18.13","300","2008","12","1","Monday"
"TBX","2008-12-30","18.22","18.22","18.13","18.22","300","2008","12","1","Tuesday"
"TBX","2008-12-31","17.95","17.95","17.85","17.85","800","2008","12","1","Wednesday"
"TBX","2009-01-05","16.74","16.74","16.74","16.74","1000","2009","01","2","Monday"
