symbol,date,open,high,low,close,volume
"TCK","2018-05-22","6","6","6","6","500"
"TCK","2018-05-31","6","6","6","6","800"
"TCK","2018-06-07","5.1","5.1","5.1","5.1","100"
"TCK","2018-06-08","4.4","5.1","4.4","5.1","1100"
"TCK","2018-06-11","4.3","4.3","4.3","4.3","100"
"TCK","2018-06-12","3.7","3.7","3.7","3.7","100"
"TCK","2018-06-14","3.2","3.2","3.2","3.2","100"
"TCK","2018-06-18","2.8","2.8","2.8","2.8","100"
"TCK","2018-08-08","3.2","3.2","3.2","3.2","100"
"TCK","2018-08-21","3.6","3.6","3.6","3.6","900"
"TCK","2018-08-22","4.1","4.1","4.1","4.1","100"
"TCK","2018-08-23","4.7","4.7","4.7","4.7","100"
"TCK","2018-08-24","5.4","5.4","5.4","5.4","100"
"TCK","2018-08-27","5.8","5.8","5.8","5.8","100"
"TCK","2018-08-28","6.1","6.1","6.1","6.1","100"
"TCK","2018-08-29","6.2","6.2","6.2","6.2","100"
"TCK","2018-09-05","5.4","5.4","5.4","5.4","200"
"TCK","2018-09-12","4.6","4.6","4.6","4.6","300"
"TCK","2020-05-15","2.8","2.8","2.8","2.8","2000"
"TCK","2021-02-05","3.9","3.9","3.9","3.9","100"
