symbol,date,open,high,low,close,volume
"TDG","2017-06-15","11.08","11.08","11.08","11.08","1541000"
"TDG","2017-06-16","11.85","11.85","11.85","11.85","708060"
"TDG","2017-06-19","12.31","12.31","11.04","11.04","335190"
"TDG","2017-06-20","10.27","10.27","10.27","10.27","35140"
"TDG","2017-06-21","9.58","9.58","9.58","9.58","2000"
"TDG","2017-06-22","8.92","8.92","8.92","8.92","6040"
"TDG","2017-06-23","8.31","8.31","8.31","8.31","1424080"
"TDG","2017-06-26","7.73","8.81","7.73","8.81","1471710"
"TDG","2017-06-27","8.81","9","8.19","8.19","1287780"
"TDG","2017-06-28","7.63","8.04","7.62","8","1799430"
"TDG","2017-06-29","8","8.46","7.96","8.42","677090"
"TDG","2017-06-30","8.23","8.31","8.04","8.12","635570"
"TDG","2017-07-03","8.08","8.08","7.88","7.92","432240"
"TDG","2017-07-04","7.92","8.15","7.69","7.92","695380"
"TDG","2017-07-05","7.92","8.08","7.69","7.88","801770"
"TDG","2017-07-06","7.88","7.92","7.69","7.73","510330"
"TDG","2017-07-07","7.73","7.88","7.65","7.73","459380"
"TDG","2017-07-10","7.73","7.77","7.69","7.77","404120"
"TDG","2017-07-11","7.77","7.85","7.69","7.81","345780"
"TDG","2017-07-12","7.77","7.81","7.73","7.73","407930"
"TDG","2017-07-13","7.69","8.15","7.69","8.08","1246500"
"TDG","2017-07-14","7.51","8.46","7.51","7.85","909290"
"TDG","2017-07-17","7.85","7.88","7.81","7.85","308780"
"TDG","2017-07-18","7.85","8.27","7.73","8.23","1787570"
"TDG","2017-07-19","8.23","8.27","8.15","8.19","161780"
"TDG","2017-07-20","8.19","8.19","8.15","8.15","202500"
"TDG","2017-07-21","8.12","8.19","8.12","8.15","384580"
"TDG","2017-07-24","8.15","8.15","8.08","8.12","142820"
"TDG","2017-07-25","8.12","8.15","8.08","8.12","130640"
"TDG","2017-07-26","8.12","8.12","7.85","7.88","160350"
"TDG","2017-07-27","7.88","7.88","7.38","7.38","109940"
"TDG","2017-07-28","6.92","7.88","6.87","6.88","119550"
"TDG","2017-07-31","7.35","7.35","6.92","7.15","237500"
"TDG","2017-08-01","7.65","7.65","6.92","7.65","247910"
"TDG","2017-08-02","8.08","8.08","7.23","7.88","140720"
"TDG","2017-08-03","7.35","8","7.35","7.85","185750"
"TDG","2017-08-04","7.85","7.85","7.38","7.85","200640"
"TDG","2017-08-07","7.62","8.35","7.31","8.35","830710"
"TDG","2017-08-08","7.85","8.92","7.85","8.92","386310"
"TDG","2017-08-09","9.5","9.54","9.23","9.54","1180170"
"TDG","2017-08-10","9.65","9.65","9.62","9.65","207280"
"TDG","2017-08-11","9.65","9.69","9.5","9.54","175140"
"TDG","2017-08-14","9.54","9.65","9.54","9.62","292320"
"TDG","2017-08-15","9.62","9.65","9.58","9.62","130600"
"TDG","2017-08-16","9.58","9.73","9.54","9.65","303860"
"TDG","2017-08-17","9.62","9.69","9.62","9.65","204010"
"TDG","2017-08-18","9.69","9.96","9.58","9.69","1083010"
"TDG","2017-08-21","9.69","10.35","9.62","10.35","1427730"
"TDG","2017-08-22","10.38","11","10.38","11","793050"
"TDG","2017-08-23","10.96","11","10.69","10.77","336920"
"TDG","2017-08-24","10.73","11.19","10.46","11.15","922330"
"TDG","2017-08-25","11.15","11.15","10.96","11","218600"
"TDG","2017-08-28","11","11.19","10.92","11.08","617310"
"TDG","2017-08-29","11.08","11.15","11","11.04","291750"
"TDG","2017-08-30","11.04","11.15","10.96","11.04","261630"
"TDG","2017-08-31","10.96","11.15","10.85","11.04","474620"
"TDG","2017-09-01","11","11.12","10.96","11.08","180660"
"TDG","2017-09-05","11.04","11.23","10.92","11.12","354950"
"TDG","2017-09-06","11.15","11.19","11.04","11.08","182380"
"TDG","2017-09-07","11.04","11.19","11","11.19","332190"
"TDG","2017-09-08","11.23","11.27","11.08","11.12","152440"
"TDG","2017-09-11","11.12","11.15","11","11.08","243550"
"TDG","2017-09-12","11.08","11.23","11","11.12","359300"
"TDG","2017-09-13","11.12","11.12","11","11.04","230380"
"TDG","2017-09-14","11.04","11.15","10.96","11.08","224570"
"TDG","2017-09-15","11.08","11.08","11","11","118950"
"TDG","2017-09-18","11","11.04","10.85","10.92","181630"
"TDG","2017-09-19","10.92","10.96","10.85","10.96","168630"
"TDG","2017-09-20","10.96","11.12","10.88","11.04","292770"
"TDG","2017-09-21","11","11.23","10.96","11.08","689240"
"TDG","2017-09-22","11.08","11.19","11","11.04","379600"
"TDG","2017-09-25","11.04","11.23","10.96","11.12","566450"
"TDG","2017-09-26","11.08","11.23","11","11.12","540360"
"TDG","2017-09-27","11.04","11.81","11","11.81","1108740"
"TDG","2017-09-28","11.85","11.96","11.35","11.46","848120"
"TDG","2017-09-29","11.46","11.5","11.12","11.15","232950"
"TDG","2017-10-02","11.08","11.35","11.04","11.23","686620"
"TDG","2017-10-03","11.23","11.27","11.08","11.15","318420"
