symbol,date,open,high,low,close,volume
"TDS","2013-12-05","3.37","3.37","3.37","3.37","400"
"TDS","2013-12-06","3.04","3.04","3.04","3.04","500"
"TDS","2014-02-20","2.75","2.75","1.93","1.93","1900"
"TDS","2014-03-06","1.93","1.93","1.93","1.93","500"
"TDS","2014-03-27","2.12","2.12","2.12","2.12","100"
"TDS","2014-03-31","2.31","2.31","2.31","2.31","100"
"TDS","2014-04-01","2.36","2.36","2.36","2.36","100"
"TDS","2014-04-02","2.51","2.55","2.51","2.55","200"
"TDS","2014-12-10","3.23","3.23","3.23","3.23","200"
"TDS","2014-12-31","2.94","2.94","2.94","2.94","100"
"TDS","2015-02-04","2.94","2.94","2.94","2.94","1500"
"TDS","2015-03-24","2.94","2.94","2.94","2.94","500"
"TDS","2015-05-07","2.65","2.65","2.65","2.65","200"
"TDS","2015-07-09","2.6","2.6","2.6","2.6","100"
"TDS","2015-07-29","2.99","2.99","2.99","2.99","400"
"TDS","2015-07-31","3.04","3.04","3.04","3.04","100"
"TDS","2015-08-24","3.47","3.47","3.47","3.47","100"
"TDS","2015-09-22","3.95","3.95","3.95","3.95","100"
"TDS","2015-10-19","4.53","4.53","4.53","4.53","300"
"TDS","2015-10-21","5.21","5.21","5.21","5.21","400"
"TDS","2015-10-22","4.48","4.48","4.48","4.48","1000"
"TDS","2015-10-26","4","4","4","4","300"
"TDS","2015-10-28","3.62","4.1","3.62","4.1","2200"
"TDS","2015-11-02","3.71","3.71","3.71","3.71","200"
"TDS","2015-11-03","4.24","4.24","4.24","4.24","500"
"TDS","2015-11-05","4.29","4.29","4.29","4.29","200"
"TDS","2015-11-06","4.43","4.43","4.43","4.43","300"
"TDS","2015-11-09","4.43","4.43","4.29","4.29","4700"
"TDS","2015-11-10","4.63","4.63","4.63","4.63","6000"
"TDS","2015-11-11","4.1","4.1","4.1","4.1","700"
"TDS","2015-11-16","4.67","4.67","4.67","4.67","300"
"TDS","2015-11-17","4.05","4.05","4.05","4.05","1100"
"TDS","2015-11-18","4.63","4.63","4.63","4.63","200"
"TDS","2015-11-20","4.39","4.39","4.39","4.39","600"
"TDS","2015-11-24","4.19","4.19","4.19","4.19","300"
"TDS","2015-11-25","4.34","4.34","4.34","4.34","100"
"TDS","2015-11-26","3.76","3.76","3.76","3.76","100"
"TDS","2015-11-27","4.29","4.29","4.29","4.29","100"
"TDS","2015-12-09","4.63","4.92","4.63","4.92","700"
"TDS","2015-12-10","4.48","4.48","4.48","4.48","100"
"TDS","2015-12-22","4.39","4.39","4.39","4.39","100"
"TDS","2015-12-31","5.01","5.01","5.01","5.01","200"
"TDS","2016-01-06","5.01","5.01","5.01","5.01","600"
"TDS","2016-01-21","5.3","5.54","5.3","5.54","3300"
"TDS","2016-01-25","4.63","4.63","4.63","4.63","100"
"TDS","2016-01-26","4.82","4.82","4.1","4.39","2200"
"TDS","2016-01-29","4.96","5.01","4.96","5.01","600"
"TDS","2016-02-17","5.74","5.74","5.74","5.74","100"
"TDS","2016-02-22","5.3","5.3","5.3","5.3","4060"
"TDS","2016-02-24","5.3","5.3","5.3","5.3","1030"
"TDS","2016-02-26","5.3","5.3","5.3","5.3","600"
"TDS","2016-02-29","5.3","5.3","5.3","5.3","1000"
"TDS","2016-03-01","5.74","5.74","5.74","5.74","100"
"TDS","2016-03-03","6.51","6.51","6.51","6.51","100"
"TDS","2016-03-11","6.7","6.7","6.7","6.7","100"
"TDS","2016-03-15","6.75","6.75","6.75","6.75","1000"
"TDS","2016-03-21","6.51","6.51","6.26","6.26","2300"
"TDS","2016-03-25","6.99","6.99","6.99","6.99","100"
"TDS","2016-03-29","6.99","8","6.99","8","3900"
"TDS","2016-03-31","7.23","7.23","7.23","7.23","500"
"TDS","2016-04-05","7.42","7.42","7.42","7.42","100"
"TDS","2016-04-06","8.43","8.43","8.43","8.43","100"
"TDS","2016-04-14","8.63","8.63","7.23","7.23","6800"
"TDS","2016-04-15","6.41","6.41","6.41","6.41","500"
"TDS","2016-04-20","6.51","6.51","5.64","5.64","1300"
"TDS","2016-04-21","6.26","6.26","6.26","6.26","1000"
"TDS","2016-04-26","6.36","6.41","6.31","6.41","1000"
"TDS","2016-05-04","6.99","6.99","6.99","6.99","100"
"TDS","2016-05-05","7.47","7.52","7.23","7.23","1200"
"TDS","2016-05-06","7.28","7.28","6.51","6.51","2100"
"TDS","2016-05-09","7.18","7.18","7.18","7.18","200"
"TDS","2016-05-16","7.34","7.34","7.34","7.34","100"
"TDS","2016-05-17","6.38","6.44","6.38","6.44","2600"
"TDS","2016-05-19","6.17","6.17","6.17","6.17","100"
"TDS","2016-05-23","6.38","6.38","5.37","5.37","400"
"TDS","2016-05-27","5.85","5.85","5.85","5.85","2000"
"TDS","2016-05-30","5.85","5.85","5.85","5.85","4500"
"TDS","2016-06-01","6.7","6.7","6.7","6.7","3800"
"TDS","2016-06-02","6.12","6.12","5.85","5.85","2000"
"TDS","2016-06-10","6.76","6.76","6.76","6.76","100"
"TDS","2016-06-13","6.65","6.65","6.38","6.38","2200"
"TDS","2016-06-14","6.49","6.49","6.49","6.49","1000"
"TDS","2016-06-16","6.92","6.92","6.92","6.92","100"
"TDS","2016-06-23","6.65","6.65","6.65","6.65","100"
"TDS","2016-06-30","6.38","6.44","6.38","6.44","4000"
"TDS","2016-07-01","6.38","6.38","6.38","6.38","1000"
