symbol,date,open,high,low,close,volume,year,month,week,weekday
"TED","2022-05-10","39.6","39.6","39.6","39.6","6800","2022","05","19","Tuesday"
"TED","2022-05-11","45.54","45.54","45.54","45.54","1500","2022","05","19","Wednesday"
"TED","2022-05-12","52.33","52.33","52.33","52.33","5400","2022","05","19","Thursday"
"TED","2022-05-13","44.51","44.51","44.51","44.51","2100","2022","05","19","Friday"
"TED","2022-05-16","37.91","37.91","37.91","37.91","1000","2022","05","20","Monday"
"TED","2022-05-17","32.25","32.25","32.25","32.25","200","2022","05","20","Tuesday"
"TED","2022-05-18","27.82","32.15","27.82","28","20900","2022","05","20","Wednesday"
"TED","2022-05-19","28.66","28.66","25.08","25.08","3133500","2022","05","20","Thursday"
"TED","2022-05-20","22.72","24.52","22.16","24.52","29700","2022","05","20","Friday"
"TED","2022-05-23","21.69","25.74","20.46","23.1","9200","2022","05","21","Monday"
"TED","2022-05-24","23.29","23.29","23.1","23.1","4000","2022","05","21","Tuesday"
"TED","2022-05-25","23.1","23.95","23.1","23.95","7500","2022","05","21","Wednesday"
"TED","2022-05-26","23.29","25.46","23.01","25.46","16500","2022","05","21","Thursday"
"TED","2022-05-27","23.2","23.57","23.2","23.48","600","2022","05","21","Friday"
"TED","2022-05-30","23.76","26.87","23.76","26.87","16200","2022","05","22","Monday"
"TED","2022-05-31","26.87","29.7","26.87","29.7","22800","2022","05","22","Tuesday"
"TED","2022-06-01","30.64","30.64","29.98","29.98","800","2022","06","22","Wednesday"
"TED","2022-06-02","32.06","34.79","28.29","28.29","6500","2022","06","22","Thursday"
"TED","2022-06-03","28.38","28.48","27.44","28.38","5200","2022","06","22","Friday"
"TED","2022-06-07","27.34","27.34","26.4","26.4","1500","2022","06","23","Tuesday"
"TED","2022-06-08","27.16","27.34","27.16","27.34","2800","2022","06","23","Wednesday"
"TED","2022-06-09","25.46","25.46","25.46","25.46","2100","2022","06","23","Thursday"
"TED","2022-06-10","25.46","26.4","25.46","25.46","1900","2022","06","23","Friday"
"TED","2022-06-15","25.55","25.55","25.55","25.55","1000","2022","06","24","Wednesday"
"TED","2022-06-16","25.55","25.55","25.55","25.55","2600","2022","06","24","Thursday"
"TED","2022-06-17","25.46","25.46","24.52","24.61","2300","2022","06","24","Friday"
"TED","2022-06-20","24.14","24.14","23.67","23.76","1200","2022","06","25","Monday"
"TED","2022-06-21","23.76","26.31","23.76","26.31","3400","2022","06","25","Tuesday"
"TED","2022-06-22","27.34","27.34","27.34","27.34","2000","2022","06","25","Wednesday"
"TED","2022-06-24","27.25","27.53","27.25","27.34","12700","2022","06","25","Friday"
"TED","2022-06-27","27.82","31.4","27.82","31.4","41500","2022","06","26","Monday"
"TED","2022-06-28","34.79","34.79","31.12","31.12","1100","2022","06","26","Tuesday"
"TED","2022-06-29","31.59","34.42","31.12","31.59","2300","2022","06","26","Wednesday"
"TED","2022-06-30","32.53","35.08","28.48","35.08","10400","2022","06","26","Thursday"
"TED","2022-07-01","32.91","32.91","32.91","32.91","33300","2022","07","26","Friday"
"TED","2022-07-04","36.77","36.77","36.77","36.77","100","2022","07","27","Monday"
"TED","2022-07-05","31.3","31.3","31.3","31.3","11300","2022","07","27","Tuesday"
"TED","2022-07-06","34.89","34.89","34.89","34.89","300","2022","07","27","Wednesday"
"TED","2022-07-11","30.08","30.08","30.08","30.08","200","2022","07","28","Monday"
"TED","2022-07-12","33","34.51","33","34.51","9800","2022","07","28","Tuesday"
"TED","2022-07-14","34.89","34.89","29.51","29.51","6700","2022","07","28","Thursday"
"TED","2022-07-15","29.7","34.04","29.7","34.04","50800","2022","07","28","Friday"
"TED","2022-07-20","36.3","36.3","36.3","36.3","100","2022","07","29","Wednesday"
"TED","2022-07-21","30.93","33.94","30.93","33.94","40200","2022","07","29","Thursday"
"TED","2022-07-26","33","33","33","33","200","2022","07","30","Tuesday"
"TED","2022-07-28","33.94","33.94","33.94","33.94","300","2022","07","30","Thursday"
"TED","2022-07-29","33.85","33.94","33.85","33.94","6400","2022","07","30","Friday"
"TED","2022-08-01","29.42","29.42","29.42","29.42","1000","2022","08","31","Monday"
"TED","2022-08-02","33.66","33.76","33.66","33.76","12300","2022","08","31","Tuesday"
"TED","2022-08-03","38.56","38.56","30.36","30.36","1700","2022","08","31","Wednesday"
"TED","2022-08-04","32.06","32.06","32.06","32.06","664150","2022","08","31","Thursday"
"TED","2022-08-05","29.32","30.36","29.32","30.36","1200","2022","08","31","Friday"
"TED","2022-08-08","33.85","33.85","33.85","33.85","2100","2022","08","32","Monday"
"TED","2022-08-15","33.85","33.85","33.85","33.85","100","2022","08","33","Monday"
"TED","2022-08-19","33.85","33.85","33","33.57","1800","2022","08","33","Friday"
"TED","2022-08-23","33.47","34.42","28.48","34.42","900","2022","08","34","Tuesday"
"TED","2022-08-25","33.47","33.47","33.47","33.47","100","2022","08","34","Thursday"
"TED","2022-08-29","33","33","33","33","900","2022","08","35","Monday"
"TED","2022-08-30","33.6","33.6","33.6","33.6","100","2022","08","35","Tuesday"
"TED","2022-09-06","29","33.6","29","33.6","6700","2022","09","36","Tuesday"
"TED","2022-09-12","32","32","32","32","1100","2022","09","37","Monday"
"TED","2022-09-14","32","32","32","32","600","2022","09","37","Wednesday"
"TED","2022-09-16","32","32","32","32","500","2022","09","37","Friday"
"TED","2022-09-19","32","32","32","32","200","2022","09","38","Monday"
"TED","2022-09-23","32","32","32","32","27300","2022","09","38","Friday"
"TED","2022-09-26","32","32","32","32","500","2022","09","39","Monday"
"TED","2022-09-28","32","32","32","32","900","2022","09","39","Wednesday"
"TED","2022-09-30","32","32","32","32","600","2022","09","39","Friday"
"TED","2022-10-03","32","32","32","32","900","2022","10","40","Monday"
"TED","2022-10-04","32","32","32","32","500","2022","10","40","Tuesday"
"TED","2022-10-07","30","32","30","32","700","2022","10","40","Friday"
"TED","2022-10-10","30.2","31.9","30.2","31.9","300","2022","10","41","Monday"
"TED","2022-10-11","29.6","29.6","29.6","29.6","3000","2022","10","41","Tuesday"
"TED","2022-10-12","29.6","29.6","29.6","29.6","500","2022","10","41","Wednesday"
"TED","2022-10-13","30.2","30.2","30.2","30.2","100","2022","10","41","Thursday"
"TED","2022-10-21","29.1","29.1","28","28","300","2022","10","42","Friday"
"TED","2022-10-24","29","32.6","28.1","32.6","600","2022","10","43","Monday"
"TED","2022-11-02","32","32","32","32","400","2022","11","44","Wednesday"
"TED","2022-11-07","32","32","32","32","100","2022","11","45","Monday"
"TED","2022-11-10","30","30","30","30","200","2022","11","45","Thursday"
"TED","2022-11-14","25.5","25.5","25.5","25.5","1100","2022","11","46","Monday"
"TED","2022-11-15","25.8","25.8","25","25","1200","2022","11","46","Tuesday"
"TED","2022-11-16","21.6","21.6","21.6","21.6","300","2022","11","46","Wednesday"
"TED","2022-11-17","24.7","24.7","24.7","24.7","100","2022","11","46","Thursday"
"TED","2022-11-18","28.3","28.4","28.3","28.4","1400","2022","11","46","Friday"
"TED","2022-11-21","32.6","32.6","32.6","32.6","400","2022","11","47","Monday"
"TED","2022-11-28","34","35","34","35","1300","2022","11","48","Monday"
"TED","2022-11-30","36.5","36.5","36.5","36.5","100","2022","11","48","Wednesday"
"TED","2022-12-06","31.4","31.4","31.3","31.3","25500","2022","12","49","Tuesday"
"TED","2022-12-07","28.1","28.1","28.1","28.1","100","2022","12","49","Wednesday"
"TED","2022-12-08","31.4","32","31.4","32","400","2022","12","49","Thursday"
"TED","2022-12-12","31","31","31","31","3400","2022","12","50","Monday"
"TED","2022-12-26","32","32","32","32","200","2022","12","52","Monday"
"TED","2022-12-27","32","32","32","32","500","2022","12","52","Tuesday"
"TED","2023-01-30","32.5","32.5","32.5","32.5","100","2023","01","5","Monday"
"TED","2023-02-01","34","36","34","35","21000","2023","02","5","Wednesday"
"TED","2023-02-15","37","37","37","37","7000","2023","02","7","Wednesday"
"TED","2023-02-17","36","36","36","36","1500","2023","02","7","Friday"
