symbol,date,open,high,low,close,volume
"TIG","2010-10-08","10.13","11.65","10.13","10.85","561200"
"TIG","2010-10-11","10.49","11.54","10.49","11.11","253700"
"TIG","2010-10-12","10.92","11","10.42","10.42","362200"
"TIG","2010-10-13","9.91","10.49","9.8","10.31","130200"
"TIG","2010-10-14","10.45","10.45","9.77","9.95","147800"
"TIG","2010-10-15","10.24","10.24","9.51","9.59","105100"
"TIG","2010-10-18","9.59","9.77","9.12","9.12","217300"
"TIG","2010-10-19","9.4","9.55","8.64","8.64","297700"
"TIG","2010-10-20","8.25","9.08","8.25","9.01","65700"
"TIG","2010-10-21","8.64","9.3","8.64","8.93","48500"
"TIG","2010-10-22","8.9","8.9","8.5","8.86","33300"
"TIG","2010-10-25","8.93","9.12","8.9","9.12","72100"
"TIG","2010-10-26","9.4","9.62","9.26","9.62","86300"
"TIG","2010-10-27","9.22","9.69","9.04","9.04","71900"
"TIG","2010-10-28","9.33","9.37","8.79","8.79","35000"
"TIG","2010-10-29","8.86","9.04","8.72","8.79","49500"
"TIG","2010-11-01","9.22","9.22","8.43","8.43","49600"
"TIG","2010-11-02","8.75","8.83","8.32","8.32","67500"
"TIG","2010-11-03","8.64","8.64","8.07","8.07","74300"
"TIG","2010-11-04","8.43","8.46","8.07","8.43","151700"
"TIG","2010-11-05","8.68","8.68","8.32","8.36","162100"
"TIG","2010-11-08","8.54","8.68","8.14","8.32","87600"
"TIG","2010-11-09","8.43","8.46","7.88","7.88","112500"
"TIG","2010-11-10","8.18","8.18","7.6","7.6","73000"
"TIG","2010-11-11","7.85","7.92","7.31","7.31","94600"
"TIG","2010-11-12","7.34","7.49","7.09","7.23","100600"
"TIG","2010-11-15","7.2","7.49","6.73","6.73","52200"
"TIG","2010-11-16","7.09","7.13","6.73","6.73","49900"
"TIG","2010-11-17","6.69","6.91","6.33","6.33","82100"
"TIG","2010-11-18","6.73","7.02","6.55","6.55","85500"
"TIG","2010-11-19","6.8","6.87","6.29","6.29","43900"
"TIG","2010-11-22","6.58","6.58","6.26","6.26","27100"
"TIG","2010-11-23","6.44","6.44","6","6.33","151400"
"TIG","2010-11-24","6.15","6.47","5.9","5.9","160100"
"TIG","2010-11-25","6.37","6.55","6.33","6.55","142700"
"TIG","2010-11-26","6.91","6.91","6.91","6.91","97900"
"TIG","2010-11-29","7.38","7.38","7.38","7.38","95900"
"TIG","2010-11-30","7.88","7.88","7.88","7.88","11000"
"TIG","2010-12-01","8.43","8.43","8.18","8.43","610100"
"TIG","2010-12-02","8.9","9.01","8.61","9.01","911700"
"TIG","2010-12-03","9.04","9.62","9.04","9.62","421800"
"TIG","2010-12-06","10.13","10.2","9.4","9.62","143400"
"TIG","2010-12-07","9.19","9.33","9.19","9.19","607000"
"TIG","2010-12-08","8.57","8.97","8.57","8.57","278900"
"TIG","2010-12-09","8.03","8.68","8.03","8.03","942100"
"TIG","2010-12-10","8.61","8.61","8.61","8.61","547500"
"TIG","2010-12-13","9.19","9.19","8.64","9.04","469900"
"TIG","2010-12-14","8.72","8.72","8.5","8.5","202300"
"TIG","2010-12-15","8.14","8.5","7.96","7.96","447900"
"TIG","2010-12-16","7.6","7.63","7.56","7.56","563300"
"TIG","2010-12-17","7.09","8.07","7.09","8.07","234900"
"TIG","2010-12-20","8.25","8.36","7.45","7.52","189500"
"TIG","2010-12-21","7.23","7.6","7.16","7.27","273500"
"TIG","2010-12-22","7.45","7.49","6.91","7.05","109900"
"TIG","2010-12-23","7.13","7.23","6.73","6.95","126500"
"TIG","2010-12-24","6.51","7.16","6.47","6.91","127300"
"TIG","2010-12-27","6.95","7.02","6.73","6.91","88000"
"TIG","2010-12-28","7.2","7.38","7.2","7.38","56000"
"TIG","2010-12-29","7.81","7.81","7.6","7.6","457800"
"TIG","2010-12-30","7.49","7.78","7.27","7.38","141600"
"TIG","2010-12-31","7.27","7.63","7.23","7.52","102800"
"TIG","2011-01-04","7.6","7.81","7.52","7.63","102400"
"TIG","2011-01-05","7.85","7.88","7.42","7.6","148000"
"TIG","2011-01-06","7.63","8.14","7.63","8.14","395600"
"TIG","2011-01-07","8.07","8.39","7.85","7.88","378300"
"TIG","2011-01-10","7.96","7.96","7.52","7.52","305100"
"TIG","2011-01-11","7.6","7.67","7.09","7.2","173600"
"TIG","2011-01-12","7.52","7.6","7.16","7.38","235700"
"TIG","2011-01-13","7.52","7.6","7.31","7.49","121000"
"TIG","2011-01-14","7.45","7.63","7.23","7.52","152900"
