symbol,date,open,high,low,close,volume,year,month,week,weekday
"TIX","2009-11-25","9.88","10.23","9.81","9.88","168860","2009","11","48","Wednesday"
"TIX","2009-11-26","9.45","9.95","9.45","9.45","15000","2009","11","48","Thursday"
"TIX","2009-11-27","9.03","9.88","9.03","9.03","167610","2009","11","48","Friday"
"TIX","2009-11-30","9.03","9.38","8.95","9.1","62470","2009","11","49","Monday"
"TIX","2009-12-01","9.24","9.38","8.88","9.24","93580","2009","12","49","Tuesday"
"TIX","2009-12-02","8.95","9.03","8.81","8.81","107670","2009","12","49","Wednesday"
"TIX","2009-12-03","8.53","8.88","8.39","8.53","43500","2009","12","49","Thursday"
"TIX","2009-12-04","8.46","8.67","8.24","8.24","41300","2009","12","49","Friday"
"TIX","2009-12-07","8.39","8.39","7.96","8.31","30760","2009","12","50","Monday"
"TIX","2009-12-08","8.39","8.39","7.96","8.17","29570","2009","12","50","Tuesday"
"TIX","2009-12-09","7.82","7.82","7.82","7.82","20270","2009","12","50","Wednesday"
"TIX","2009-12-10","7.46","7.67","7.46","7.46","83640","2009","12","50","Thursday"
"TIX","2009-12-11","7.11","7.58","7.09","7.09","32360","2009","12","50","Friday"
"TIX","2009-12-14","7.14","7.43","6.74","7.07","49860","2009","12","51","Monday"
"TIX","2009-12-15","7.21","7.21","6.75","7.14","3180","2009","12","51","Tuesday"
"TIX","2009-12-16","7.07","7.07","6.79","6.79","28290","2009","12","51","Wednesday"
"TIX","2009-12-17","6.48","6.92","6.48","6.92","45820","2009","12","51","Thursday"
"TIX","2009-12-18","7.18","7.26","7.07","7.26","44010","2009","12","51","Friday"
"TIX","2009-12-21","7.51","7.58","7.29","7.58","22520","2009","12","52","Monday"
"TIX","2009-12-22","7.58","7.95","7.36","7.65","17510","2009","12","52","Tuesday"
"TIX","2009-12-23","7.51","7.8","7.36","7.51","16620","2009","12","52","Wednesday"
"TIX","2009-12-24","7.51","7.51","7.23","7.51","11430","2009","12","52","Thursday"
"TIX","2009-12-25","7.51","7.87","7.51","7.87","69750","2009","12","52","Friday"
"TIX","2009-12-28","8.24","8.24","8.24","8.24","158330","2009","12","53","Monday"
"TIX","2009-12-29","8.61","8.61","8.61","8.61","111520","2009","12","53","Tuesday"
"TIX","2009-12-30","8.98","8.98","8.9","8.98","84440","2009","12","53","Wednesday"
"TIX","2009-12-31","9.35","9.35","8.83","9.27","100650","2009","12","53","Thursday"
"TIX","2010-01-04","9.13","9.42","9.13","9.42","148030","2010","01","2","Monday"
"TIX","2010-01-05","9.86","9.86","9.64","9.86","301540","2010","01","2","Tuesday"
"TIX","2010-01-06","9.57","10.01","9.57","9.86","75760","2010","01","2","Wednesday"
"TIX","2010-01-07","10.01","10.3","10.01","10.3","229370","2010","01","2","Thursday"
