symbol,date,open,high,low,close,volume
"TKG","2021-04-09","13.36","13.36","13.36","13.36","200"
"TKG","2021-04-12","15.34","15.34","13.68","15.34","29500"
"TKG","2021-04-13","15.66","15.66","15.27","15.27","2700"
"TKG","2021-04-14","15.42","15.42","15.42","15.42","600"
"TKG","2021-04-15","13.52","15.11","13.12","15.03","6500"
"TKG","2021-04-16","13.12","15.11","13.12","13.12","20900"
"TKG","2021-04-19","12.24","12.24","12.24","12.24","500"
"TKG","2021-04-20","13.68","13.68","12.72","12.72","300"
"TKG","2021-04-22","12.8","12.8","12.56","12.56","5400"
"TKG","2021-04-23","12.72","12.72","12.72","12.72","100"
"TKG","2021-04-26","12.56","12.56","11.93","11.93","600"
"TKG","2021-04-27","12.01","12.72","12.01","12.72","2700"
"TKG","2021-04-28","12.56","12.56","12.32","12.32","1100"
"TKG","2021-04-29","12.16","12.16","12.16","12.16","100"
"TKG","2021-05-04","12.01","12.16","12.01","12.09","3800"
"TKG","2021-05-05","12.09","12.09","11.61","11.77","1500"
"TKG","2021-05-06","11.53","11.53","11.13","11.13","800"
"TKG","2021-05-07","11.13","11.53","11.05","11.53","1400"
"TKG","2021-05-10","11.29","11.29","10.97","10.97","600"
"TKG","2021-05-11","10.73","11.21","10.73","11.21","1000"
"TKG","2021-05-12","10.73","10.81","10.73","10.81","200"
"TKG","2021-05-13","10.81","10.89","10.73","10.81","800"
"TKG","2021-05-14","10.81","11.13","10.81","11.13","900"
"TKG","2021-05-17","11.13","11.53","11.13","11.45","400"
"TKG","2021-05-18","11.85","11.85","11.29","11.29","4000"
"TKG","2021-05-19","11.13","11.21","11.13","11.21","5500"
"TKG","2021-05-20","11.21","11.21","10.81","10.89","300"
"TKG","2021-05-21","11.05","11.05","10.57","10.65","1600"
"TKG","2021-05-24","10.65","10.81","10.65","10.81","400"
"TKG","2021-05-25","10.73","10.89","10.73","10.89","300"
"TKG","2021-05-26","10.81","11.05","10.65","10.65","300"
"TKG","2021-05-27","10.65","10.65","10.34","10.34","1000"
"TKG","2021-05-28","10.34","10.34","9.78","9.78","400"
"TKG","2021-05-31","9.94","10.1","9.94","10.1","200"
"TKG","2021-06-01","10.1","10.34","10.1","10.26","600"
"TKG","2021-06-02","10.26","10.73","10.26","10.73","200"
"TKG","2021-06-03","10.73","11.13","10.73","11.13","300"
"TKG","2021-06-04","11.13","11.13","10.81","10.97","2200"
"TKG","2021-06-07","10.97","11.53","10.97","11.45","400"
"TKG","2021-06-08","11.45","11.45","11.13","11.37","300"
"TKG","2021-06-09","11.37","11.37","11.05","11.13","500"
"TKG","2021-06-10","11.13","11.13","10.81","10.97","300"
"TKG","2021-06-11","10.89","11.13","10.73","11.13","300"
"TKG","2021-06-14","11.13","11.45","11.13","11.37","700"
"TKG","2021-06-15","11.45","11.93","11.45","11.53","500"
"TKG","2021-06-16","11.53","11.53","11.13","11.37","300"
"TKG","2021-06-17","11.37","11.37","11.13","11.13","200"
"TKG","2021-06-18","11.13","11.37","10.97","11.37","300"
"TKG","2021-06-21","11.13","11.13","10.89","10.97","300"
"TKG","2021-06-22","10.97","11.53","10.97","11.37","400"
"TKG","2021-06-23","11.37","11.69","11.37","11.61","400"
"TKG","2021-06-24","11.93","12.16","11.93","12.16","200"
"TKG","2021-06-25","12.16","12.16","11.69","11.85","300"
"TKG","2021-06-28","11.85","11.85","11.29","11.29","300"
