symbol,date,open,high,low,close,volume,year,month,week,weekday
"TKU","2006-06-26","11.28","11.28","8.8","9.66","36400","2006","06","26","Monday"
"TKU","2006-06-27","9.08","9.08","8.8","8.8","39900","2006","06","26","Tuesday"
"TKU","2006-06-28","8.25","8.25","7.98","8.09","24700","2006","06","26","Wednesday"
"TKU","2006-06-29","8.25","8.25","7.43","7.73","18000","2006","06","26","Thursday"
"TKU","2006-06-30","8.53","8.53","8.53","8.39","6200","2006","06","26","Friday"
"TKU","2006-07-03","8.53","8.53","8.53","8.42","4200","2006","07","27","Monday"
"TKU","2006-07-04","8.53","8.53","8.25","8.36","6000","2006","07","27","Tuesday"
"TKU","2006-07-05","8.53","8.53","7.98","8.17","5800","2006","07","27","Wednesday"
"TKU","2006-07-06","7.98","8.25","7.98","8.22","2400","2006","07","27","Thursday"
"TKU","2006-07-07","9.08","9.08","8.25","8.2","14400","2006","07","27","Friday"
"TKU","2006-07-10","8.25","8.25","7.7","7.95","10300","2006","07","28","Monday"
"TKU","2006-07-11","7.98","7.98","7.98","7.95","24700","2006","07","28","Tuesday"
"TKU","2006-07-12","8.25","8.25","7.43","7.98","4200","2006","07","28","Wednesday"
"TKU","2006-07-13","7.7","8.25","7.7","7.89","37700","2006","07","28","Thursday"
"TKU","2006-07-17","7.98","7.98","7.98","7.84","300","2006","07","29","Monday"
"TKU","2006-07-18","7.15","7.43","7.15","7.29","4200","2006","07","29","Tuesday"
"TKU","2006-07-19","7.43","7.43","7.15","7.34","4300","2006","07","29","Wednesday"
"TKU","2006-07-20","7.15","7.43","7.15","7.34","12300","2006","07","29","Thursday"
"TKU","2006-07-21","7.43","7.43","7.43","7.4","4200","2006","07","29","Friday"
"TKU","2006-07-24","7.43","7.43","7.43","7.4","4300","2006","07","30","Monday"
"TKU","2006-07-25","7.43","7.43","6.88","7.1","2400","2006","07","30","Tuesday"
"TKU","2006-07-26","6.88","7.15","6.88","6.96","6600","2006","07","30","Wednesday"
"TKU","2006-07-27","6.88","6.88","6.88","6.85","20600","2006","07","30","Thursday"
"TKU","2006-07-28","7.15","7.15","6.88","7.01","10100","2006","07","30","Friday"
"TKU","2006-07-31","6.88","6.88","6.88","6.77","8000","2006","07","31","Monday"
"TKU","2006-08-01","6.88","6.88","6.33","6.58","8800","2006","08","31","Tuesday"
"TKU","2006-08-02","6.33","6.6","6.33","6.44","4400","2006","08","31","Wednesday"
"TKU","2006-08-03","6.88","6.88","6.6","6.74","9600","2006","08","31","Thursday"
"TKU","2006-08-04","6.88","7.15","6.88","6.93","4900","2006","08","31","Friday"
"TKU","2006-08-07","6.88","6.88","6.88","6.79","3300","2006","08","32","Monday"
"TKU","2006-08-08","6.88","6.88","6.88","6.79","2000","2006","08","32","Tuesday"
"TKU","2006-08-09","6.88","6.88","6.6","6.71","2100","2006","08","32","Wednesday"
"TKU","2006-08-10","6.88","6.88","6.88","6.74","1600","2006","08","32","Thursday"
"TKU","2006-08-11","6.88","6.88","6.88","6.82","14300","2006","08","32","Friday"
"TKU","2006-08-14","7.15","7.15","7.15","7.15","19400","2006","08","33","Monday"
"TKU","2006-08-15","7.15","7.15","6.88","6.91","2300","2006","08","33","Tuesday"
"TKU","2006-08-16","7.15","7.15","6.88","6.99","4100","2006","08","33","Wednesday"
"TKU","2006-08-17","7.15","7.15","6.88","7.01","9500","2006","08","33","Thursday"
"TKU","2006-08-18","6.88","7.15","6.88","7.01","15800","2006","08","33","Friday"
"TKU","2006-08-21","7.15","7.15","6.88","7.04","11700","2006","08","34","Monday"
"TKU","2006-08-22","6.88","7.15","6.88","6.99","6900","2006","08","34","Tuesday"
"TKU","2006-08-23","7.15","7.15","7.15","7.04","19300","2006","08","34","Wednesday"
"TKU","2006-08-24","7.15","7.15","7.15","7.07","9500","2006","08","34","Thursday"
"TKU","2006-08-25","7.15","7.15","7.15","7.1","22700","2006","08","34","Friday"
"TKU","2006-08-28","7.15","7.15","7.15","7.21","6200","2006","08","35","Monday"
"TKU","2006-08-29","7.15","7.15","7.15","7.15","3700","2006","08","35","Tuesday"
"TKU","2006-08-30","7.15","7.15","7.15","7.18","10100","2006","08","35","Wednesday"
"TKU","2006-08-31","7.15","7.15","7.15","7.21","19500","2006","08","35","Thursday"
"TKU","2006-09-01","7.15","7.15","7.15","7.18","8000","2006","09","35","Friday"
"TKU","2006-09-05","7.15","7.43","7.15","7.32","15100","2006","09","36","Tuesday"
"TKU","2006-09-06","7.43","7.7","7.15","7.37","10600","2006","09","36","Wednesday"
"TKU","2006-09-07","7.43","7.43","7.43","7.4","8100","2006","09","36","Thursday"
"TKU","2006-09-08","7.43","7.43","7.43","7.37","3700","2006","09","36","Friday"
"TKU","2006-09-11","7.43","7.43","7.43","7.46","14100","2006","09","37","Monday"
"TKU","2006-09-12","7.43","7.43","7.43","7.4","9000","2006","09","37","Tuesday"
"TKU","2006-09-13","7.43","7.43","7.43","7.4","10900","2006","09","37","Wednesday"
"TKU","2006-09-14","7.43","7.43","7.43","7.4","1800","2006","09","37","Thursday"
"TKU","2006-09-15","7.43","7.43","7.43","7.4","1000","2006","09","37","Friday"
"TKU","2006-09-18","7.43","7.43","7.43","7.37","2100","2006","09","38","Monday"
"TKU","2006-09-19","7.43","7.43","7.43","7.37","2600","2006","09","38","Tuesday"
"TKU","2006-09-20","7.43","7.43","7.43","7.4","1900","2006","09","38","Wednesday"
"TKU","2006-09-21","7.43","7.43","7.43","7.4","7500","2006","09","38","Thursday"
"TKU","2006-09-22","7.43","7.43","7.15","7.4","8300","2006","09","38","Friday"
"TKU","2006-09-25","7.43","7.43","7.43","7.4","10800","2006","09","39","Monday"
"TKU","2006-09-26","7.43","7.43","7.43","7.37","1300","2006","09","39","Tuesday"
"TKU","2006-09-27","7.43","7.43","7.43","7.37","6600","2006","09","39","Wednesday"
"TKU","2006-09-28","7.43","7.43","7.43","7.32","5800","2006","09","39","Thursday"
"TKU","2006-09-29","7.43","7.43","7.43","7.29","2600","2006","09","39","Friday"
"TKU","2006-10-02","7.43","7.43","7.15","7.24","7900","2006","10","40","Monday"
"TKU","2006-10-03","7.15","7.15","7.15","7.26","13400","2006","10","40","Tuesday"
"TKU","2006-10-04","7.15","7.43","7.15","7.24","12600","2006","10","40","Wednesday"
"TKU","2006-10-05","7.15","7.43","7.15","7.26","8200","2006","10","40","Thursday"
"TKU","2006-10-06","7.15","7.15","7.15","7.18","3000","2006","10","40","Friday"
"TKU","2006-10-09","7.15","7.43","7.15","7.26","11800","2006","10","41","Monday"
"TKU","2006-10-10","7.43","7.43","7.15","7.29","5500","2006","10","41","Tuesday"
"TKU","2006-10-11","7.43","7.43","7.43","7.32","10800","2006","10","41","Wednesday"
"TKU","2006-10-12","7.43","7.43","7.43","7.32","6300","2006","10","41","Thursday"
"TKU","2006-10-13","7.43","7.43","7.43","7.32","8000","2006","10","41","Friday"
"TKU","2006-10-16","7.43","7.43","7.43","7.37","14000","2006","10","42","Monday"
"TKU","2006-10-17","7.43","7.43","7.15","7.21","1500","2006","10","42","Tuesday"
"TKU","2006-10-18","7.43","7.43","7.43","7.32","2000","2006","10","42","Wednesday"
"TKU","2006-10-19","7.43","7.43","7.15","7.26","13200","2006","10","42","Thursday"
"TKU","2006-10-20","7.43","7.43","7.43","7.29","1300","2006","10","42","Friday"
"TKU","2006-10-23","7.43","7.43","7.43","7.29","1700","2006","10","43","Monday"
"TKU","2006-10-24","7.43","7.43","7.43","7.29","3600","2006","10","43","Tuesday"
"TKU","2006-10-25","7.43","7.43","7.43","7.32","6300","2006","10","43","Wednesday"
"TKU","2006-10-26","7.43","7.43","7.43","7.37","17600","2006","10","43","Thursday"
"TKU","2006-10-27","7.7","7.98","7.7","7.84","12700","2006","10","43","Friday"
"TKU","2006-10-30","8.53","8.53","7.98","8.17","25000","2006","10","44","Monday"
"TKU","2006-10-31","8.8","8.8","8.25","8.45","16500","2006","10","44","Tuesday"
"TKU","2006-11-01","8.53","8.53","8.25","8.34","21100","2006","11","44","Wednesday"
"TKU","2006-11-02","8.25","8.53","8.25","8.34","40400","2006","11","44","Thursday"
"TKU","2006-11-03","8.53","8.8","8.53","8.67","51400","2006","11","44","Friday"
"TKU","2006-11-06","8.8","8.8","8.53","8.58","19800","2006","11","45","Monday"
"TKU","2006-11-07","8.53","8.8","8.53","8.61","14700","2006","11","45","Tuesday"
"TKU","2006-11-08","7.7","8.53","7.7","7.81","24100","2006","11","45","Wednesday"
"TKU","2006-11-09","7.7","7.7","7.43","7.76","13100","2006","11","45","Thursday"
"TKU","2006-11-10","7.98","7.98","7.98","7.76","4500","2006","11","45","Friday"
"TKU","2006-11-13","7.98","7.98","7.98","7.84","4500","2006","11","46","Monday"
"TKU","2006-11-14","7.98","8.25","7.98","8.09","11100","2006","11","46","Tuesday"
"TKU","2006-11-15","7.7","8.53","7.7","8.34","17200","2006","11","46","Wednesday"
"TKU","2006-11-16","8.25","8.53","8.25","8.36","5600","2006","11","46","Thursday"
"TKU","2006-11-17","8.25","8.53","8.25","8.42","7500","2006","11","46","Friday"
"TKU","2006-11-20","8.53","8.8","8.53","8.53","4900","2006","11","47","Monday"
"TKU","2006-11-21","8.53","8.53","8.53","8.53","5100","2006","11","47","Tuesday"
"TKU","2006-11-22","8.53","8.8","8.53","8.64","32900","2006","11","47","Wednesday"
"TKU","2006-11-23","8.8","9.08","8.8","8.8","31200","2006","11","47","Thursday"
"TKU","2006-11-24","9.63","9.63","8.8","9.02","4800","2006","11","47","Friday"
"TKU","2006-11-27","9.63","9.63","9.08","9.08","28300","2006","11","48","Monday"
"TKU","2006-11-28","8.8","8.8","8.53","8.64","6700","2006","11","48","Tuesday"
"TKU","2006-11-29","8.8","8.8","8.8","8.78","47500","2006","11","48","Wednesday"
"TKU","2006-11-30","8.8","8.8","8.8","8.8","1200","2006","11","48","Thursday"
"TKU","2006-12-01","9.08","9.08","9.08","8.97","11200","2006","12","48","Friday"
"TKU","2006-12-04","9.08","9.35","9.08","9.11","7400","2006","12","49","Monday"
"TKU","2006-12-05","9.08","9.08","9.08","9","3500","2006","12","49","Tuesday"
"TKU","2006-12-06","9.08","9.08","8.8","8.94","3800","2006","12","49","Wednesday"
"TKU","2006-12-07","8.8","8.8","8.8","8.8","10600","2006","12","49","Thursday"
"TKU","2006-12-08","8.8","8.8","8.8","8.78","3500","2006","12","49","Friday"
"TKU","2006-12-11","8.8","8.8","8.8","8.69","14300","2006","12","50","Monday"
"TKU","2006-12-12","8.8","9.08","8.8","8.83","16700","2006","12","50","Tuesday"
"TKU","2006-12-13","8.8","8.8","8.8","8.67","1000","2006","12","50","Wednesday"
"TKU","2006-12-14","8.53","8.53","8.53","8.53","700","2006","12","50","Thursday"
"TKU","2006-12-15","8.8","8.8","8.8","8.8","8200","2006","12","50","Friday"
"TKU","2006-12-18","8.8","8.8","8.8","8.78","7200","2006","12","51","Monday"
"TKU","2006-12-19","8.8","9.08","8.8","8.8","15900","2006","12","51","Tuesday"
"TKU","2006-12-20","8.8","8.8","8.8","8.8","11400","2006","12","51","Wednesday"
"TKU","2006-12-21","8.25","8.25","7.98","8.2","17500","2006","12","51","Thursday"
"TKU","2006-12-22","8.53","8.53","8.53","8.53","1500","2006","12","51","Friday"
"TKU","2006-12-25","8.8","8.8","8.8","8.67","200","2006","12","52","Monday"
"TKU","2006-12-26","8.53","8.8","8.53","8.67","4200","2006","12","52","Tuesday"
"TKU","2006-12-27","8.53","8.53","8.25","8.53","3700","2006","12","52","Wednesday"
"TKU","2006-12-28","8.53","8.53","8.25","8.42","3400","2006","12","52","Thursday"
"TKU","2006-12-29","8.53","8.53","8.53","8.47","200","2006","12","52","Friday"
"TKU","2007-01-02","8.53","8.53","7.98","7.98","1000","2007","01","1","Tuesday"
"TKU","2007-01-03","8.25","8.25","7.98","8.09","900","2007","01","1","Wednesday"
"TKU","2007-01-04","8.25","8.25","8.25","8.25","2100","2007","01","1","Thursday"
"TKU","2007-01-05","8.25","8.25","7.98","8.12","6200","2007","01","1","Friday"
"TKU","2007-01-08","7.98","8.25","7.98","8.17","3000","2007","01","2","Monday"
"TKU","2007-01-09","8.53","8.53","7.98","8.25","11900","2007","01","2","Tuesday"
"TKU","2007-01-10","8.25","8.25","7.98","7.98","19700","2007","01","2","Wednesday"
"TKU","2007-01-11","8.25","8.25","7.7","7.98","16500","2007","01","2","Thursday"
"TKU","2007-01-12","8.25","8.25","7.98","8.12","8100","2007","01","2","Friday"
"TKU","2007-01-15","8.53","8.8","8.53","8.83","68000","2007","01","3","Monday"
"TKU","2007-01-16","9.63","9.63","9.63","9.57","51800","2007","01","3","Tuesday"
"TKU","2007-01-17","10.45","10.45","10.45","10.51","118600","2007","01","3","Wednesday"
"TKU","2007-01-18","11.28","11.55","9.9","10.43","31900","2007","01","3","Thursday"
"TKU","2007-01-19","10.18","10.18","9.63","9.63","50200","2007","01","3","Friday"
"TKU","2007-01-22","10.18","10.73","8.8","9.35","14400","2007","01","4","Monday"
"TKU","2007-01-23","9.08","9.08","8.8","8.69","19200","2007","01","4","Tuesday"
