symbol,date,open,high,low,close,volume,year,month,week,weekday
"TMB","2017-01-16","7.04","7.04","6.81","6.81","2000","2017","01","3","Monday"
"TMB","2017-03-10","6.15","6.15","6.15","6.15","1000","2017","03","10","Friday"
"TMB","2017-03-13","5.54","5.54","5.54","5.54","100","2017","03","11","Monday"
"TMB","2017-03-14","5.02","5.02","5.02","5.02","100","2017","03","11","Tuesday"
"TMB","2017-03-15","4.55","4.55","4.55","4.55","4800","2017","03","11","Wednesday"
"TMB","2017-03-16","4.51","4.51","4.37","4.37","2000","2017","03","11","Thursday"
"TMB","2017-03-20","4.04","4.04","4.04","4.04","200","2017","03","12","Monday"
"TMB","2017-03-21","3.99","3.99","3.99","3.99","800","2017","03","12","Tuesday"
"TMB","2017-03-22","3.94","3.94","3.94","3.94","500","2017","03","12","Wednesday"
"TMB","2017-03-24","4.32","4.32","3.9","3.9","600","2017","03","12","Friday"
"TMB","2017-03-27","4.08","4.08","3.9","3.9","1100","2017","03","13","Monday"
"TMB","2017-03-28","3.94","3.94","3.94","3.94","900","2017","03","13","Tuesday"
"TMB","2017-03-30","3.94","3.94","3.94","3.94","1000","2017","03","13","Thursday"
"TMB","2017-03-31","3.99","3.99","3.99","3.99","1000","2017","03","13","Friday"
"TMB","2017-04-05","3.99","3.99","3.99","3.99","700","2017","04","14","Wednesday"
"TMB","2017-04-07","3.99","3.99","3.99","3.99","300","2017","04","14","Friday"
"TMB","2017-04-10","4.04","4.37","4.04","4.37","1100","2017","04","15","Monday"
"TMB","2017-04-12","4.13","4.13","4.13","4.13","1000","2017","04","15","Wednesday"
"TMB","2017-04-14","4.08","4.08","4.08","4.08","1000","2017","04","15","Friday"
"TMB","2017-04-18","4.08","4.46","4.08","4.23","1300","2017","04","16","Tuesday"
"TMB","2017-04-25","4.13","4.13","4.13","4.13","1000","2017","04","17","Tuesday"
"TMB","2017-04-28","4.04","4.04","4.04","4.04","1000","2017","04","17","Friday"
"TMB","2017-05-04","3.99","3.99","3.99","3.99","1000","2017","05","18","Thursday"
"TMB","2017-05-12","4.37","4.37","4.37","4.37","100","2017","05","19","Friday"
"TMB","2017-05-17","4.79","4.79","4.79","4.79","100","2017","05","20","Wednesday"
"TMB","2017-05-25","4.46","4.46","4.46","4.46","2000","2017","05","21","Thursday"
"TMB","2017-05-29","4.46","4.46","4.46","4.46","200","2017","05","22","Monday"
"TMB","2017-05-31","4.65","4.65","4.65","4.65","100","2017","05","22","Wednesday"
"TMB","2017-06-07","4.7","4.7","4.7","4.7","100","2017","06","23","Wednesday"
"TMB","2017-06-20","4.79","4.79","4.79","4.79","120","2017","06","25","Tuesday"
"TMB","2017-06-26","4.7","4.93","4.7","4.93","400","2017","06","26","Monday"
"TMB","2017-06-29","5.07","5.4","5.07","5.4","1200","2017","06","26","Thursday"
"TMB","2017-06-30","5.54","5.54","5.4","5.4","500","2017","06","26","Friday"
"TMB","2017-07-04","5.21","5.21","5.21","5.21","500","2017","07","27","Tuesday"
"TMB","2017-07-06","5.54","5.54","5.4","5.4","500","2017","07","27","Thursday"
"TMB","2017-07-07","5.35","5.35","5.35","5.35","548","2017","07","27","Friday"
"TMB","2017-07-11","4.84","4.84","4.84","4.84","100","2017","07","28","Tuesday"
"TMB","2017-07-12","5.31","5.31","5.17","5.17","552","2017","07","28","Wednesday"
"TMB","2017-07-13","4.65","4.65","4.65","4.65","100","2017","07","28","Thursday"
"TMB","2017-07-14","4.93","4.93","4.93","4.93","600","2017","07","28","Friday"
"TMB","2017-07-17","4.46","4.46","4.46","4.46","100","2017","07","29","Monday"
"TMB","2017-07-18","4.88","4.88","4.84","4.84","5100","2017","07","29","Tuesday"
"TMB","2017-07-20","4.37","4.37","4.37","4.37","2000","2017","07","29","Thursday"
"TMB","2017-07-24","3.94","3.94","3.94","3.94","2000","2017","07","30","Monday"
"TMB","2017-07-25","4.32","4.32","4.32","4.32","600","2017","07","30","Tuesday"
"TMB","2017-07-28","3.9","3.9","3.9","3.9","2000","2017","07","30","Friday"
"TMB","2017-07-31","4.27","4.27","4.27","4.27","200","2017","07","31","Monday"
"TMB","2017-08-01","4.7","4.7","4.7","4.7","100","2017","08","31","Tuesday"
"TMB","2017-08-02","4.7","4.7","4.7","4.7","300","2017","08","31","Wednesday"
"TMB","2017-08-09","4.23","4.23","4.23","4.23","7100","2017","08","32","Wednesday"
"TMB","2017-08-10","4.65","4.65","4.65","4.65","100","2017","08","32","Thursday"
"TMB","2017-08-16","4.23","4.23","4.23","4.23","100","2017","08","33","Wednesday"
"TMB","2017-08-21","3.8","3.99","3.8","3.99","4000","2017","08","34","Monday"
"TMB","2017-08-23","3.62","3.62","3.62","3.62","500","2017","08","34","Wednesday"
"TMB","2017-08-25","3.33","3.33","3.33","3.33","100","2017","08","34","Friday"
"TMB","2017-08-28","3.66","3.66","3.66","3.66","1100","2017","08","35","Monday"
"TMB","2017-08-29","3.33","3.33","3.33","3.33","5000","2017","08","35","Tuesday"
"TMB","2017-08-30","3","3","3","3","100","2017","08","35","Wednesday"
"TMB","2017-08-31","3.05","3.05","3.05","3.05","3500","2017","08","35","Thursday"
"TMB","2017-09-01","3.33","3.33","3.33","3.33","100","2017","09","35","Friday"
"TMB","2017-09-05","3","3","3","3","100","2017","09","36","Tuesday"
"TMB","2017-09-06","3.29","3.29","3.29","3.29","100","2017","09","36","Wednesday"
"TMB","2017-09-08","3","3","3","3","100","2017","09","36","Friday"
"TMB","2017-09-12","3.29","3.29","3.29","3.29","100","2017","09","37","Tuesday"
"TMB","2017-09-19","2.96","2.96","2.96","2.96","1000","2017","09","38","Tuesday"
"TMB","2017-09-20","2.82","2.82","2.82","2.82","1000","2017","09","38","Wednesday"
"TMB","2017-09-21","2.72","2.72","2.72","2.72","1000","2017","09","38","Thursday"
"TMB","2017-09-22","2.77","2.77","2.77","2.77","1000","2017","09","38","Friday"
"TMB","2017-09-26","3","3","3","3","100","2017","09","39","Tuesday"
"TMB","2017-09-27","3.29","3.29","3.29","3.29","100","2017","09","39","Wednesday"
"TMB","2017-09-29","3.29","3.29","3.29","3.29","100","2017","09","39","Friday"
"TMB","2017-10-05","3.29","3.29","3.29","3.29","200","2017","10","40","Thursday"
"TMB","2017-10-09","3.33","3.62","3.33","3.62","200","2017","10","41","Monday"
"TMB","2017-10-17","3.76","3.76","3.76","3.76","1500","2017","10","42","Tuesday"
"TMB","2017-10-18","3.76","3.76","3.76","3.76","500","2017","10","42","Wednesday"
"TMB","2017-10-20","3.76","3.76","3.76","3.76","700","2017","10","42","Friday"
"TMB","2017-11-14","4.13","4.13","4.13","4.13","100","2017","11","46","Tuesday"
"TMB","2017-11-15","4.51","4.51","4.51","4.51","100","2017","11","46","Wednesday"
"TMB","2017-11-27","4.08","4.08","4.08","4.08","100","2017","11","48","Monday"
"TMB","2017-11-28","3.71","3.71","3.71","3.71","1000","2017","11","48","Tuesday"
"TMB","2017-11-29","3.76","3.76","3.76","3.76","1000","2017","11","48","Wednesday"
"TMB","2018-01-30","3.38","3.38","3.38","3.38","100","2018","01","5","Tuesday"
"TMB","2018-01-31","3.71","3.71","3.71","3.71","100","2018","01","5","Wednesday"
"TMB","2018-02-02","4.04","4.04","4.04","4.04","100","2018","02","5","Friday"
"TMB","2018-03-15","4.04","4.04","4.04","4.04","4900","2018","03","11","Thursday"
"TMB","2018-03-16","4.04","4.04","4.04","4.04","3800","2018","03","11","Friday"
"TMB","2018-04-05","4.23","4.23","4.23","4.23","2400","2018","04","14","Thursday"
"TMB","2018-04-09","4.23","4.23","4.23","4.23","5000","2018","04","15","Monday"
"TMB","2018-04-10","4.04","4.04","4.04","4.04","7000","2018","04","15","Tuesday"
"TMB","2018-04-12","4.23","4.23","4.23","4.23","5000","2018","04","15","Thursday"
"TMB","2018-04-13","4.23","4.23","4.23","4.23","3000","2018","04","15","Friday"
"TMB","2018-08-03","4.07","4.07","4.07","4.07","5256","2018","08","31","Friday"
"TMB","2018-10-17","4.07","4.07","4.07","4.07","3500","2018","10","42","Wednesday"
"TMB","2018-11-01","4.07","4.07","4.07","4.07","400","2018","11","44","Thursday"
"TMB","2019-03-21","3.67","4.48","3.67","4.48","400","2019","03","12","Thursday"
"TMB","2019-03-28","4.48","4.89","4.48","4.89","1100","2019","03","13","Thursday"
"TMB","2019-04-05","5.19","5.19","5.19","5.19","100","2019","04","14","Friday"
"TMB","2019-04-12","5.7","5.7","5.7","5.7","200","2019","04","15","Friday"
"TMB","2019-05-29","5.35","5.7","5.35","5.7","6200","2019","05","22","Wednesday"
"TMB","2019-05-31","5.14","5.35","5.14","5.14","14800","2019","05","22","Friday"
"TMB","2019-06-07","4.63","4.63","4.63","4.63","2000","2019","06","23","Friday"
"TMB","2019-07-23","5.09","5.09","5.09","5.09","1000","2019","07","30","Tuesday"
"TMB","2019-07-24","5.6","5.6","5.6","5.6","2200","2019","07","30","Wednesday"
"TMB","2019-07-25","6.16","6.16","6.16","6.16","1000","2019","07","30","Thursday"
"TMB","2019-07-26","6.77","6.77","6.77","6.77","6200","2019","07","30","Friday"
