symbol,date,open,high,low,close,volume
"TMP","2009-06-18","7.38","7.38","7.38","7.38","3000"
"TMP","2009-06-19","7.75","7.75","7.75","7.75","1010"
"TMP","2009-06-22","8.11","8.11","7.99","8.11","213500"
"TMP","2009-06-23","8.48","8.48","8.11","8.11","197450"
"TMP","2009-06-24","8.11","8.14","7.71","7.71","81740"
"TMP","2009-06-25","7.68","7.75","7.35","7.35","37430"
"TMP","2009-06-26","7.01","7.01","7.01","7.01","11920"
"TMP","2009-06-29","6.67","6.67","6.67","6.67","10870"
"TMP","2009-07-01","6.05","6.05","6.05","6.05","2250"
"TMP","2009-07-02","5.78","5.78","5.78","5.78","75870"
"TMP","2009-07-03","5.5","6.05","5.5","5.87","58710"
"TMP","2009-07-06","5.87","5.99","5.69","5.9","54660"
"TMP","2009-07-07","5.63","5.78","5.63","5.66","46060"
"TMP","2009-07-08","5.53","5.69","5.38","5.69","23860"
"TMP","2009-07-09","5.69","5.84","5.66","5.72","14990"
"TMP","2009-07-10","5.69","5.84","5.69","5.69","9160"
"TMP","2009-07-13","5.72","5.72","5.47","5.63","25080"
"TMP","2009-07-14","5.63","5.63","5.35","5.38","16380"
"TMP","2009-07-15","5.63","5.63","5.44","5.5","5360"
"TMP","2009-07-16","5.75","5.75","5.66","5.72","35230"
"TMP","2009-07-17","5.53","5.56","5.53","5.53","8720"
"TMP","2009-07-20","5.38","5.53","5.29","5.47","18190"
"TMP","2009-07-21","5.47","5.59","5.47","5.5","4760"
"TMP","2009-07-22","5.5","5.5","5.41","5.5","12730"
"TMP","2009-07-23","5.5","5.66","5.5","5.53","6700"
"TMP","2009-07-24","5.81","5.81","5.69","5.81","82030"
"TMP","2009-07-27","5.96","6.09","5.87","5.96","51220"
"TMP","2009-07-28","5.69","5.99","5.69","5.72","22570"
"TMP","2009-07-30","5.59","5.59","5.53","5.53","19950"
"TMP","2009-07-31","5.69","5.69","5.53","5.59","20790"
"TMP","2009-08-03","5.47","5.53","5.47","5.5","25320"
"TMP","2009-08-05","5.47","5.63","5.47","5.63","31270"
"TMP","2009-08-06","5.59","5.72","5.59","5.69","21300"
"TMP","2009-08-07","5.66","5.66","5.53","5.53","34420"
"TMP","2009-08-10","5.75","5.75","5.53","5.72","48120"
"TMP","2009-08-11","5.69","5.69","5.66","5.69","14880"
"TMP","2009-08-12","5.56","5.69","5.56","5.56","38040"
"TMP","2009-08-13","5.56","5.66","5.56","5.59","38360"
"TMP","2009-08-14","5.66","5.66","5.56","5.66","66180"
"TMP","2009-08-17","5.9","5.93","5.9","5.93","109270"
