symbol,date,open,high,low,close,volume
"TMS","2000-08-04","2.29","2.29","2.29","2.29","100"
"TMS","2000-09-22","2.8","2.8","2.8","2.8","100"
"TMS","2000-09-25","2.85","2.85","2.85","2.85","100"
"TMS","2000-09-27","2.9","2.9","2.9","2.9","100"
"TMS","2000-09-29","2.95","2.95","2.95","2.95","200"
"TMS","2000-10-02","3","3","3","3","300"
"TMS","2000-10-04","3.05","3.05","3.05","3.05","100"
"TMS","2000-10-09","3.1","3.1","3.1","3.1","100"
"TMS","2000-10-11","3.15","3.15","3.15","3.15","100"
"TMS","2000-10-13","3.2","3.2","3.2","3.2","100"
"TMS","2000-10-16","3.25","3.25","3.25","3.25","100"
"TMS","2000-10-18","3.29","3.29","3.29","3.29","100"
"TMS","2000-10-20","3.36","3.36","3.36","3.36","100"
"TMS","2000-10-23","3.42","3.42","3.42","3.42","100"
"TMS","2000-10-25","3.49","3.49","3.49","3.49","400"
"TMS","2000-10-27","3.56","3.56","3.56","3.56","100"
"TMS","2000-10-30","3.62","3.62","3.62","3.62","100"
"TMS","2000-11-01","3.69","3.69","3.69","3.69","100"
"TMS","2000-11-03","3.75","3.75","3.75","3.75","100"
"TMS","2000-11-06","3.82","3.82","3.82","3.82","100"
"TMS","2000-11-08","3.88","3.88","3.88","3.88","200"
"TMS","2000-11-10","3.95","3.95","3.95","3.95","100"
"TMS","2000-11-13","4.01","4.01","4.01","4.01","200"
"TMS","2000-11-15","4.08","4.08","4.08","4.08","100"
"TMS","2000-11-17","4.15","4.15","4.15","4.15","100"
"TMS","2000-11-20","4.23","4.23","4.23","4.23","1000"
"TMS","2000-11-22","4.31","4.31","4.31","4.31","500"
"TMS","2000-11-24","4.39","4.39","4.39","4.39","400"
"TMS","2000-11-27","4.47","4.47","4.47","4.47","600"
"TMS","2000-11-29","4.56","4.56","4.56","4.56","200"
"TMS","2000-12-01","4.64","4.64","4.64","4.64","300"
"TMS","2000-12-04","4.72","4.72","4.72","4.72","700"
"TMS","2000-12-06","4.8","4.8","4.8","4.8","800"
