symbol,date,open,high,low,close,volume
"TNC","2007-08-22","14.87","14.87","14.87","14.87","98380"
"TNC","2007-08-23","15.61","15.61","15.61","15.61","455590"
"TNC","2007-08-24","16.39","16.39","16.39","16.39","404010"
"TNC","2007-08-27","17.21","17.21","17.21","17.21","167100"
"TNC","2007-08-28","18.06","18.06","18.06","18.06","10970"
"TNC","2007-08-29","18.95","18.95","17.17","18.95","824980"
"TNC","2007-08-30","18.21","18.95","18.03","18.21","295860"
"TNC","2007-08-31","18.58","18.58","18.21","18.58","237860"
"TNC","2007-09-04","18.77","18.95","18.58","18.58","132380"
"TNC","2007-09-05","18.21","18.21","18.03","18.03","132070"
"TNC","2007-09-06","17.65","17.84","17.47","17.51","105570"
"TNC","2007-09-07","18.21","18.21","17.8","18.18","169670"
"TNC","2007-09-10","17.84","18.03","17.8","17.84","62770"
"TNC","2007-09-11","17.47","17.84","17.39","17.54","57910"
"TNC","2007-09-12","17.51","17.51","17.43","17.43","70980"
"TNC","2007-09-13","17.39","17.65","17.39","17.39","35940"
"TNC","2007-09-14","17.39","17.47","17.28","17.39","42400"
"TNC","2007-09-17","17.28","17.36","17.28","17.28","35480"
"TNC","2007-09-18","16.76","17.1","16.76","17.02","115240"
"TNC","2007-09-19","17.47","17.47","17.28","17.43","67540"
"TNC","2007-09-20","17.28","17.28","17.1","17.25","119500"
"TNC","2007-09-21","17.25","17.47","17.1","17.1","94000"
"TNC","2007-09-24","17.02","17.1","16.95","17.1","141800"
"TNC","2007-09-25","17.28","17.65","17.1","17.47","216100"
"TNC","2007-09-26","17.47","17.65","17.28","17.28","156010"
"TNC","2007-09-27","17.1","17.1","17.02","17.02","108410"
"TNC","2007-09-28","17.1","17.47","17.02","17.47","381570"
"TNC","2007-10-01","18.32","18.32","18.32","18.32","289690"
"TNC","2007-10-02","19.14","19.14","18.58","19.14","671850"
"TNC","2007-10-03","20.07","20.07","19.51","20.07","535810"
"TNC","2007-10-04","19.33","19.51","19.14","19.14","367880"
"TNC","2007-10-05","18.58","19.14","18.58","18.77","157450"
"TNC","2007-10-08","18.77","18.95","18.58","18.58","183310"
"TNC","2007-10-09","18.77","18.95","18.58","18.77","158290"
"TNC","2007-10-10","18.77","19.14","18.58","18.77","160450"
"TNC","2007-10-11","18.36","18.58","18.21","18.58","157910"
"TNC","2007-10-15","18.21","18.4","18.18","18.25","142020"
"TNC","2007-10-16","18.25","18.58","18.25","18.58","177860"
"TNC","2007-10-17","18.58","18.95","18.58","18.58","234710"
"TNC","2007-10-18","18.4","18.58","18.21","18.21","120930"
"TNC","2007-10-19","17.95","18.21","17.84","17.95","120340"
"TNC","2007-10-26","18.21","18.21","17.84","17.84","133770"
"TNC","2007-10-31","17.65","17.8","17.51","17.54","93710"
"TNC","2007-11-01","17.47","17.62","17.36","17.36","91900"
"TNC","2007-11-02","17.36","17.47","17.1","17.17","109160"
"TNC","2007-11-06","16.28","16.35","16.06","16.06","113150"
"TNC","2007-11-07","16.54","16.54","16.2","16.35","101910"
"TNC","2007-11-08","16.35","16.35","16.17","16.28","55080"
"TNC","2007-11-09","15.98","16.2","15.95","15.95","53600"
"TNC","2007-11-12","15.61","15.98","15.5","15.5","77300"
"TNC","2007-11-13","15.24","15.42","14.76","14.76","115180"
"TNC","2007-11-14","15.46","15.46","15.16","15.46","209630"
"TNC","2007-11-15","15.54","15.54","15.24","15.24","87800"
"TNC","2007-11-16","15.09","15.24","14.9","15.24","35180"
"TNC","2007-11-19","15.24","15.24","15.05","15.13","27110"
"TNC","2007-11-20","15.13","15.13","14.9","14.9","59430"
"TNC","2007-11-21","14.87","14.87","14.64","14.68","51330"
"TNC","2007-11-22","14.68","15.05","14.61","14.87","113800"
"TNC","2007-11-23","14.87","14.87","14.68","14.79","34250"
"TNC","2007-11-26","14.79","14.87","14.79","14.79","86090"
"TNC","2007-11-27","15.16","15.2","14.79","14.79","60470"
"TNC","2007-11-28","14.79","14.94","14.79","14.87","149360"
"TNC","2007-11-29","14.87","14.87","14.79","14.87","41330"
"TNC","2007-11-30","14.79","14.87","14.79","14.79","44610"
"TNC","2007-12-03","14.79","14.87","14.79","14.79","32230"
"TNC","2007-12-04","14.83","14.83","14.76","14.76","51910"
"TNC","2007-12-05","14.76","14.76","14.68","14.72","27740"
"TNC","2007-12-06","14.05","14.68","14.05","14.49","26530"
"TNC","2007-12-07","14.49","14.49","14.12","14.49","74880"
"TNC","2007-12-10","14.35","14.46","14.2","14.2","37720"
"TNC","2007-12-11","14.12","14.12","13.75","13.75","53060"
"TNC","2007-12-12","13.75","14.16","13.6","14.09","34550"
"TNC","2007-12-13","13.79","13.97","13.79","13.83","17710"
"TNC","2007-12-14","13.71","13.75","13.71","13.71","31920"
"TNC","2007-12-17","13.45","13.68","13.38","13.38","43770"
"TNC","2007-12-18","13.38","13.38","13.19","13.38","33550"
"TNC","2007-12-19","13.75","13.75","13.6","13.75","75280"
"TNC","2007-12-20","14.05","14.05","13.49","13.57","37810"
"TNC","2007-12-21","13.57","13.57","13.45","13.45","47290"
"TNC","2007-12-24","13.45","13.57","13.31","13.34","50910"
"TNC","2007-12-25","13.27","13.31","13.12","13.12","21150"
"TNC","2007-12-26","13.19","13.57","13.19","13.19","35450"
"TNC","2007-12-27","13.38","13.49","13.19","13.31","49370"
"TNC","2007-12-28","13.57","13.57","13.38","13.57","68260"
"TNC","2008-01-02","13.68","13.75","13.64","13.68","36320"
"TNC","2008-01-03","13.45","13.68","13.38","13.38","27930"
"TNC","2008-01-04","13.05","13.19","13.05","13.19","30380"
"TNC","2008-01-07","13.05","13.05","12.64","12.67","40100"
"TNC","2008-01-08","12.82","13.08","12.67","12.71","40180"
"TNC","2008-01-09","12.82","12.86","12.27","12.27","65100"
"TNC","2008-01-10","12.19","12.19","11.71","11.71","53970"
"TNC","2008-01-11","11.89","12.08","11.89","11.97","43920"
"TNC","2008-01-14","11.82","11.82","11.37","11.37","71450"
"TNC","2008-01-15","10.96","11.15","10.82","10.82","95320"
"TNC","2008-01-16","11.34","11.34","11.15","11.34","28990"
"TNC","2008-01-17","11.52","11.78","11.15","11.19","93140"
"TNC","2008-01-18","11.15","11.45","11.15","11.45","45830"
"TNC","2008-01-21","11.3","11.3","11.22","11.22","19950"
"TNC","2008-01-22","10.85","10.96","10.78","10.96","50590"
"TNC","2008-01-23","10.78","10.78","10.44","10.44","87870"
"TNC","2008-01-25","10.04","10.41","10.04","10.33","36810"
"TNC","2008-01-28","10.29","10.37","10.18","10.18","28560"
"TNC","2008-01-29","10.04","10.63","10.04","10.63","51950"
"TNC","2008-01-30","11.15","11.15","11.08","11.15","68490"
"TNC","2008-01-31","11.34","11.34","10.78","11.15","65380"
"TNC","2008-02-01","11.34","11.71","11.34","11.71","61610"
"TNC","2008-02-12","11.89","11.89","11.15","11.45","52010"
"TNC","2008-02-13","11","11","10.89","10.93","46650"
"TNC","2008-02-14","10.85","11.15","10.85","10.93","68010"
"TNC","2008-02-15","10.82","10.85","10.59","10.63","38600"
"TNC","2008-02-18","10.11","10.37","10.11","10.11","103160"
"TNC","2008-02-19","9.85","10.22","9.85","10.22","60600"
"TNC","2008-02-20","10.22","10.22","9.78","9.78","68620"
"TNC","2008-02-21","9.33","9.33","9.29","9.29","132860"
"TNC","2008-02-22","9.48","9.48","8.85","9.48","162510"
"TNC","2008-02-25","9.92","9.92","9.89","9.92","54690"
"TNC","2008-02-26","10.22","10.22","9.44","9.44","107860"
"TNC","2008-02-27","9.52","9.89","9.52","9.63","74950"
"TNC","2008-02-28","9.74","9.78","9.55","9.55","87570"
"TNC","2008-02-29","9.55","9.55","9.29","9.44","54670"
"TNC","2008-03-03","9.29","9.29","8.99","8.99","89790"
"TNC","2008-03-04","8.55","8.59","8.55","8.55","74210"
"TNC","2008-03-05","8.14","8.14","8.14","8.14","53890"
"TNC","2008-03-06","8.51","8.51","8.51","8.51","71850"
"TNC","2008-03-10","9.37","9.37","8.92","8.92","124460"
"TNC","2008-03-11","8.73","8.73","8.47","8.47","79670"
"TNC","2008-03-12","8.36","8.85","8.36","8.55","23040"
"TNC","2008-03-13","8.62","8.73","8.47","8.47","35060"
"TNC","2008-03-14","8.36","8.47","8.25","8.4","38570"
