symbol,date,open,high,low,close,volume,year,month,week,weekday
"TPH","2006-12-15","9.28","10.67","9.28","14.24","13500","2006","12","50","Friday"
"TPH","2006-12-18","10.21","10.21","9.28","14.24","9750","2006","12","51","Monday"
"TPH","2006-12-19","9.28","9.28","8.81","13.45","7500","2006","12","51","Tuesday"
"TPH","2006-12-20","8.35","8.81","8.35","12.99","4500","2006","12","51","Wednesday"
"TPH","2006-12-21","8.81","8.81","8.35","12.53","1350","2006","12","51","Thursday"
"TPH","2006-12-22","7.89","7.89","7.89","12.06","4950","2006","12","51","Friday"
"TPH","2006-12-25","7.42","7.42","7.42","10.86","12300","2006","12","52","Monday"
"TPH","2006-12-26","6.5","6.5","6.5","9.79","17850","2006","12","52","Tuesday"
"TPH","2006-12-27","6.96","6.96","6.96","10.76","450","2006","12","52","Wednesday"
"TPH","2006-12-28","6.96","7.89","6.96","10.9","1500","2006","12","52","Thursday"
"TPH","2006-12-29","7.42","7.42","7.42","10.9","6000","2006","12","52","Friday"
"TPH","2007-01-02","7.89","7.89","7.89","11.51","3150","2007","01","1","Tuesday"
"TPH","2007-01-03","7.89","7.89","7.89","12.06","2250","2007","01","1","Wednesday"
"TPH","2007-01-04","8.35","8.81","8.35","13.27","4650","2007","01","1","Thursday"
"TPH","2007-01-05","9.28","9.28","8.81","13.73","4050","2007","01","1","Friday"
"TPH","2007-01-08","9.74","9.74","8.81","14.01","3300","2007","01","2","Monday"
"TPH","2007-01-09","8.81","8.81","8.81","13.04","1500","2007","01","2","Tuesday"
"TPH","2007-01-11","7.89","7.89","7.89","12.06","1500","2007","01","2","Thursday"
"TPH","2007-01-15","7.89","8.81","7.89","12.99","2250","2007","01","3","Monday"
"TPH","2007-01-16","8.81","8.81","8.81","12.99","6150","2007","01","3","Tuesday"
"TPH","2007-01-17","8.81","9.74","8.81","13.5","20400","2007","01","3","Wednesday"
"TPH","2007-01-18","9.28","10.21","9.28","15.31","40950","2007","01","3","Thursday"
"TPH","2007-01-19","10.67","10.67","10.67","16.05","13050","2007","01","3","Friday"
"TPH","2007-01-22","11.6","11.6","11.6","17.63","34950","2007","01","4","Monday"
"TPH","2007-01-23","12.53","12.99","12.06","17.86","65400","2007","01","4","Tuesday"
"TPH","2007-01-24","12.99","12.99","12.06","18.51","11850","2007","01","4","Wednesday"
"TPH","2007-01-25","12.53","12.53","11.13","16.66","5100","2007","01","4","Thursday"
"TPH","2007-01-26","10.67","10.67","10.21","15.54","8700","2007","01","4","Friday"
"TPH","2007-01-29","10.21","10.67","10.21","16.28","20850","2007","01","5","Monday"
"TPH","2007-01-30","11.6","11.6","11.6","17.21","16800","2007","01","5","Tuesday"
"TPH","2007-01-31","12.53","12.53","12.53","18.93","30150","2007","01","5","Wednesday"
"TPH","2007-02-01","12.99","12.99","12.53","18.65","6150","2007","02","5","Thursday"
"TPH","2007-02-02","12.53","12.99","12.53","18.56","23550","2007","02","5","Friday"
"TPH","2007-02-05","12.53","13.45","12.06","18.7","13350","2007","02","6","Monday"
