symbol,date,open,high,low,close,volume,year,month,week,weekday
"TTD","2017-02-09","37.42","37.42","29.03","29.03","10000","2017","02","6","Thursday"
"TTD","2017-02-15","33.42","33.42","33.42","33.42","100","2017","02","7","Wednesday"
"TTD","2017-02-17","30.82","34.9","30.82","34.9","4000","2017","02","7","Friday"
"TTD","2017-02-20","31.56","31.56","31.56","31.56","1500","2017","02","8","Monday"
"TTD","2017-02-23","33.42","34.53","33.42","34.53","2500","2017","02","8","Thursday"
"TTD","2017-02-27","29.03","29.03","29.03","29.03","200","2017","02","9","Monday"
"TTD","2017-02-28","33.34","33.34","24.73","33.34","4800","2017","02","9","Tuesday"
"TTD","2017-03-06","29.85","29.85","29.85","29.85","100","2017","03","10","Monday"
"TTD","2017-03-07","34.31","34.31","29.85","29.85","3300","2017","03","10","Tuesday"
"TTD","2017-03-14","37.13","37.13","37.13","37.13","100","2017","03","11","Tuesday"
"TTD","2017-03-17","31.56","31.56","31.56","31.56","100","2017","03","11","Friday"
"TTD","2017-03-20","30.15","30.15","30.15","30.15","200","2017","03","12","Monday"
"TTD","2017-03-22","37.13","37.13","37.13","37.13","80","2017","03","12","Wednesday"
"TTD","2017-03-24","31.63","31.63","31.63","31.63","100","2017","03","12","Friday"
"TTD","2017-03-29","36.31","36.31","36.31","36.31","1000","2017","03","13","Wednesday"
"TTD","2017-03-30","37.13","37.13","37.13","37.13","700","2017","03","13","Thursday"
"TTD","2017-04-04","35.87","35.87","35.87","35.87","100","2017","04","14","Tuesday"
"TTD","2017-04-07","30.82","30.82","30.82","30.82","200","2017","04","14","Friday"
"TTD","2017-04-10","35.42","35.42","35.42","35.42","100","2017","04","15","Monday"
"TTD","2017-04-17","36.76","36.76","36.76","36.76","100","2017","04","16","Monday"
"TTD","2017-04-26","37.13","37.13","37.05","37.05","1000","2017","04","17","Wednesday"
"TTD","2017-04-28","37.42","37.42","37.42","37.42","200","2017","04","17","Friday"
"TTD","2017-05-04","37.05","37.05","36.91","36.91","1000","2017","05","18","Thursday"
"TTD","2017-05-18","36.75","36.75","36.75","36.75","500","2017","05","20","Thursday"
"TTD","2017-05-23","37.89","38.27","37.89","38.27","1400","2017","05","21","Tuesday"
"TTD","2017-05-24","37.89","37.89","37.89","37.89","500","2017","05","21","Wednesday"
"TTD","2017-05-26","37.89","37.89","37.89","37.89","500","2017","05","21","Friday"
"TTD","2017-05-30","37.81","37.89","37.81","37.89","800","2017","05","22","Tuesday"
"TTD","2017-06-01","37.89","37.89","37.13","37.13","1500","2017","06","22","Thursday"
"TTD","2017-06-02","37.66","37.66","37.51","37.51","1300","2017","06","22","Friday"
"TTD","2017-06-05","37.89","37.89","37.89","37.89","2200","2017","06","23","Monday"
"TTD","2017-06-06","32.59","37.13","32.59","37.13","3200","2017","06","23","Tuesday"
"TTD","2017-06-07","35.62","35.62","35.62","35.62","100","2017","06","23","Wednesday"
"TTD","2017-06-08","35.62","37.89","35.62","37.89","9200","2017","06","23","Thursday"
"TTD","2017-06-09","34.1","34.1","34.1","34.1","300","2017","06","23","Friday"
"TTD","2017-06-12","34.1","34.1","34.1","34.1","1000","2017","06","24","Monday"
"TTD","2017-06-14","34.1","37.13","34.1","37.13","1200","2017","06","24","Wednesday"
"TTD","2017-06-16","34.1","35.62","34.1","35.62","400","2017","06","24","Friday"
"TTD","2017-06-19","37.36","37.36","37.36","37.36","500","2017","06","25","Monday"
"TTD","2017-06-20","36.37","36.37","36.37","36.37","1000","2017","06","25","Tuesday"
"TTD","2017-06-21","36.37","36.37","36.37","36.37","600","2017","06","25","Wednesday"
"TTD","2017-06-22","36.37","36.45","36.37","36.45","5900","2017","06","25","Thursday"
"TTD","2017-06-26","37.13","37.13","37.13","37.13","1400","2017","06","26","Monday"
"TTD","2017-06-27","37.13","37.13","37.13","37.13","1000","2017","06","26","Tuesday"
"TTD","2017-06-28","37.13","37.13","37.13","37.13","1500","2017","06","26","Wednesday"
"TTD","2017-06-30","36.37","36.37","36.37","36.37","1000","2017","06","26","Friday"
"TTD","2017-07-05","34.86","34.86","34.86","34.86","2000","2017","07","27","Wednesday"
"TTD","2017-07-06","34.86","34.86","34.86","34.86","900","2017","07","27","Thursday"
"TTD","2017-07-21","34.86","34.86","34.86","34.86","40000","2017","07","29","Friday"
"TTD","2017-07-24","33.72","33.72","33.72","33.72","100","2017","07","30","Monday"
"TTD","2017-08-01","34.86","34.86","34.86","34.86","500","2017","08","31","Tuesday"
"TTD","2017-08-04","37.18","37.18","37.18","37.18","2000","2017","08","31","Friday"
"TTD","2017-08-07","37.18","37.18","37.18","37.18","2300","2017","08","32","Monday"
"TTD","2017-08-08","37.18","37.18","37.18","37.18","2000","2017","08","32","Tuesday"
"TTD","2017-08-09","37.18","37.18","37.18","37.18","4100","2017","08","32","Wednesday"
"TTD","2017-08-10","35.71","35.71","35.71","35.71","100","2017","08","32","Thursday"
"TTD","2017-08-11","37.18","37.18","37.18","37.18","2000","2017","08","32","Friday"
"TTD","2017-08-14","37.18","37.18","37.18","37.18","5000","2017","08","33","Monday"
"TTD","2017-08-16","35.01","35.71","35.01","35.71","16800","2017","08","33","Wednesday"
"TTD","2017-08-17","36.41","36.41","36.41","36.41","1000","2017","08","33","Thursday"
"TTD","2017-08-18","36.41","36.41","36.41","36.41","300","2017","08","33","Friday"
"TTD","2017-08-21","36.41","36.41","36.41","36.41","1000","2017","08","34","Monday"
"TTD","2017-08-23","36.02","36.02","36.02","36.02","900","2017","08","34","Wednesday"
"TTD","2017-08-25","35.63","35.63","35.63","35.63","17500","2017","08","34","Friday"
"TTD","2017-08-29","35.63","35.63","35.63","35.63","1100","2017","08","35","Tuesday"
"TTD","2017-08-30","35.63","35.63","35.63","35.63","100","2017","08","35","Wednesday"
"TTD","2017-09-01","35.63","35.63","35.63","35.63","1000","2017","09","35","Friday"
"TTD","2017-09-05","35.63","35.63","35.63","35.63","2000","2017","09","36","Tuesday"
"TTD","2017-09-06","35.63","35.63","35.63","35.63","100","2017","09","36","Wednesday"
"TTD","2017-09-07","35.63","35.63","35.63","35.63","1000","2017","09","36","Thursday"
"TTD","2017-09-11","35.63","35.63","35.63","35.63","100","2017","09","37","Monday"
"TTD","2017-09-12","35.63","35.63","35.63","35.63","500","2017","09","37","Tuesday"
"TTD","2017-09-13","35.63","35.63","35.63","35.63","100","2017","09","37","Wednesday"
"TTD","2017-09-14","35.63","35.63","35.63","35.63","1000","2017","09","37","Thursday"
"TTD","2017-09-15","35.63","35.63","35.63","35.63","100","2017","09","37","Friday"
"TTD","2017-09-22","35.63","35.63","35.63","35.63","100","2017","09","38","Friday"
"TTD","2017-09-27","32.69","32.69","32.69","32.69","100","2017","09","39","Wednesday"
"TTD","2017-09-29","34.08","34.86","34.08","34.47","31100","2017","09","39","Friday"
