symbol,date,open,high,low,close,volume,year,month,week,weekday
"TTH","2016-10-26","6.56","7.16","6.56","7.16","1213400","2016","10","44","Wednesday"
"TTH","2016-10-27","7.88","7.88","7.36","7.88","1800300","2016","10","44","Thursday"
"TTH","2016-10-28","8.63","8.63","8.11","8.63","2455000","2016","10","44","Friday"
"TTH","2016-10-31","8.63","8.63","7.8","7.8","964480","2016","10","45","Monday"
"TTH","2016-11-01","7.04","7.04","7.04","7.04","176800","2016","11","45","Tuesday"
"TTH","2016-11-02","6.36","6.36","6.36","6.36","2200","2016","11","45","Wednesday"
"TTH","2016-11-03","5.73","5.73","5.73","5.73","11040","2016","11","45","Thursday"
"TTH","2016-11-04","5.17","5.17","5.17","5.17","321200","2016","11","45","Friday"
"TTH","2016-11-07","4.65","4.65","4.65","4.65","338400","2016","11","46","Monday"
"TTH","2016-11-08","4.22","4.22","4.22","4.22","55585","2016","11","46","Tuesday"
"TTH","2016-11-09","3.82","4.57","3.82","4.57","2943135","2016","11","46","Wednesday"
"TTH","2016-11-10","4.73","5.01","4.14","4.61","408020","2016","11","46","Thursday"
"TTH","2016-11-11","4.65","4.65","4.18","4.18","158410","2016","11","46","Friday"
"TTH","2016-11-14","3.78","3.82","3.78","3.78","257200","2016","11","47","Monday"
"TTH","2016-11-15","3.42","3.58","3.42","3.42","196225","2016","11","47","Tuesday"
"TTH","2016-11-16","3.1","3.1","3.1","3.1","127100","2016","11","47","Wednesday"
"TTH","2016-11-17","2.82","3.38","2.82","3.22","805270","2016","11","47","Thursday"
"TTH","2016-11-18","3.18","3.26","2.98","3.18","218100","2016","11","47","Friday"
"TTH","2016-11-21","2.98","3.5","2.98","3.5","280600","2016","11","48","Monday"
"TTH","2016-11-22","3.82","3.82","3.74","3.82","460300","2016","11","48","Tuesday"
"TTH","2016-11-23","4.14","4.18","3.74","3.98","946520","2016","11","48","Wednesday"
"TTH","2016-11-24","3.98","4.1","3.78","3.9","309180","2016","11","48","Thursday"
"TTH","2016-11-25","3.9","3.98","3.82","3.9","215505","2016","11","48","Friday"
"TTH","2016-11-28","3.9","3.98","3.78","3.82","203100","2016","11","49","Monday"
"TTH","2016-11-29","3.78","3.82","3.46","3.5","390245","2016","11","49","Tuesday"
"TTH","2016-11-30","3.54","3.62","3.46","3.62","96100","2016","11","49","Wednesday"
"TTH","2016-12-01","3.74","3.74","3.5","3.58","123415","2016","12","49","Thursday"
"TTH","2016-12-02","3.5","3.58","3.5","3.54","69600","2016","12","49","Friday"
"TTH","2016-12-05","3.54","3.7","3.5","3.66","118752","2016","12","50","Monday"
"TTH","2016-12-06","3.62","3.7","3.58","3.66","110338","2016","12","50","Tuesday"
"TTH","2016-12-07","3.54","3.66","3.5","3.54","49900","2016","12","50","Wednesday"
"TTH","2016-12-08","3.58","3.58","3.42","3.5","137210","2016","12","50","Thursday"
"TTH","2016-12-09","3.42","3.58","3.42","3.54","77300","2016","12","50","Friday"
"TTH","2016-12-12","3.58","3.86","3.58","3.82","194900","2016","12","51","Monday"
"TTH","2016-12-13","3.82","3.86","3.74","3.74","108408","2016","12","51","Tuesday"
"TTH","2016-12-14","3.74","3.74","3.5","3.58","105910","2016","12","51","Wednesday"
"TTH","2016-12-15","3.58","3.74","3.54","3.58","95600","2016","12","51","Thursday"
"TTH","2016-12-16","3.58","3.82","3.54","3.66","160300","2016","12","51","Friday"
"TTH","2016-12-19","3.74","3.74","3.54","3.54","146500","2016","12","52","Monday"
"TTH","2016-12-20","3.54","3.66","3.5","3.54","79300","2016","12","52","Tuesday"
"TTH","2016-12-21","3.78","3.86","3.54","3.62","66400","2016","12","52","Wednesday"
"TTH","2016-12-22","3.58","3.58","3.54","3.58","68700","2016","12","52","Thursday"
"TTH","2016-12-23","3.5","3.74","3.5","3.62","314700","2016","12","52","Friday"
"TTH","2016-12-26","3.66","3.66","3.5","3.54","82000","2016","12","53","Monday"
"TTH","2016-12-27","3.5","3.62","3.46","3.54","101600","2016","12","53","Tuesday"
"TTH","2016-12-28","3.62","3.62","3.52","3.52","30700","2016","12","53","Wednesday"
"TTH","2016-12-29","3.52","3.52","3.21","3.41","121800","2016","12","53","Thursday"
"TTH","2016-12-30","3.36","3.46","3.36","3.46","97000","2016","12","53","Friday"
"TTH","2017-01-03","3.36","3.62","3.36","3.57","92920","2017","01","1","Tuesday"
"TTH","2017-01-04","3.57","3.57","3.46","3.57","118607","2017","01","1","Wednesday"
"TTH","2017-01-05","3.52","3.57","3.41","3.57","114603","2017","01","1","Thursday"
"TTH","2017-01-06","3.46","3.57","3.41","3.46","77000","2017","01","1","Friday"
"TTH","2017-01-09","3.46","3.52","3.41","3.46","53800","2017","01","2","Monday"
"TTH","2017-01-10","3.46","3.46","3.36","3.36","54200","2017","01","2","Tuesday"
"TTH","2017-01-11","3.36","3.41","3.31","3.31","58810","2017","01","2","Wednesday"
"TTH","2017-01-12","3.31","3.36","3.26","3.36","65800","2017","01","2","Thursday"
"TTH","2017-01-13","3.36","3.41","3.31","3.31","26600","2017","01","2","Friday"
"TTH","2017-01-16","3.31","3.31","3.21","3.21","30300","2017","01","3","Monday"
"TTH","2017-01-17","3.26","3.31","3.21","3.26","11300","2017","01","3","Tuesday"
"TTH","2017-01-18","3.26","3.31","3.1","3.31","74100","2017","01","3","Wednesday"
"TTH","2017-01-19","3.26","3.26","3.1","3.21","43500","2017","01","3","Thursday"
"TTH","2017-01-20","3.26","3.31","3.1","3.21","83700","2017","01","3","Friday"
"TTH","2017-01-23","3.15","3.21","3.15","3.15","9600","2017","01","4","Monday"
"TTH","2017-01-24","3.15","3.15","3","3.05","118400","2017","01","4","Tuesday"
"TTH","2017-01-25","3","3.05","2.9","3","98700","2017","01","4","Wednesday"
"TTH","2017-02-02","3.05","3.21","3.05","3.15","61200","2017","02","5","Thursday"
"TTH","2017-02-03","3.15","3.15","3.1","3.15","79400","2017","02","5","Friday"
"TTH","2017-02-06","3.15","3.21","3.05","3.1","121200","2017","02","6","Monday"
"TTH","2017-02-07","3.1","3.1","2.95","3.05","134920","2017","02","6","Tuesday"
"TTH","2017-02-08","3.05","3.05","2.9","2.95","106220","2017","02","6","Wednesday"
"TTH","2017-02-09","2.95","3.21","2.95","3.21","226108","2017","02","6","Thursday"
"TTH","2017-02-10","3.36","3.52","3.31","3.41","376640","2017","02","6","Friday"
"TTH","2017-02-13","3.52","3.52","3.26","3.31","107420","2017","02","7","Monday"
"TTH","2017-02-14","3.31","3.36","3.26","3.36","171800","2017","02","7","Tuesday"
"TTH","2017-02-15","3.36","3.46","3.36","3.36","186100","2017","02","7","Wednesday"
"TTH","2017-02-16","3.36","3.36","3.31","3.31","133000","2017","02","7","Thursday"
"TTH","2017-02-17","3.36","3.36","3.21","3.21","181900","2017","02","7","Friday"
"TTH","2017-02-20","3.21","3.21","3.05","3.15","202310","2017","02","8","Monday"
"TTH","2017-02-21","3.15","3.46","3","3.46","434030","2017","02","8","Tuesday"
"TTH","2017-02-22","3.72","3.77","3.72","3.77","65821","2017","02","8","Wednesday"
"TTH","2017-02-23","4.14","4.14","3.62","4.08","1081929","2017","02","8","Thursday"
"TTH","2017-02-24","4.08","4.14","3.88","3.88","416010","2017","02","8","Friday"
"TTH","2017-02-27","3.88","3.98","3.83","3.93","314410","2017","02","9","Monday"
"TTH","2017-02-28","3.93","4.19","3.88","3.98","434550","2017","02","9","Tuesday"
"TTH","2017-03-01","4.03","4.24","3.98","4.08","855859","2017","03","9","Wednesday"
"TTH","2017-03-02","4.14","4.14","3.98","3.98","255750","2017","03","9","Thursday"
"TTH","2017-03-03","3.88","3.98","3.83","3.83","406682","2017","03","9","Friday"
"TTH","2017-03-06","3.77","3.83","3.67","3.72","394400","2017","03","10","Monday"
"TTH","2017-03-07","3.72","3.88","3.62","3.77","387630","2017","03","10","Tuesday"
"TTH","2017-03-08","3.77","3.93","3.72","3.72","214029","2017","03","10","Wednesday"
"TTH","2017-03-09","3.72","3.77","3.72","3.72","234580","2017","03","10","Thursday"
"TTH","2017-03-10","3.72","3.88","3.72","3.72","352490","2017","03","10","Friday"
"TTH","2017-03-13","3.72","3.77","3.67","3.72","310740","2017","03","11","Monday"
"TTH","2017-03-14","3.72","3.77","3.67","3.67","116240","2017","03","11","Tuesday"
"TTH","2017-03-15","3.72","3.77","3.67","3.72","179328","2017","03","11","Wednesday"
"TTH","2017-03-16","3.77","3.77","3.72","3.72","214707","2017","03","11","Thursday"
"TTH","2017-03-17","3.72","3.77","3.72","3.77","94880","2017","03","11","Friday"
"TTH","2017-03-20","3.77","3.93","3.77","3.77","416880","2017","03","12","Monday"
"TTH","2017-03-21","3.77","3.83","3.77","3.77","261530","2017","03","12","Tuesday"
"TTH","2017-03-22","3.77","3.83","3.77","3.77","167250","2017","03","12","Wednesday"
"TTH","2017-03-23","3.83","3.88","3.77","3.88","224135","2017","03","12","Thursday"
"TTH","2017-03-24","3.88","4.24","3.77","4.24","997730","2017","03","12","Friday"
"TTH","2017-03-27","4.39","4.65","4.29","4.65","487890","2017","03","13","Monday"
"TTH","2017-03-28","5.02","5.12","4.76","4.81","694258","2017","03","13","Tuesday"
"TTH","2017-03-29","4.81","4.91","4.6","4.71","779230","2017","03","13","Wednesday"
"TTH","2017-03-30","4.65","5.12","4.65","4.76","290020","2017","03","13","Thursday"
"TTH","2017-03-31","4.81","4.86","4.71","4.81","389676","2017","03","13","Friday"
"TTH","2017-04-03","4.81","4.81","4.65","4.81","397760","2017","04","14","Monday"
"TTH","2017-04-04","4.91","5.27","4.81","5.22","417770","2017","04","14","Tuesday"
"TTH","2017-04-05","5.27","5.74","5.27","5.74","449289","2017","04","14","Wednesday"
"TTH","2017-04-07","6.31","6.31","6.05","6.21","1643290","2017","04","14","Friday"
"TTH","2017-04-10","6.36","6.36","5.58","5.58","714360","2017","04","15","Monday"
"TTH","2017-04-11","5.43","5.79","5.12","5.12","316170","2017","04","15","Tuesday"
"TTH","2017-04-12","4.96","5.17","4.76","4.86","629874","2017","04","15","Wednesday"
"TTH","2017-04-13","4.76","5.33","4.76","5.17","511121","2017","04","15","Thursday"
"TTH","2017-04-14","5.17","5.27","4.86","5.07","193810","2017","04","15","Friday"
"TTH","2017-04-17","5.07","5.07","4.76","4.81","327729","2017","04","16","Monday"
"TTH","2017-04-18","4.81","4.81","4.34","4.34","838518","2017","04","16","Tuesday"
"TTH","2017-04-19","4.19","4.71","4.19","4.65","211331","2017","04","16","Wednesday"
"TTH","2017-04-20","4.65","4.65","4.45","4.6","125894","2017","04","16","Thursday"
"TTH","2017-04-21","4.55","4.65","4.45","4.65","219170","2017","04","16","Friday"
"TTH","2017-04-24","4.71","4.71","4.55","4.71","169360","2017","04","17","Monday"
"TTH","2017-04-25","4.76","4.76","4.65","4.71","120000","2017","04","17","Tuesday"
"TTH","2017-04-26","4.71","4.71","4.6","4.6","227920","2017","04","17","Wednesday"
"TTH","2017-04-27","4.6","4.6","4.55","4.6","312246","2017","04","17","Thursday"
"TTH","2017-04-28","4.55","4.6","4.5","4.55","165029","2017","04","17","Friday"
"TTH","2017-05-03","4.55","4.86","4.55","4.86","324710","2017","05","18","Wednesday"
"TTH","2017-05-04","4.86","5.02","4.81","4.96","150592","2017","05","18","Thursday"
"TTH","2017-05-05","4.96","4.96","4.76","4.86","191180","2017","05","18","Friday"
"TTH","2017-05-08","4.91","4.96","4.71","4.71","269670","2017","05","19","Monday"
"TTH","2017-05-09","4.71","4.76","4.6","4.71","116700","2017","05","19","Tuesday"
"TTH","2017-05-10","4.65","4.65","4.55","4.6","94160","2017","05","19","Wednesday"
"TTH","2017-05-11","4.65","4.76","4.55","4.55","82400","2017","05","19","Thursday"
"TTH","2017-05-12","4.6","4.65","4.6","4.65","53620","2017","05","19","Friday"
"TTH","2017-05-15","4.65","4.65","4.55","4.6","109400","2017","05","20","Monday"
"TTH","2017-05-16","4.6","4.6","4.5","4.55","177790","2017","05","20","Tuesday"
"TTH","2017-05-17","4.55","4.55","4.5","4.55","102240","2017","05","20","Wednesday"
"TTH","2017-05-18","4.5","4.5","4.14","4.39","299700","2017","05","20","Thursday"
"TTH","2017-05-19","4.39","4.45","4.34","4.39","135140","2017","05","20","Friday"
"TTH","2017-05-22","4.34","4.39","4.24","4.39","58870","2017","05","21","Monday"
"TTH","2017-05-23","4.5","4.5","4.24","4.29","81110","2017","05","21","Tuesday"
"TTH","2017-05-24","4.34","4.39","4.24","4.29","42200","2017","05","21","Wednesday"
"TTH","2017-05-25","4.34","4.34","4.24","4.29","47930","2017","05","21","Thursday"
"TTH","2017-05-26","4.39","4.45","4.24","4.24","188270","2017","05","21","Friday"
"TTH","2017-05-29","4.24","4.34","4.24","4.24","42480","2017","05","22","Monday"
"TTH","2017-05-30","4.24","4.34","4.24","4.29","98730","2017","05","22","Tuesday"
"TTH","2017-05-31","4.29","4.45","4.29","4.45","128900","2017","05","22","Wednesday"
"TTH","2017-06-01","4.45","4.6","4.45","4.55","175100","2017","06","22","Thursday"
"TTH","2017-06-02","4.6","4.6","4.45","4.5","108700","2017","06","22","Friday"
"TTH","2017-06-05","4.5","4.5","4.34","4.39","68300","2017","06","23","Monday"
"TTH","2017-06-06","4.39","4.39","4.29","4.39","16770","2017","06","23","Tuesday"
"TTH","2017-06-07","4.39","4.45","4.29","4.29","58640","2017","06","23","Wednesday"
"TTH","2017-06-08","4.29","4.29","4.24","4.24","104800","2017","06","23","Thursday"
"TTH","2017-06-09","4.24","4.29","4.24","4.29","27860","2017","06","23","Friday"
"TTH","2017-06-12","4.24","4.34","4.24","4.34","64300","2017","06","24","Monday"
"TTH","2017-06-13","4.34","4.34","4.24","4.29","42800","2017","06","24","Tuesday"
"TTH","2017-06-14","4.29","4.29","4.24","4.24","38920","2017","06","24","Wednesday"
"TTH","2017-06-15","4.24","4.29","4.24","4.29","33040","2017","06","24","Thursday"
"TTH","2017-06-16","4.29","4.29","4.24","4.24","28250","2017","06","24","Friday"
"TTH","2017-06-19","4.24","4.34","4.24","4.34","34300","2017","06","25","Monday"
"TTH","2017-06-20","4.34","4.76","4.34","4.76","1034630","2017","06","25","Tuesday"
"TTH","2017-06-21","4.96","4.96","4.55","4.55","235000","2017","06","25","Wednesday"
"TTH","2017-06-22","4.6","4.71","4.6","4.6","96060","2017","06","25","Thursday"
"TTH","2017-06-23","4.6","4.6","4.24","4.39","132190","2017","06","25","Friday"
