symbol,date,open,high,low,close,volume,year,month,week,weekday
"TV1","2010-09-23","11.72","14.64","11.72","13.34","32540","2010","09","39","Thursday"
"TV1","2010-09-24","13.34","13.34","13.21","13.34","31810","2010","09","39","Friday"
"TV1","2010-09-27","13.34","13.99","13.28","13.28","25220","2010","09","40","Monday"
"TV1","2010-09-28","13.34","13.54","13.28","13.47","54910","2010","09","40","Tuesday"
"TV1","2010-09-29","10.22","10.22","10.15","10.22","25370","2010","09","40","Wednesday"
"TV1","2010-09-30","10.22","10.22","9.76","9.76","14310","2010","09","40","Thursday"
"TV1","2010-10-01","9.76","9.76","9.37","9.63","1140","2010","10","40","Friday"
"TV1","2010-10-04","9.63","9.63","9.18","9.18","8950","2010","10","41","Monday"
"TV1","2010-10-05","8.72","8.79","8.72","8.79","5830","2010","10","41","Tuesday"
"TV1","2010-10-06","9.11","9.11","8.85","8.92","2260","2010","10","41","Wednesday"
"TV1","2010-10-07","9.18","9.18","8.79","8.79","4740","2010","10","41","Thursday"
"TV1","2010-10-08","9.11","9.11","8.59","8.59","3340","2010","10","41","Friday"
"TV1","2010-10-11","8.53","8.85","8.2","8.27","6140","2010","10","42","Monday"
"TV1","2010-10-12","8.33","8.46","8.2","8.27","11910","2010","10","42","Tuesday"
"TV1","2010-10-13","8.53","8.66","8.4","8.53","8270","2010","10","42","Wednesday"
"TV1","2010-10-14","8.79","8.79","8.72","8.72","1030","2010","10","42","Thursday"
"TV1","2010-10-15","8.33","8.59","8.33","8.4","12130","2010","10","42","Friday"
"TV1","2010-10-18","8.46","8.46","8.01","8.07","12510","2010","10","43","Monday"
"TV1","2010-10-19","7.88","8.07","7.68","7.68","18670","2010","10","43","Tuesday"
"TV1","2010-10-20","7.75","7.75","7.36","7.36","18330","2010","10","43","Wednesday"
"TV1","2010-10-21","7.49","7.49","7.16","7.42","760","2010","10","43","Thursday"
"TV1","2010-10-22","7.29","7.49","7.09","7.09","4900","2010","10","43","Friday"
"TV1","2010-10-25","7.36","7.36","7.16","7.16","660","2010","10","44","Monday"
"TV1","2010-10-26","7.49","7.49","7.16","7.49","11320","2010","10","44","Tuesday"
"TV1","2010-10-27","7.36","7.49","7.36","7.49","2500","2010","10","44","Wednesday"
"TV1","2010-10-28","7.49","7.49","7.29","7.42","8790","2010","10","44","Thursday"
"TV1","2010-10-29","7.36","7.49","7.22","7.49","8940","2010","10","44","Friday"
"TV1","2010-11-01","7.49","7.49","7.22","7.36","6950","2010","11","45","Monday"
"TV1","2010-11-02","7.36","7.36","7.16","7.16","18530","2010","11","45","Tuesday"
"TV1","2010-11-03","7.16","7.22","6.83","6.83","14730","2010","11","45","Wednesday"
"TV1","2010-11-04","6.9","7.03","6.9","6.96","2850","2010","11","45","Thursday"
"TV1","2010-11-05","7.09","7.16","6.9","7.09","12260","2010","11","45","Friday"
"TV1","2010-11-08","7.03","7.03","6.77","6.83","3780","2010","11","46","Monday"
"TV1","2010-11-09","7.03","7.03","6.64","6.64","4500","2010","11","46","Tuesday"
"TV1","2010-11-10","6.77","6.77","6.77","6.77","3230","2010","11","46","Wednesday"
"TV1","2010-11-11","6.7","6.83","6.51","6.51","4260","2010","11","46","Thursday"
"TV1","2010-11-12","6.51","6.51","6.51","6.51","1640","2010","11","46","Friday"
"TV1","2010-11-15","6.51","6.51","6.44","6.44","1340","2010","11","47","Monday"
"TV1","2010-11-16","6.44","6.44","6.38","6.38","3020","2010","11","47","Tuesday"
"TV1","2010-11-17","6.51","6.51","6.38","6.38","3490","2010","11","47","Wednesday"
"TV1","2010-11-18","6.51","6.51","6.44","6.44","2550","2010","11","47","Thursday"
"TV1","2010-11-19","6.44","6.44","6.44","6.44","550","2010","11","47","Friday"
"TV1","2010-11-22","6.38","6.44","6.18","6.44","3010","2010","11","48","Monday"
"TV1","2010-11-23","6.38","6.51","6.31","6.51","5320","2010","11","48","Tuesday"
"TV1","2010-11-25","6.38","6.64","6.38","6.64","3440","2010","11","48","Thursday"
"TV1","2010-11-26","6.38","6.51","6.38","6.38","3370","2010","11","48","Friday"
"TV1","2010-11-29","6.38","6.38","6.38","6.38","4000","2010","11","49","Monday"
"TV1","2010-11-30","6.38","6.64","6.38","6.64","11180","2010","11","49","Tuesday"
"TV1","2010-12-01","6.64","6.83","6.64","6.64","680","2010","12","49","Wednesday"
"TV1","2010-12-02","6.51","6.7","6.44","6.44","4490","2010","12","49","Thursday"
"TV1","2010-12-03","6.7","6.7","6.64","6.7","32600","2010","12","49","Friday"
"TV1","2010-12-06","6.96","7.03","6.7","6.96","11890","2010","12","50","Monday"
"TV1","2010-12-07","6.77","6.96","6.77","6.96","2400","2010","12","50","Tuesday"
"TV1","2010-12-08","6.77","6.77","6.64","6.77","4280","2010","12","50","Wednesday"
"TV1","2010-12-09","6.77","6.77","6.77","6.77","30","2010","12","50","Thursday"
"TV1","2010-12-10","6.57","6.77","6.57","6.64","1600","2010","12","50","Friday"
"TV1","2010-12-13","6.83","6.96","6.83","6.83","17900","2010","12","51","Monday"
"TV1","2010-12-14","6.96","6.96","6.51","6.57","8690","2010","12","51","Tuesday"
"TV1","2010-12-15","6.57","6.7","6.51","6.51","5790","2010","12","51","Wednesday"
"TV1","2010-12-16","6.57","6.64","6.44","6.44","6410","2010","12","51","Thursday"
"TV1","2010-12-17","6.38","6.7","6.38","6.7","10290","2010","12","51","Friday"
"TV1","2010-12-20","7.03","7.03","7.03","7.03","6510","2010","12","52","Monday"
"TV1","2010-12-21","7.36","7.36","7.29","7.36","25090","2010","12","52","Tuesday"
"TV1","2010-12-22","7.29","7.36","7.16","7.16","17900","2010","12","52","Wednesday"
"TV1","2010-12-23","6.9","6.96","6.83","6.9","10840","2010","12","52","Thursday"
"TV1","2010-12-24","6.7","6.9","6.7","6.9","1220","2010","12","52","Friday"
"TV1","2010-12-27","7.16","7.16","7.16","7.16","10","2010","12","53","Monday"
"TV1","2010-12-28","6.9","6.9","6.83","6.83","3790","2010","12","53","Tuesday"
"TV1","2010-12-29","7.09","7.09","6.83","6.9","4580","2010","12","53","Wednesday"
"TV1","2010-12-30","6.57","7.16","6.57","6.83","2510","2010","12","53","Thursday"
"TV1","2010-12-31","6.64","6.83","6.64","6.77","2700","2010","12","53","Friday"
"TV1","2011-01-04","6.77","6.83","6.77","6.83","3120","2011","01","1","Tuesday"
"TV1","2011-01-05","6.83","6.83","6.83","6.83","1300","2011","01","1","Wednesday"
"TV1","2011-01-06","7.03","7.03","6.83","6.83","290","2011","01","1","Thursday"
"TV1","2011-01-07","6.57","6.64","6.57","6.64","6700","2011","01","1","Friday"
"TV1","2011-01-10","6.51","6.51","6.51","6.51","2800","2011","01","2","Monday"
"TV1","2011-01-11","6.25","6.44","6.25","6.25","11630","2011","01","2","Tuesday"
"TV1","2011-01-12","6.25","6.38","6.25","6.38","3970","2011","01","2","Wednesday"
"TV1","2011-01-13","6.25","6.51","6.25","6.25","6690","2011","01","2","Thursday"
"TV1","2011-01-14","6.38","6.38","6.25","6.38","2480","2011","01","2","Friday"
"TV1","2011-01-17","6.44","6.44","6.25","6.25","8340","2011","01","3","Monday"
"TV1","2011-01-18","6.38","6.38","6.18","6.18","200","2011","01","3","Tuesday"
"TV1","2011-01-19","6.25","6.44","6.18","6.44","10740","2011","01","3","Wednesday"
