symbol,date,open,high,low,close,volume
"TV3","2009-12-01","4.01","4.01","3.21","3.69","4900"
"TV3","2009-12-02","3.53","3.61","3.53","3.61","4600"
"TV3","2009-12-03","3.53","3.53","3.53","3.53","5800"
"TV3","2009-12-04","3.53","3.53","3.53","3.53","2200"
"TV3","2009-12-07","3.61","3.77","3.61","3.77","200"
"TV3","2009-12-08","3.45","3.45","3.45","3.45","900"
"TV3","2009-12-09","3.45","3.45","3.37","3.37","700"
"TV3","2009-12-10","3.53","3.53","3.23","3.23","2600"
"TV3","2009-12-11","3.21","3.21","3.13","3.13","3000"
"TV3","2009-12-14","3.18","3.35","3.18","3.33","4600"
"TV3","2009-12-15","3.21","3.47","3.21","3.47","400"
"TV3","2009-12-16","3.21","3.21","3.21","3.21","700"
"TV3","2009-12-17","3.21","3.21","3.21","3.21","100"
"TV3","2009-12-18","3.21","3.3","3.21","3.23","2100"
"TV3","2009-12-21","3.28","3.3","3.21","3.3","2900"
"TV3","2009-12-22","3.21","3.21","3.21","3.21","2500"
"TV3","2009-12-23","3.21","3.21","3.21","3.21","2000"
"TV3","2009-12-24","3.13","3.21","3.13","3.13","1700"
"TV3","2009-12-25","3.09","3.2","3.09","3.13","6100"
"TV3","2009-12-28","3.13","3.13","3.13","3.13","1400"
"TV3","2009-12-29","3.04","3.04","2.98","2.98","2700"
"TV3","2009-12-30","3.2","3.2","2.87","2.87","1100"
"TV3","2009-12-31","3.03","3.11","3.03","3.11","4200"
"TV3","2010-01-04","2.87","3.21","2.87","3.21","2400"
"TV3","2010-01-05","3.13","3.13","3.09","3.09","1400"
"TV3","2010-01-06","2.94","3.13","2.94","3.13","400"
"TV3","2010-01-07","3.08","3.08","3.04","3.04","700"
"TV3","2010-01-08","3.06","3.08","3.04","3.08","3100"
"TV3","2010-01-11","3.06","3.15","3.06","3.11","7300"
"TV3","2010-01-12","3.13","3.13","3.04","3.13","4700"
"TV3","2010-01-13","3.09","3.09","3.09","3.09","1000"
"TV3","2010-01-14","3.06","3.06","3.06","3.06","500"
"TV3","2010-01-15","3.26","3.26","3.26","3.26","12100"
"TV3","2010-01-18","3.48","3.48","3.06","3.25","4500"
"TV3","2010-01-19","3.23","3.38","3.23","3.38","200"
"TV3","2010-01-20","3.38","3.38","3.37","3.37","200"
"TV3","2010-01-21","3.3","3.3","3.16","3.21","8200"
"TV3","2010-01-22","3.01","3.01","2.99","3.01","7600"
"TV3","2010-01-25","3.13","3.21","3.13","3.21","2100"
"TV3","2010-01-26","3.13","3.21","3.13","3.21","3400"
"TV3","2010-01-27","3.15","3.15","3.04","3.04","4600"
"TV3","2010-01-28","3.04","3.28","2.96","3.28","5100"
"TV3","2010-01-29","3.3","3.4","3.3","3.4","3900"
"TV3","2010-02-01","3.38","3.38","3.38","3.38","1600"
"TV3","2010-02-02","3.55","3.55","3.25","3.25","300"
"TV3","2010-02-03","3.33","3.35","3.31","3.33","9300"
"TV3","2010-02-04","3.38","3.55","3.33","3.38","8000"
"TV3","2010-02-05","3.3","3.3","3.3","3.3","100"
"TV3","2010-02-08","3.5","3.5","3.11","3.11","2500"
"TV3","2010-02-09","3.38","3.48","3.13","3.2","2900"
"TV3","2010-02-10","3.67","3.67","3.53","3.65","2800"
"TV3","2010-02-11","3.4","3.8","3.4","3.8","200"
"TV3","2010-02-12","3.55","3.55","3.42","3.42","600"
"TV3","2010-02-22","3.55","3.57","3.53","3.57","1500"
"TV3","2010-02-23","3.55","3.55","3.52","3.55","6400"
"TV3","2010-02-24","3.35","3.38","3.35","3.38","3300"
"TV3","2010-02-25","3.55","3.62","3.55","3.55","3700"
