symbol,date,open,high,low,close,volume,year,month,week,weekday
"TVN","2016-01-18","12","12.8","12","12.7","2000","2016","01","4","Monday"
"TVN","2016-01-19","12","12","10.8","10.8","5700","2016","01","4","Tuesday"
"TVN","2016-01-25","11","11","11","11","100","2016","01","5","Monday"
"TVN","2016-01-26","9.4","9.4","9.4","9.4","100","2016","01","5","Tuesday"
"TVN","2016-01-27","9.4","9.4","9.4","9.4","10","2016","01","5","Wednesday"
"TVN","2016-02-03","8","9.5","8","9.5","200","2016","02","6","Wednesday"
"TVN","2016-02-05","9.9","10","9.9","10","500","2016","02","6","Friday"
"TVN","2016-02-16","9","9","8.7","8.7","700","2016","02","8","Tuesday"
"TVN","2016-02-17","8.5","8.5","8.5","8.5","300","2016","02","8","Wednesday"
"TVN","2016-02-22","7.5","7.5","7.3","7.3","300","2016","02","9","Monday"
"TVN","2016-02-23","7","7","6.6","6.6","900","2016","02","9","Tuesday"
"TVN","2016-02-24","6","6","6","6","300","2016","02","9","Wednesday"
"TVN","2016-02-25","5.4","5.4","5.4","5.4","100","2016","02","9","Thursday"
"TVN","2016-02-26","6.2","6.2","6.2","6.2","500","2016","02","9","Friday"
"TVN","2016-02-29","6","6","6","6","500","2016","02","10","Monday"
"TVN","2016-03-01","6.9","6.9","6.9","6.9","200","2016","03","10","Tuesday"
"TVN","2016-03-02","7.7","7.7","7.7","7.7","100","2016","03","10","Wednesday"
"TVN","2016-03-04","6.7","6.7","6.7","6.7","300","2016","03","10","Friday"
"TVN","2016-03-07","6.7","6.7","5.9","5.9","200","2016","03","11","Monday"
"TVN","2016-03-08","7.1","7.1","7.1","7.1","100","2016","03","11","Tuesday"
"TVN","2016-03-09","6.2","6.2","6.2","6.2","100","2016","03","11","Wednesday"
"TVN","2016-03-11","7","7","5.8","5.8","200","2016","03","11","Friday"
"TVN","2016-03-14","6.8","6.8","6.8","6.8","1300","2016","03","12","Monday"
"TVN","2016-03-15","6.1","6.1","6.1","6.1","200","2016","03","12","Tuesday"
"TVN","2016-03-16","5.7","5.7","5.7","5.7","100","2016","03","12","Wednesday"
"TVN","2016-03-17","5.6","5.6","5.6","5.6","100","2016","03","12","Thursday"
"TVN","2016-03-18","5.6","5.6","5.6","5.6","40","2016","03","12","Friday"
"TVN","2016-03-22","6.4","6.4","6.4","6.4","100","2016","03","13","Tuesday"
"TVN","2016-03-23","7.3","7.3","6.4","7","1500","2016","03","13","Wednesday"
"TVN","2016-03-24","7.9","7.9","7.9","7.9","3800","2016","03","13","Thursday"
"TVN","2016-03-25","8","8.5","8","8.5","3500","2016","03","13","Friday"
"TVN","2016-03-28","8","9.2","8","9.2","36300","2016","03","14","Monday"
"TVN","2016-03-29","10.2","10.2","10","10.2","101600","2016","03","14","Tuesday"
"TVN","2016-03-30","11","11","9.9","9.9","15523","2016","03","14","Wednesday"
"TVN","2016-03-31","8.7","10","8.7","10","800","2016","03","14","Thursday"
"TVN","2016-04-01","8.6","9.8","7.7","9.8","39437","2016","04","14","Friday"
"TVN","2016-04-04","7.4","7.4","7.1","7.1","6000","2016","04","15","Monday"
"TVN","2016-04-05","8.1","8.1","8","8.1","1800","2016","04","15","Tuesday"
"TVN","2016-04-06","9.3","9.3","9","9","600","2016","04","15","Wednesday"
"TVN","2016-04-07","9.2","9.3","8","9","9500","2016","04","15","Thursday"
"TVN","2016-04-08","8.4","8.4","8.4","8.4","100","2016","04","15","Friday"
