symbol,date,open,high,low,close,volume
"TXM","2006-12-11","13.76","13.76","12.31","12.96","14400"
"TXM","2006-12-12","13.04","13.04","12.31","12.31","9100"
"TXM","2006-12-14","12.31","12.31","12.31","12.24","2000"
"TXM","2006-12-15","12.31","12.31","12.31","12.17","1600"
"TXM","2006-12-18","12.31","12.31","12.31","12.09","10200"
"TXM","2006-12-19","10.86","12.31","10.86","10.94","17300"
"TXM","2006-12-20","11.59","11.59","11.59","11.44","17000"
"TXM","2006-12-21","12.31","12.31","12.31","12.53","12000"
"TXM","2006-12-22","13.04","13.76","13.04","13.11","7500"
"TXM","2006-12-25","13.76","13.76","13.76","13.4","4600"
"TXM","2006-12-26","13.76","13.76","13.76","13.47","3500"
"TXM","2006-12-27","13.76","14.48","13.76","14.34","30500"
"TXM","2006-12-28","13.76","15.21","13.76","14.19","14100"
"TXM","2006-12-29","14.48","14.48","13.76","13.9","12600"
"TXM","2007-01-02","14.48","14.48","13.76","14.12","4700"
"TXM","2007-01-03","13.76","14.48","13.76","13.9","4900"
"TXM","2007-01-04","13.76","13.76","13.76","13.76","10200"
"TXM","2007-01-05","13.76","13.76","13.76","13.69","25900"
"TXM","2007-01-08","13.76","13.76","13.76","13.54","10000"
"TXM","2007-01-09","13.76","13.76","13.76","13.47","10500"
"TXM","2007-01-10","13.76","13.76","13.76","13.54","22100"
"TXM","2007-01-11","13.76","14.48","13.76","14.48","28900"
"TXM","2007-01-12","15.93","15.93","15.21","15.57","17000"
"TXM","2007-01-15","17.38","17.38","17.38","17.02","20200"
"TXM","2007-01-16","18.83","18.83","18.83","18.68","24800"
"TXM","2007-01-17","20.28","20.28","20.28","20.49","61300"
"TXM","2007-01-18","22.45","22.45","20.28","21.73","106500"
"TXM","2007-01-19","21.73","23.9","20.28","21.73","92900"
"TXM","2007-01-22","19.55","21","19.55","20.28","32000"
"TXM","2007-01-23","20.28","20.28","18.83","19.91","10100"
"TXM","2007-01-24","18.83","19.55","18.1","19.48","16400"
"TXM","2007-01-25","18.83","19.55","17.38","19.41","12100"
"TXM","2007-01-26","19.55","19.55","18.1","18.47","12300"
"TXM","2007-01-29","18.83","18.83","18.83","18.83","5700"
"TXM","2007-01-30","19.55","20.28","19.55","19.7","15600"
"TXM","2007-01-31","20.28","21.73","18.83","20.64","20600"
"TXM","2007-02-01","21.73","21.73","20.28","20.64","6400"
"TXM","2007-02-02","21","21.73","19.55","19.19","18300"
"TXM","2007-02-05","21","21","20.28","20.64","20400"
"TXM","2007-02-06","21","21","20.28","20.28","15500"
"TXM","2007-02-07","21","21.73","20.28","21","41100"
"TXM","2007-02-08","21.73","23.17","21.73","21.58","54100"
"TXM","2007-02-09","21.73","23.17","21.73","22.45","27100"
"TXM","2007-02-12","21.73","22.45","21.73","21.73","21700"
"TXM","2007-02-13","22.45","22.45","21.73","21.73","30500"
"TXM","2007-02-14","22.45","23.17","21.73","22.45","29700"
"TXM","2007-02-15","22.45","23.9","22.45","23.9","22800"
"TXM","2007-02-26","25.35","25.35","25.35","25.27","20100"
"TXM","2007-02-27","27.52","27.52","27.52","27.73","17300"
"TXM","2007-02-28","30.41","30.41","28.97","30.41","65600"
"TXM","2007-03-01","33.31","33.31","29.69","31.5","67000"
"TXM","2007-03-02","31.14","32.59","30.41","31.14","57500"
"TXM","2007-03-05","30.41","34.03","28.97","34.25","64900"
"TXM","2007-03-06","34.03","34.03","31.86","34.18","65800"
"TXM","2007-03-07","36.93","36.93","36.93","37.01","19900"
"TXM","2007-03-08","40.55","40.55","40.55","40.7","27700"
"TXM","2007-03-09","44.9","44.9","42","42","101400"
"TXM","2007-03-12","43.45","44.9","40.55","40.26","35900"
"TXM","2007-03-13","40.55","40.55","38.38","38.02","28700"
"TXM","2007-03-14","34.76","36.21","34.76","35.85","24100"
"TXM","2007-03-15","31.86","35.48","31.86","32.95","27600"
"TXM","2007-03-16","34.03","36.93","33.31","37.01","18900"
"TXM","2007-03-19","37.66","39.83","37.66","39.83","48300"
"TXM","2007-03-20","44.17","44.17","36.21","36.21","18700"
"TXM","2007-03-21","39.1","39.1","36.93","36.86","21700"
"TXM","2007-03-22","36.93","36.93","35.48","36.86","12700"
"TXM","2007-03-23","39.1","39.1","36.21","37.58","19300"
"TXM","2007-03-26","36.21","36.21","33.31","33.17","3500"
"TXM","2007-03-27","29.69","30.41","29.69","29.98","7800"
"TXM","2007-03-28","27.52","31.14","27.52","31.14","9100"
"TXM","2007-03-29","30.41","30.41","30.41","30.56","500"
"TXM","2007-03-30","33.31","33.31","33.31","33.6","30300"
"TXM","2007-04-02","36.93","36.93","33.31","32.95","4600"
"TXM","2007-04-03","30.41","31.14","30.41","30.56","9000"
"TXM","2007-04-04","30.41","34.03","30.41","30.49","11800"
"TXM","2007-04-05","31.14","31.86","28.24","31.14","9500"
"TXM","2007-04-06","31.14","31.14","30.41","30.49","9400"
"TXM","2007-04-09","31.14","31.14","28.97","29.69","11600"
"TXM","2007-04-10","30.41","31.14","30.41","30.05","6600"
"TXM","2007-04-11","30.41","31.14","30.41","30.41","10100"
"TXM","2007-04-12","31.14","31.14","30.41","30.41","12200"
"TXM","2007-04-13","31.14","31.14","28.24","28.6","2600"
"TXM","2007-04-16","28.97","29.69","26.79","27.52","2300"
"TXM","2007-04-17","24.62","24.62","24.62","24.84","11500"
"TXM","2007-04-18","26.79","27.52","26.79","27.23","1100"
"TXM","2007-04-19","29.69","29.69","27.52","27.52","16000"
"TXM","2007-04-20","28.97","29.69","27.52","28.17","3400"
"TXM","2007-04-23","26.79","26.79","26.07","26.07","2500"
"TXM","2007-04-24","24.62","25.35","24.62","25.06","1400"
"TXM","2007-04-25","25.35","26.79","25.35","26.43","3700"
"TXM","2007-05-02","26.79","27.52","26.79","27.16","2300"
