symbol,date,open,high,low,close,volume
"TYA","2006-02-15","13.55","13.55","13.55","13.55","68200"
"TYA","2006-02-16","13.55","13.55","13.55","13.55","179660"
"TYA","2006-02-17","13.35","13.35","13.35","13.35","120180"
"TYA","2006-02-20","11.96","12.16","11.96","12.16","153030"
"TYA","2006-02-21","12.75","12.75","12.75","12.75","43890"
"TYA","2006-02-22","13.39","13.39","13.39","13.39","202850"
"TYA","2006-02-23","13.55","13.75","13.55","13.75","90230"
"TYA","2006-02-24","13.95","13.95","13.83","13.83","119020"
"TYA","2006-02-27","13.75","13.75","13.55","13.55","82570"
"TYA","2006-02-28","13.39","13.39","13.15","13.15","123900"
"TYA","2006-03-01","13.43","13.43","13.31","13.31","94690"
"TYA","2006-03-02","13.55","13.95","13.55","13.95","136060"
"TYA","2006-03-03","13.75","13.75","13.39","13.39","153030"
"TYA","2006-03-06","13.39","13.39","13.39","13.39","49880"
"TYA","2006-03-07","13.47","13.47","13.47","13.47","68020"
"TYA","2006-03-08","13.55","13.55","13.47","13.47","41240"
"TYA","2006-03-09","13.91","13.91","13.75","13.75","100170"
"TYA","2006-03-10","14.11","14.11","13.95","13.95","82600"
"TYA","2006-03-13","13.95","14.03","13.95","14.03","73310"
"TYA","2006-03-14","14.11","14.11","13.95","13.95","56070"
"TYA","2006-03-15","13.39","13.47","13.39","13.47","100140"
"TYA","2006-03-16","13.75","13.87","13.75","13.87","72660"
"TYA","2006-03-17","13.95","13.95","13.95","13.95","71730"
"TYA","2006-03-20","14.15","14.15","14.11","14.11","89640"
"TYA","2006-03-21","14.43","14.71","14.43","14.71","193190"
"TYA","2006-03-22","14.95","14.95","14.71","14.71","154120"
"TYA","2006-03-23","14.71","14.71","14.35","14.35","79530"
"TYA","2006-03-24","14.15","14.15","13.95","13.95","41890"
"TYA","2006-03-27","13.95","14.03","13.95","14.03","38960"
"TYA","2006-03-28","14.19","14.19","14.15","14.15","45380"
"TYA","2006-03-29","14.15","14.15","14.15","14.15","106770"
"TYA","2006-03-30","14.35","14.35","14.35","14.35","90230"
"TYA","2006-03-31","14.55","14.55","14.39","14.39","119600"
"TYA","2006-04-03","14.47","14.47","14.39","14.39","58700"
"TYA","2006-04-04","13.95","13.95","13.95","13.95","112740"
"TYA","2006-04-05","13.95","13.95","13.95","13.95","86090"
"TYA","2006-04-06","13.95","13.95","13.95","13.95","105480"
"TYA","2006-04-07","14.55","14.55","14.43","14.43","137240"
"TYA","2006-04-10","14.75","14.95","14.75","14.95","216090"
