symbol,date,open,high,low,close,volume
"UDC","2010-07-05","23.55","23.55","23.55","23.55","10"
"UDC","2010-07-06","24.73","24.73","24.73","24.73","131010"
"UDC","2010-07-07","25.71","25.71","23.55","23.55","438510"
"UDC","2010-07-08","22.57","24.54","22.57","22.57","105300"
"UDC","2010-07-09","21.69","23.06","21.69","22.57","103000"
"UDC","2010-07-12","23.45","23.45","21.49","21.89","77960"
"UDC","2010-07-13","21.89","22.96","21.89","22.96","208990"
"UDC","2010-07-14","24.04","24.04","23.55","24.04","584700"
"UDC","2010-07-15","24.54","24.54","23.16","23.16","104960"
"UDC","2010-07-16","23.26","23.75","22.67","23.36","127430"
"UDC","2010-07-19","23.36","23.36","22.38","23.06","57640"
"UDC","2010-07-20","22.87","22.96","22.57","22.67","131870"
"UDC","2010-07-21","23.06","23.06","22.38","22.38","179450"
"UDC","2010-07-22","22.87","22.87","22.28","22.47","208240"
"UDC","2010-07-23","22.08","22.87","22.08","22.08","185880"
"UDC","2010-07-26","22.47","22.47","21.39","21.39","83010"
"UDC","2010-07-27","21.3","22.08","21.3","21.49","119790"
"UDC","2010-07-28","20.71","21.49","20.51","21.39","183000"
"UDC","2010-07-29","21.39","22.38","20.61","22.38","130160"
"UDC","2010-07-30","22.38","22.57","21.79","21.79","84850"
"UDC","2010-08-02","21.89","21.89","21.1","21.1","108180"
"UDC","2010-08-03","20.71","21.1","20.61","20.71","130890"
"UDC","2010-08-04","20.71","20.71","19.73","20.41","85700"
"UDC","2010-08-05","20.51","21","20.22","20.22","201020"
"UDC","2010-08-06","19.82","20.41","19.82","19.92","44860"
"UDC","2010-08-09","19.63","19.63","18.94","18.94","129320"
"UDC","2010-08-10","18.16","18.25","18.06","18.06","162010"
"UDC","2010-08-11","18.65","18.65","17.86","18.06","46050"
"UDC","2010-08-12","17.66","17.96","17.17","17.17","106990"
"UDC","2010-08-13","16.39","17.37","16.39","17.37","44570"
"UDC","2010-08-16","17.96","18.06","17.17","17.86","75510"
"UDC","2010-08-17","17.66","17.66","16.98","16.98","60610"
"UDC","2010-08-18","16.98","16.98","16.19","16.19","89560"
"UDC","2010-08-19","16.19","16.98","16.19","16.98","115440"
"UDC","2010-08-20","16.98","17.57","16.68","17.57","116400"
"UDC","2010-08-23","16.98","17.37","16.78","17.08","66870"
"UDC","2010-08-24","16.49","16.49","16.29","16.29","73100"
"UDC","2010-08-25","15.6","15.6","15.51","15.51","68980"
"UDC","2010-08-26","15.51","16.19","15.02","16.09","263460"
"UDC","2010-08-27","16.39","16.68","15.7","16.39","163750"
"UDC","2010-08-30","17.08","17.17","16.98","17.17","142340"
"UDC","2010-08-31","17.96","17.96","17.27","17.96","186900"
"UDC","2010-09-01","18.25","18.65","17.27","18.65","181500"
"UDC","2010-09-06","19.43","19.53","19.14","19.53","176350"
"UDC","2010-09-07","19.53","19.53","18.75","19.14","152890"
"UDC","2010-09-08","18.25","19.63","18.25","19.63","260150"
"UDC","2010-09-09","18.94","19.82","18.94","19.63","200550"
"UDC","2010-09-10","19.14","19.63","18.65","18.65","123210"
"UDC","2010-09-13","17.86","18.55","17.76","17.76","211730"
"UDC","2010-09-14","18.65","18.65","17.66","18.35","23330"
"UDC","2010-09-15","18.65","18.65","17.57","18.65","108840"
"UDC","2010-09-16","18.16","18.25","17.76","17.76","33600"
"UDC","2010-09-17","18.35","18.35","17.66","18.06","112260"
"UDC","2010-09-20","18.94","18.94","17.66","17.66","62990"
"UDC","2010-09-21","18.25","18.25","17.66","18.06","57010"
"UDC","2010-09-22","17.37","18.06","17.37","17.57","17510"
"UDC","2010-09-23","17.37","17.66","16.78","16.78","187380"
"UDC","2010-09-24","16.88","17.08","16.49","16.49","39910"
"UDC","2010-09-27","17.17","17.17","16.49","16.78","30700"
"UDC","2010-09-28","17.08","17.08","16.78","16.78","19650"
"UDC","2010-09-29","17.08","17.08","16.19","16.19","60720"
"UDC","2010-09-30","15.7","16.78","15.7","16","15470"
"UDC","2010-10-01","16.19","16.19","15.7","15.7","23930"
"UDC","2010-10-04","15.51","15.6","14.92","14.92","70330"
"UDC","2010-10-05","14.43","15.6","14.43","15.6","71810"
