symbol,date,open,high,low,close,volume,year,month,week,weekday
"UDJ","2010-01-05","6.9","6.94","6.2","6.47","52000","2010","01","2","Tuesday"
"UDJ","2010-01-11","5.1","5.1","5.02","5.02","16000","2010","01","3","Monday"
"UDJ","2010-01-13","5.37","5.37","5.37","5.37","24000","2010","01","3","Wednesday"
"UDJ","2010-01-14","5.49","5.49","5.49","5.49","5000","2010","01","3","Thursday"
"UDJ","2010-01-26","5.49","5.53","5.49","5.53","11000","2010","01","5","Tuesday"
"UDJ","2010-01-27","5.29","5.29","5.1","5.1","12000","2010","01","5","Wednesday"
"UDJ","2010-03-01","5.1","5.1","4.9","5.06","7000","2010","03","10","Monday"
"UDJ","2010-03-02","5.29","5.29","5.29","5.29","1000","2010","03","10","Tuesday"
"UDJ","2010-03-03","5.37","5.37","5.37","5.37","1500","2010","03","10","Wednesday"
"UDJ","2010-03-05","5.18","5.18","5.18","5.18","700","2010","03","10","Friday"
"UDJ","2010-03-08","4.67","5.69","4.67","5.29","2500","2010","03","11","Monday"
"UDJ","2010-03-09","5.18","5.18","5.18","5.18","4000","2010","03","11","Tuesday"
"UDJ","2010-03-10","5.49","5.49","5.26","5.26","4100","2010","03","11","Wednesday"
"UDJ","2010-03-11","5.33","5.33","5.29","5.29","3100","2010","03","11","Thursday"
"UDJ","2010-03-12","5.33","5.41","5.33","5.33","46100","2010","03","11","Friday"
"UDJ","2010-03-15","5.41","5.49","5.41","5.49","20000","2010","03","12","Monday"
"UDJ","2010-03-16","5.41","5.41","5.37","5.41","5500","2010","03","12","Tuesday"
"UDJ","2010-03-17","5.37","5.41","5.29","5.29","40900","2010","03","12","Wednesday"
"UDJ","2010-03-18","5.41","5.41","5.33","5.33","22600","2010","03","12","Thursday"
"UDJ","2010-03-19","5.37","5.88","5.29","5.29","26100","2010","03","12","Friday"
"UDJ","2010-03-22","5.33","5.33","5.29","5.29","18600","2010","03","13","Monday"
"UDJ","2010-03-23","5.22","5.22","5.1","5.1","31700","2010","03","13","Tuesday"
"UDJ","2010-03-24","5.18","5.22","5.18","5.22","4400","2010","03","13","Wednesday"
"UDJ","2010-03-29","5.06","5.06","5.02","5.02","25000","2010","03","14","Monday"
"UDJ","2010-03-31","5.1","5.1","5.02","5.02","60100","2010","03","14","Wednesday"
"UDJ","2010-04-01","5.18","5.18","5.18","5.18","5000","2010","04","14","Thursday"
"UDJ","2010-04-02","5.1","5.1","5.06","5.06","26000","2010","04","14","Friday"
"UDJ","2010-04-05","5.06","5.06","4.98","4.98","45100","2010","04","15","Monday"
"UDJ","2010-04-08","5.06","5.14","5.06","5.14","117500","2010","04","15","Thursday"
"UDJ","2010-04-09","5.22","5.33","5.1","5.33","72500","2010","04","15","Friday"
"UDJ","2010-04-12","5.37","5.77","5.37","5.77","252800","2010","04","16","Monday"
"UDJ","2010-04-13","6.28","6.28","6.04","6.04","158490","2010","04","16","Tuesday"
"UDJ","2010-04-15","5.92","6.08","5.88","5.88","30800","2010","04","16","Thursday"
"UDJ","2010-04-16","5.77","5.92","5.73","5.77","78830","2010","04","16","Friday"
"UDJ","2010-04-19","6.35","6.35","5.88","6.04","65815","2010","04","17","Monday"
"UDJ","2010-04-20","5.88","6.63","5.88","6.08","71355","2010","04","17","Tuesday"
"UDJ","2010-04-21","6.04","6.04","5.8","5.8","55200","2010","04","17","Wednesday"
"UDJ","2010-04-22","6.51","6.51","5.57","5.77","43200","2010","04","17","Thursday"
"UDJ","2010-04-26","6.28","6.28","5.69","5.73","85500","2010","04","18","Monday"
"UDJ","2010-04-27","5.77","5.92","5.73","5.73","49650","2010","04","18","Tuesday"
"UDJ","2010-04-28","5.77","6.2","5.77","6.2","64200","2010","04","18","Wednesday"
"UDJ","2010-04-29","6.28","6.59","6.2","6.59","310050","2010","04","18","Thursday"
"UDJ","2010-05-04","6.67","7.14","6.67","7.14","98600","2010","05","19","Tuesday"
"UDJ","2010-05-05","7.65","7.8","7.45","7.8","235800","2010","05","19","Wednesday"
"UDJ","2010-05-06","8.47","8.47","7.26","8.47","136900","2010","05","19","Thursday"
"UDJ","2010-05-07","9.22","9.26","7.88","8.63","114590","2010","05","19","Friday"
"UDJ","2010-05-10","8.63","8.67","7.8","7.8","130550","2010","05","20","Monday"
"UDJ","2010-05-11","7.84","8.75","7.18","7.18","107160","2010","05","20","Tuesday"
"UDJ","2010-05-12","6.71","7.06","6.71","6.79","148060","2010","05","20","Wednesday"
"UDJ","2010-05-13","6.08","7.37","6.08","7.37","42380","2010","05","20","Thursday"
"UDJ","2010-05-14","7.88","7.88","7.26","7.53","9510","2010","05","20","Friday"
"UDJ","2010-05-17","7.57","7.57","7.26","7.41","12612","2010","05","21","Monday"
"UDJ","2010-05-19","5.92","6.47","5.88","6.28","25800","2010","05","21","Wednesday"
"UDJ","2010-05-20","6.47","6.63","6.47","6.63","76110","2010","05","21","Thursday"
"UDJ","2010-05-21","6.04","6.2","6","6.2","37300","2010","05","21","Friday"
"UDJ","2010-05-25","6.59","6.59","6.04","6.08","40200","2010","05","22","Tuesday"
"UDJ","2010-05-26","6.16","6.67","6.16","6.63","60500","2010","05","22","Wednesday"
"UDJ","2010-05-27","6.63","7.14","6.63","6.63","27950","2010","05","22","Thursday"
"UDJ","2010-05-28","7.37","7.37","6.86","6.98","61810","2010","05","22","Friday"
"UDJ","2010-05-31","6.86","6.86","6.43","6.51","21000","2010","05","23","Monday"
"UDJ","2010-06-01","6.35","7.26","6.35","6.67","19700","2010","06","23","Tuesday"
"UDJ","2010-06-02","6.75","6.75","6.39","6.47","16000","2010","06","23","Wednesday"
"UDJ","2010-06-03","7.26","7.26","6.39","6.43","27630","2010","06","23","Thursday"
"UDJ","2010-06-07","5.84","6.24","5.84","6.08","9200","2010","06","24","Monday"
"UDJ","2010-06-08","6.35","6.35","6.32","6.35","3500","2010","06","24","Tuesday"
"UDJ","2010-06-10","6.98","6.98","6.12","6.16","15860","2010","06","24","Thursday"
"UDJ","2010-06-14","6.47","6.59","6.43","6.59","17000","2010","06","25","Monday"
"UDJ","2010-06-15","6.47","7.06","6.39","6.55","17810","2010","06","25","Tuesday"
"UDJ","2010-06-17","7.18","7.18","6.67","6.98","67940","2010","06","25","Thursday"
"UDJ","2010-06-18","6.83","7.02","6.67","6.67","40900","2010","06","25","Friday"
"UDJ","2010-06-21","6.79","6.86","6.79","6.79","20680","2010","06","26","Monday"
"UDJ","2010-06-22","6.67","6.75","6.67","6.75","6700","2010","06","26","Tuesday"
"UDJ","2010-06-24","6.71","7.26","6.67","6.67","43440","2010","06","26","Thursday"
"UDJ","2010-06-25","6.79","7.53","6.47","7.53","20500","2010","06","26","Friday"
"UDJ","2010-06-28","6.59","7.77","6.47","6.63","28810","2010","06","27","Monday"
"UDJ","2010-06-29","6.71","6.71","6.59","6.63","47100","2010","06","27","Tuesday"
"UDJ","2010-06-30","6.75","6.75","6.32","6.32","80260","2010","06","27","Wednesday"
