symbol,date,open,high,low,close,volume,year,month,week,weekday
"VAF","2015-06-23","11.19","11.19","8.58","8.58","3510","2015","06","26","Tuesday"
"VAF","2015-06-24","8.86","9.14","8.16","8.16","5060","2015","06","26","Wednesday"
"VAF","2015-06-25","8.68","8.72","8.39","8.72","2810","2015","06","26","Thursday"
"VAF","2015-06-26","8.91","8.91","8.16","8.16","8080","2015","06","26","Friday"
"VAF","2015-06-29","7.7","7.7","7.65","7.65","2930","2015","06","27","Monday"
"VAF","2015-06-30","7.65","7.65","7.28","7.28","7580","2015","06","27","Tuesday"
"VAF","2015-07-01","7.74","7.74","7.74","7.74","100","2015","07","27","Wednesday"
"VAF","2015-07-02","7.98","7.98","7.98","7.98","10","2015","07","27","Thursday"
"VAF","2015-07-03","8.16","8.16","7.84","7.84","7080","2015","07","27","Friday"
"VAF","2015-07-07","7.74","7.84","7.74","7.74","6570","2015","07","28","Tuesday"
"VAF","2015-07-08","7.93","7.93","7.93","7.93","1000","2015","07","28","Wednesday"
"VAF","2015-07-09","7.7","7.7","7.7","7.7","10","2015","07","28","Thursday"
"VAF","2015-07-10","7.7","7.74","7.7","7.7","5110","2015","07","28","Friday"
"VAF","2015-07-13","7.7","7.98","7.46","7.93","6930","2015","07","29","Monday"
"VAF","2015-07-14","7.51","7.93","7.51","7.93","420","2015","07","29","Tuesday"
"VAF","2015-07-15","7.56","7.93","7.42","7.93","22010","2015","07","29","Wednesday"
"VAF","2015-07-16","7.93","7.93","7.93","7.93","10","2015","07","29","Thursday"
"VAF","2015-07-17","7.46","8.16","7.46","8.16","1910","2015","07","29","Friday"
"VAF","2015-07-20","8.16","8.16","8.16","8.16","10","2015","07","30","Monday"
"VAF","2015-07-21","8.39","8.39","7.93","8.16","3560","2015","07","30","Tuesday"
"VAF","2015-07-22","7.93","8.12","7.93","8.12","100","2015","07","30","Wednesday"
"VAF","2015-07-28","7.93","7.93","7.93","7.93","140","2015","07","31","Tuesday"
"VAF","2015-07-30","7.93","7.93","7.56","7.93","2810","2015","07","31","Thursday"
"VAF","2015-07-31","8.02","8.39","7.98","8.16","3210","2015","07","31","Friday"
"VAF","2015-08-03","7.65","7.65","7.65","7.65","10","2015","08","32","Monday"
"VAF","2015-08-04","7.93","7.93","7.28","7.28","40","2015","08","32","Tuesday"
"VAF","2015-08-05","7.74","7.74","7.51","7.56","5910","2015","08","32","Wednesday"
"VAF","2015-08-06","7.56","7.56","7.56","7.56","2560","2015","08","32","Thursday"
"VAF","2015-08-07","7.46","7.93","7.46","7.46","20","2015","08","32","Friday"
"VAF","2015-08-10","7.79","7.84","7.79","7.84","5490","2015","08","33","Monday"
"VAF","2015-08-11","7.84","7.93","7.84","7.84","1220","2015","08","33","Tuesday"
"VAF","2015-08-12","7.93","8.02","7.93","7.93","550","2015","08","33","Wednesday"
"VAF","2015-08-13","8.12","8.16","7.84","7.88","4270","2015","08","33","Thursday"
"VAF","2015-08-17","7.84","7.84","7.84","7.84","500","2015","08","34","Monday"
"VAF","2015-08-20","7.7","7.84","7.7","7.84","1300","2015","08","34","Thursday"
"VAF","2015-08-21","7.7","7.84","7.7","7.7","2500","2015","08","34","Friday"
"VAF","2015-08-24","7.74","7.74","7.65","7.65","600","2015","08","35","Monday"
"VAF","2015-08-25","7.65","7.65","7.65","7.65","500","2015","08","35","Tuesday"
"VAF","2015-08-26","7.6","7.93","7.6","7.93","8310","2015","08","35","Wednesday"
"VAF","2015-08-28","7.84","7.84","7.84","7.84","1000","2015","08","35","Friday"
"VAF","2015-08-31","7.84","7.84","7.84","7.84","3500","2015","08","36","Monday"
"VAF","2015-09-01","8.02","8.16","7.88","7.88","6090","2015","09","36","Tuesday"
"VAF","2015-09-03","7.7","7.7","7.7","7.7","10","2015","09","36","Thursday"
"VAF","2015-09-04","7.65","7.93","7.46","7.93","20350","2015","09","36","Friday"
"VAF","2015-09-07","8.07","8.07","8.07","8.07","20","2015","09","37","Monday"
"VAF","2015-09-08","8.07","8.07","8.02","8.02","180","2015","09","37","Tuesday"
"VAF","2015-09-09","7.74","8.07","7.74","7.88","25770","2015","09","37","Wednesday"
"VAF","2015-09-10","7.74","7.88","7.74","7.88","13820","2015","09","37","Thursday"
"VAF","2015-09-11","7.7","8.07","7.7","7.84","14190","2015","09","37","Friday"
"VAF","2015-09-14","7.74","7.88","7.74","7.88","7010","2015","09","38","Monday"
"VAF","2015-09-15","7.84","8.02","7.65","8.02","6720","2015","09","38","Tuesday"
"VAF","2015-09-16","8.02","8.02","7.98","7.98","5010","2015","09","38","Wednesday"
"VAF","2015-09-17","7.93","7.93","7.79","7.88","2930","2015","09","38","Thursday"
"VAF","2015-09-18","7.79","7.79","7.74","7.74","5410","2015","09","38","Friday"
"VAF","2015-09-21","7.93","7.93","7.74","7.88","4880","2015","09","39","Monday"
"VAF","2015-09-22","7.93","7.93","7.93","7.93","980","2015","09","39","Tuesday"
"VAF","2015-09-23","7.88","7.88","7.84","7.88","7250","2015","09","39","Wednesday"
