symbol,date,open,high,low,close,volume
"VBH","2006-12-29","28.83","28.83","28.83","28.83","300"
"VBH","2007-01-02","31.72","31.72","31.72","31.72","700"
"VBH","2007-01-03","34.6","34.6","34.6","34.89","1500"
"VBH","2007-01-04","38.44","38.44","38.44","38.35","4000"
"VBH","2007-01-05","42.29","42.29","42.29","42.1","2200"
"VBH","2007-01-08","46.13","46.13","46.13","46.23","400"
"VBH","2007-01-09","46.13","48.05","46.13","47.96","1900"
"VBH","2007-01-15","43.25","44.21","43.25","42.77","2700"
"VBH","2007-01-16","38.44","38.44","38.44","38.73","2400"
"VBH","2007-01-17","34.6","34.6","34.6","34.89","1200"
"VBH","2007-01-19","31.72","35.56","31.72","35.75","7800"
"VBH","2007-01-22","37.48","37.48","35.56","35.56","15400"
"VBH","2007-01-23","40.37","40.37","37.48","39.41","3900"
"VBH","2007-01-24","42.29","42.29","40.37","42.29","10600"
"VBH","2007-01-25","45.17","46.13","45.17","46.33","400"
"VBH","2007-01-26","41.33","41.33","41.33","41.23","700"
"VBH","2007-01-30","37.48","37.48","37.48","37.2","600"
"VBH","2007-01-31","39.41","39.41","33.64","33.54","4300"
"VBH","2007-02-01","33.64","33.64","33.64","33.64","500"
"VBH","2007-02-02","34.6","37.48","30.75","34.6","2600"
"VBH","2007-02-05","34.6","34.6","34.6","34.6","2500"
"VBH","2007-02-06","36.52","36.52","33.64","33.64","3800"
"VBH","2007-02-07","37.48","37.48","32.68","32.2","1400"
"VBH","2007-02-08","31.72","32.68","31.72","31.91","2700"
"VBH","2007-02-09","30.75","31.72","30.75","31.91","900"
"VBH","2007-02-13","32.68","32.68","32.68","32.2","700"
"VBH","2007-02-15","33.64","33.64","33.64","33.64","500"
"VBH","2007-02-26","33.64","33.64","33.64","33.64","900"
"VBH","2007-02-27","37.48","37.48","34.6","34.6","4200"
"VBH","2007-02-28","36.52","37.48","36.52","36.81","5300"
"VBH","2007-03-01","36.52","37.48","36.52","37.48","3500"
"VBH","2007-03-02","38.44","38.44","37.48","37.48","4200"
"VBH","2007-03-05","37.48","37.48","37.48","37.48","300"
"VBH","2007-03-06","37.48","38.44","37.48","37.48","4100"
"VBH","2007-03-07","38.44","41.33","37.48","40.37","11900"
"VBH","2007-03-08","42.29","43.25","42.29","42.87","12300"
"VBH","2007-03-09","47.09","47.09","47.09","47","11800"
"VBH","2007-03-12","51.9","51.9","51.9","51.61","14800"
"VBH","2007-03-13","56.7","56.7","47.09","56.42","16500"
"VBH","2007-03-14","51.9","54.78","50.94","50.94","6800"
"VBH","2007-03-15","48.05","48.05","48.05","48.34","100"
"VBH","2007-03-16","43.25","46.13","43.25","46.13","4100"
"VBH","2007-03-19","48.05","49.02","46.13","49.11","1900"
"VBH","2007-03-20","45.17","49.98","45.17","46.61","2200"
"VBH","2007-03-21","47.09","48.05","47.09","48.05","700"
"VBH","2007-03-22","47.09","47.09","46.13","45.65","1000"
"VBH","2007-03-23","46.13","46.13","46.13","46.13","500"
"VBH","2007-03-27","41.33","41.33","41.33","41.52","1000"
"VBH","2007-03-28","36.52","36.52","36.52","36.71","500"
"VBH","2007-03-29","36.52","40.37","36.52","40.37","3900"
"VBH","2007-03-30","42.29","42.29","40.37","40.37","3200"
"VBH","2007-04-02","41.33","45.17","41.33","43.54","4900"
"VBH","2007-04-03","43.25","43.25","43.25","43.25","1000"
"VBH","2007-04-06","39.41","39.41","39.41","39.41","100"
"VBH","2007-04-09","39.41","39.41","39.41","39.41","1800"
"VBH","2007-04-10","39.41","39.41","38.44","38.44","1200"
"VBH","2007-04-11","37.48","37.48","37.48","37.48","200"
"VBH","2007-04-12","36.52","41.33","33.64","34.6","2100"
"VBH","2007-04-13","37.48","37.48","37.48","37.48","2000"
"VBH","2007-04-16","36.52","36.52","36.52","36.52","400"
"VBH","2007-04-18","38.44","38.44","38.44","38.44","100"
"VBH","2007-04-19","35.56","35.56","35.56","35.56","100"
"VBH","2007-04-20","31.72","31.72","31.72","32.01","1000"
"VBH","2007-04-23","29.79","29.79","28.83","28.83","800"
"VBH","2007-04-24","27.87","27.87","26.91","27.87","2200"
"VBH","2007-05-02","30.75","30.75","30.75","30.27","100"
"VBH","2007-05-03","30.75","30.75","30.75","30.27","700"
"VBH","2007-05-04","30.75","30.75","30.75","30.75","1000"
"VBH","2007-05-07","31.72","31.72","31.72","31.24","400"
"VBH","2007-05-08","28.83","28.83","28.83","28.83","500"
"VBH","2007-05-09","28.83","28.83","26.91","26.91","500"
"VBH","2007-05-10","29.79","29.79","29.79","29.41","1800"
