symbol,date,open,high,low,close,volume
"VC1","2009-05-14","8.39","8.39","6.41","7.87","92100"
"VC1","2009-05-15","7.81","7.81","7.81","7.81","16400"
"VC1","2009-05-18","8.34","8.34","8.34","8.34","9200"
"VC1","2009-05-19","8.92","8.92","8.92","8.92","8800"
"VC1","2009-05-20","9.53","9.53","9.53","9.53","97400"
"VC1","2009-05-21","10.17","10.17","10.17","10.17","56300"
"VC1","2009-05-22","10.87","10.87","10.2","10.78","140400"
"VC1","2009-05-25","11.07","11.07","9.79","10.81","47800"
"VC1","2009-05-26","10.78","10.78","10.2","10.35","56500"
"VC1","2009-05-27","10.2","10.35","9.62","9.65","33000"
"VC1","2009-05-28","9.73","9.73","9.18","9.18","24500"
"VC1","2009-05-29","9.38","9.38","8.63","9.32","43800"
"VC1","2009-06-01","9.32","9.44","9.32","9.44","13700"
"VC1","2009-06-02","10.05","10.05","9.41","10.03","34900"
"VC1","2009-06-03","9.82","9.82","9.32","9.47","26400"
"VC1","2009-06-04","10.14","10.2","9.59","9.76","55500"
"VC1","2009-06-05","10.26","10.32","10.14","10.17","90700"
"VC1","2009-06-08","10.49","10.93","10.23","10.93","152500"
"VC1","2009-06-09","11.22","11.22","10.2","10.38","38600"
"VC1","2009-06-10","9.76","9.79","9.73","9.73","11000"
"VC1","2009-06-11","9.91","10.38","9.91","10.29","21800"
"VC1","2009-06-12","10.35","10.46","9.62","9.62","45400"
"VC1","2009-06-15","9.85","9.85","9.18","9.18","46000"
"VC1","2009-06-16","9.59","9.59","8.57","8.57","20200"
"VC1","2009-06-17","8.13","8.74","8.13","8.6","37100"
"VC1","2009-06-18","8.74","8.98","8.74","8.95","20100"
"VC1","2009-06-19","9.03","9.03","8.34","8.45","13300"
"VC1","2009-06-22","8.22","8.22","8.13","8.13","18500"
"VC1","2009-06-23","7.61","7.61","7.58","7.58","15600"
"VC1","2009-06-24","7.05","8.01","7.05","7.87","39000"
"VC1","2009-06-25","7.58","7.58","7.29","7.29","17300"
"VC1","2009-06-26","7.81","7.81","7.58","7.58","9000"
"VC1","2009-06-29","7.14","7.32","7.14","7.29","4000"
"VC1","2009-06-30","7.43","7.43","6.76","6.76","10400"
"VC1","2009-07-01","6.7","7.52","6.67","6.67","25800"
"VC1","2009-07-02","6.85","6.85","6.73","6.67","9300"
"VC1","2009-07-03","7.08","7.08","6.7","6.99","2600"
"VC1","2009-07-06","7.23","7.37","7.23","7.37","5200"
"VC1","2009-07-07","7.34","7.34","7.17","7.29","9000"
"VC1","2009-07-08","7.37","7.37","6.85","6.85","2400"
"VC1","2009-07-09","7.29","7.4","7.14","7.4","15100"
"VC1","2009-07-10","7.02","7.11","6.88","6.99","10900"
"VC1","2009-07-13","7.29","7.29","6.56","6.56","6200"
"VC1","2009-07-14","6.44","6.67","6.44","6.56","20300"
"VC1","2009-07-15","6.53","6.94","6.5","6.94","17700"
"VC1","2009-07-16","7.37","7.37","7.14","7.37","19200"
"VC1","2009-07-17","7.81","7.81","7.32","7.34","13300"
"VC1","2009-07-20","6.99","6.99","6.91","6.91","2800"
