symbol,date,open,high,low,close,volume,year,month,week,weekday
"VC3","2007-12-13","12.5","12.66","8.53","9.79","71500","2007","12","50","Thursday"
"VC3","2007-12-14","9.12","9.49","8.54","8.87","36800","2007","12","50","Friday"
"VC3","2007-12-17","7.94","8.02","7.86","7.86","12500","2007","12","51","Monday"
"VC3","2007-12-18","7.18","7.18","7.11","7.11","19900","2007","12","51","Tuesday"
"VC3","2007-12-19","7.18","7.82","6.42","7.82","32200","2007","12","51","Wednesday"
"VC3","2007-12-20","7.77","7.77","6.92","7.31","13000","2007","12","51","Thursday"
"VC3","2007-12-21","7.42","7.85","7.42","7.68","8800","2007","12","51","Friday"
"VC3","2007-12-24","7.26","7.94","7.26","7.39","11000","2007","12","52","Monday"
"VC3","2007-12-25","7.42","7.42","7.24","7.26","16900","2007","12","52","Tuesday"
"VC3","2007-12-26","7.26","7.43","7.18","7.43","23100","2007","12","52","Wednesday"
"VC3","2007-12-27","7.43","7.43","7.26","7.3","9600","2007","12","52","Thursday"
"VC3","2007-12-28","7.26","7.34","7.26","7.33","2400","2007","12","52","Friday"
"VC3","2008-01-02","7.3","7.3","6.92","7.09","5900","2008","01","1","Wednesday"
"VC3","2008-01-04","6.95","6.95","6.46","6.68","8300","2008","01","1","Friday"
"VC3","2008-01-07","6","6.32","5.99","6.1","2700","2008","01","2","Monday"
"VC3","2008-01-08","6.32","6.33","6","6","19900","2008","01","2","Tuesday"
"VC3","2008-01-09","6.08","6.63","6.08","6.12","5200","2008","01","2","Wednesday"
"VC3","2008-01-10","6.54","6.54","5.58","5.91","9900","2008","01","2","Thursday"
"VC3","2008-01-11","5.83","6.42","5.83","5.91","7000","2008","01","2","Friday"
"VC3","2008-01-14","6.54","6.54","5.54","5.87","4000","2008","01","3","Monday"
"VC3","2008-01-15","5.49","5.49","5.1","5.1","16800","2008","01","3","Tuesday"
"VC3","2008-01-16","5.08","5.62","5.08","5.62","25300","2008","01","3","Wednesday"
"VC3","2008-01-17","6.07","6.07","5.4","5.52","28800","2008","01","3","Thursday"
"VC3","2008-01-18","5.63","5.7","5.62","5.66","13200","2008","01","3","Friday"
"VC3","2008-01-21","6.21","6.21","5.49","5.49","5100","2008","01","4","Monday"
"VC3","2008-01-22","6.16","6.16","5.36","5.45","20300","2008","01","4","Tuesday"
"VC3","2008-01-23","5.44","5.44","5.15","5.39","10700","2008","01","4","Wednesday"
"VC3","2008-01-24","5.29","5.66","5.29","5.36","9500","2008","01","4","Thursday"
"VC3","2008-01-25","5.56","5.57","5.36","5.36","11000","2008","01","4","Friday"
"VC3","2008-01-28","5.49","5.79","4.95","5.07","4900","2008","01","5","Monday"
"VC3","2008-01-29","5.57","5.57","5.07","5.24","19100","2008","01","5","Tuesday"
"VC3","2008-01-30","5.24","5.8","5.24","5.8","23100","2008","01","5","Wednesday"
"VC3","2008-01-31","6.35","6.35","5.57","5.74","1700","2008","01","5","Thursday"
"VC3","2008-02-01","5.78","5.83","5.4","5.73","14200","2008","02","5","Friday"
"VC3","2008-02-12","5.67","5.67","5.64","5.65","1800","2008","02","7","Tuesday"
"VC3","2008-02-13","5.53","5.53","5.28","5.28","2600","2008","02","7","Wednesday"
"VC3","2008-02-14","5.34","5.51","5.28","5.3","7000","2008","02","7","Thursday"
"VC3","2008-02-15","5.24","5.31","5.24","5.31","18500","2008","02","7","Friday"
"VC3","2008-02-18","4.81","5.07","4.81","5.07","8700","2008","02","8","Monday"
"VC3","2008-02-19","5.39","5.39","4.98","5.02","6100","2008","02","8","Tuesday"
"VC3","2008-02-20","5.32","5.32","4.56","4.8","9300","2008","02","8","Wednesday"
"VC3","2008-02-21","5.03","5.03","4.15","4.15","8700","2008","02","8","Thursday"
"VC3","2008-02-22","3.79","4.21","3.79","4.2","26800","2008","02","8","Friday"
"VC3","2008-02-25","4.31","4.39","4.22","4.39","25300","2008","02","9","Monday"
"VC3","2008-02-26","4.43","4.43","3.92","3.92","11800","2008","02","9","Tuesday"
"VC3","2008-02-27","4.14","4.14","3.88","3.97","3100","2008","02","9","Wednesday"
