symbol,date,open,high,low,close,volume
"VE2","2010-07-26","18.37","24.79","18.37","24.79","44000"
"VE2","2010-07-27","23.74","23.74","22.09","22.09","18400"
"VE2","2010-07-28","21.12","21.12","21.12","21.12","2600"
"VE2","2010-07-29","19.65","19.74","19.65","19.74","116600"
"VE2","2010-07-30","19.74","19.74","18.6","19.05","28800"
"VE2","2010-08-02","18.82","18.82","17.91","17.91","30800"
"VE2","2010-08-03","16.99","18.09","16.99","16.99","35800"
"VE2","2010-08-04","16.07","16.94","16.07","16.3","34100"
"VE2","2010-08-05","15.61","17.22","15.61","16.76","19000"
"VE2","2010-08-06","16.07","16.99","15.61","15.61","34000"
"VE2","2010-08-09","15.61","15.61","14.83","14.83","11300"
"VE2","2010-08-10","14.69","14.69","14.14","14.14","8800"
"VE2","2010-08-11","13.27","13.78","13.27","13.32","32700"
"VE2","2010-08-12","12.4","12.4","12.35","12.35","8500"
"VE2","2010-08-13","11.53","12.4","11.53","12.4","49000"
"VE2","2010-08-16","12.3","12.54","12.3","12.54","14200"
"VE2","2010-08-17","11.94","13.04","11.94","12.95","15700"
"VE2","2010-08-18","13.36","13.36","12.21","13.09","9400"
"VE2","2010-08-19","13.68","13.68","12.4","12.4","11100"
"VE2","2010-08-20","13.45","13.45","11.8","11.8","15700"
"VE2","2010-08-23","12.81","12.81","11.2","11.2","10200"
"VE2","2010-08-24","11.29","11.29","10.52","10.56","5000"
"VE2","2010-08-25","9.87","9.92","9.87","9.87","9700"
"VE2","2010-08-26","10.33","10.33","9.18","9.18","6600"
"VE2","2010-08-27","10.15","10.15","8.86","8.86","14400"
"VE2","2010-08-30","9.46","9.46","9.18","9.46","16100"
"VE2","2010-08-31","10.06","10.1","9.41","9.78","19300"
"VE2","2010-09-01","10.52","10.56","10.42","10.56","31600"
"VE2","2010-09-06","10.79","11.25","10.56","11.25","32900"
"VE2","2010-09-07","11.8","11.8","10.47","10.47","27200"
"VE2","2010-09-08","10.56","10.56","10.33","10.38","19900"
"VE2","2010-09-09","10.52","11.07","10.42","10.56","21600"
"VE2","2010-09-10","11.34","11.34","9.96","10.15","43700"
"VE2","2010-09-13","10.84","10.84","9.6","9.87","5000"
"VE2","2010-09-14","10.29","10.29","9.87","9.87","4300"
"VE2","2010-09-15","10.42","10.42","9.83","9.83","15900"
"VE2","2010-09-16","10.1","10.1","9.64","9.64","2300"
"VE2","2010-09-17","10.1","10.42","10.1","10.38","14500"
"VE2","2010-09-20","10.84","10.93","10.24","10.24","14300"
"VE2","2010-09-21","10.79","10.79","10.56","10.56","4000"
"VE2","2010-09-22","10.47","10.47","10.1","10.19","12400"
"VE2","2010-09-23","10.33","10.33","9.6","9.64","10100"
"VE2","2010-09-24","9.87","10.01","9.87","10.01","1200"
"VE2","2010-09-27","9.96","9.96","9.51","9.51","3200"
"VE2","2010-09-28","9.41","9.46","9.41","9.41","1400"
"VE2","2010-09-29","9.41","9.41","9.09","9.09","11000"
"VE2","2010-09-30","9.55","9.55","9.55","9.55","1300"
"VE2","2010-10-01","9.18","9.18","9.09","9.09","2600"
"VE2","2010-10-04","8.72","9.04","8.54","8.54","10600"
"VE2","2010-10-05","8.54","8.77","8.27","8.27","1300"
"VE2","2010-10-06","8.72","8.86","8.27","8.27","3600"
"VE2","2010-10-07","8.4","8.49","7.99","7.99","4400"
"VE2","2010-10-08","8.13","8.13","7.58","7.76","15600"
"VE2","2010-10-11","7.48","7.48","7.35","7.39","14900"
"VE2","2010-10-12","7.12","7.58","6.93","7.35","4900"
"VE2","2010-10-13","7.3","7.48","7.21","7.48","9500"
"VE2","2010-10-14","7.9","7.94","7.76","7.76","2400"
"VE2","2010-10-15","7.44","7.58","7.35","7.35","11300"
"VE2","2010-10-18","7.81","7.81","7.71","7.71","1100"
"VE2","2010-10-19","7.76","7.76","7.21","7.53","5300"
"VE2","2010-10-20","7.48","7.48","6.75","6.75","7700"
"VE2","2010-10-21","7.35","7.35","7.16","7.16","2100"
"VE2","2010-10-22","6.89","7.12","6.89","6.89","3000"
"VE2","2010-10-25","7.21","7.21","7.07","7.12","2300"
"VE2","2010-10-26","7.35","7.58","7.35","7.58","17600"
"VE2","2010-10-27","7.9","7.99","7.81","7.81","3500"
"VE2","2010-10-28","7.44","7.44","7.35","7.35","1000"
"VE2","2010-10-29","7.76","7.76","6.93","6.93","7100"
"VE2","2010-11-01","7.48","7.48","7.03","7.03","10600"
"VE2","2010-11-02","6.93","7.35","6.7","7.07","39500"
"VE2","2010-11-03","6.43","6.84","6.43","6.84","2400"
"VE2","2010-11-04","7.03","7.03","7.03","7.03","6800"
"VE2","2010-11-05","7.03","7.12","6.57","7.12","7000"
"VE2","2010-11-08","7.25","7.25","6.66","6.7","6100"
"VE2","2010-11-09","6.66","6.8","6.61","6.61","6300"
"VE2","2010-11-10","6.93","6.93","6.15","6.8","5300"
"VE2","2010-11-11","6.43","6.66","6.2","6.66","13700"
"VE2","2010-11-12","6.11","6.38","6.11","6.11","16000"
"VE2","2010-11-15","6.29","6.29","5.83","5.83","6600"
"VE2","2010-11-16","5.74","5.79","5.74","5.74","13400"
"VE2","2010-11-17","5.97","5.97","5.42","5.42","9000"
"VE2","2010-11-18","5.92","6.25","5.92","6.25","28500"
"VE2","2010-11-19","6.11","6.15","5.79","5.79","5800"
"VE2","2010-11-22","6.11","6.15","6.01","6.01","11400"
"VE2","2010-11-23","6.25","6.43","6.25","6.43","10700"
"VE2","2010-11-24","6.2","6.43","6.2","6.38","25600"
"VE2","2010-11-25","6.43","6.75","6.29","6.75","24900"
"VE2","2010-11-26","6.89","7.07","6.89","6.89","17400"
