symbol,date,open,high,low,close,volume
"VEA","2018-07-02","17.86","21.79","17.86","18.57","1814600"
"VEA","2018-07-03","19.29","19.29","16.14","16.5","255100"
"VEA","2018-07-04","17.36","17.5","17.14","17.5","143600"
"VEA","2018-07-05","17.22","17.5","17.07","17.22","381500"
"VEA","2018-07-06","17.07","17.22","16.43","17.14","107400"
"VEA","2018-07-09","17.5","17.86","17.14","17.14","106500"
"VEA","2018-07-10","17.14","17.14","16.64","16.72","13100"
"VEA","2018-07-11","16.57","16.57","16.14","16.43","307000"
"VEA","2018-07-12","16.5","16.5","16.22","16.22","22700"
"VEA","2018-07-13","17.07","17.07","15.72","16.36","139300"
"VEA","2018-07-16","16.43","16.43","15","15.5","137200"
"VEA","2018-07-17","15.57","17.07","15.57","16.43","44300"
"VEA","2018-07-18","16.43","16.43","16.07","16.07","140800"
"VEA","2018-07-19","16.14","16.29","16.07","16.29","96700"
"VEA","2018-07-20","16.07","16.07","16.07","16.07","5500"
"VEA","2018-07-24","16.43","16.5","16.36","16.36","285600"
"VEA","2018-07-25","16.36","16.36","16.29","16.29","78000"
"VEA","2018-07-26","16.29","16.43","16.22","16.43","263600"
"VEA","2018-07-27","16.43","16.43","16.07","16.14","217000"
"VEA","2018-07-30","16.22","16.29","15.93","16","203600"
"VEA","2018-07-31","13.86","16.36","13.86","16.29","422500"
"VEA","2018-08-01","16.36","16.79","16.36","16.43","1017700"
"VEA","2018-08-02","16.43","16.57","16.36","16.43","780800"
"VEA","2018-08-03","16.5","17.14","16.5","16.5","819100"
"VEA","2018-08-06","16.5","17","16.29","17","1593800"
"VEA","2018-08-07","16.79","18.07","16.79","17.93","1088600"
"VEA","2018-08-08","17.77","18.93","17.7","18.79","1977800"
"VEA","2018-08-09","18.71","18.71","18.06","18.5","813800"
"VEA","2018-08-10","18.35","18.35","17.92","18.21","160600"
"VEA","2018-08-13","18.79","18.86","18.5","18.71","1002100"
"VEA","2018-08-14","17.34","20.31","17.34","20.31","1428600"
"VEA","2018-08-15","19.8","21.76","19.59","21.04","1715000"
"VEA","2018-08-16","21.04","21.98","20.82","21.69","2229200"
"VEA","2018-08-17","21.69","22.41","21.69","22.41","1668900"
"VEA","2018-08-20","22.49","22.49","21.62","21.76","1408699"
"VEA","2018-08-21","21.91","21.91","20.31","21.54","1126440"
"VEA","2018-08-22","21.4","21.98","21.4","21.47","598450"
"VEA","2018-08-23","21.4","21.91","21.33","21.91","818760"
"VEA","2018-08-24","21.69","21.83","21.47","21.83","290200"
"VEA","2018-08-27","21.54","21.83","21.25","21.4","294000"
"VEA","2018-08-28","21.4","21.4","20.67","20.96","1014795"
"VEA","2018-08-29","20.96","20.96","20.31","20.53","416250"
"VEA","2018-08-30","20.31","21.76","20.31","21.69","625821"
"VEA","2018-08-31","21.69","21.83","21.47","21.54","284200"
"VEA","2018-09-04","21.62","21.76","21.4","21.69","612425"
"VEA","2018-09-05","21.4","21.62","21.18","21.4","336320"
"VEA","2018-09-06","21.25","21.47","21.18","21.47","115100"
"VEA","2018-09-07","21.33","21.83","21.33","21.33","450300"
"VEA","2018-09-10","21.47","21.47","21.33","21.4","103800"
"VEA","2018-09-11","21.47","21.76","21.25","21.54","279800"
"VEA","2018-09-12","21.54","21.69","21.25","21.4","136400"
"VEA","2018-09-13","21.33","21.4","21.11","21.4","356651"
"VEA","2018-09-14","21.4","21.62","21.18","21.4","228700"
"VEA","2018-09-17","21.25","21.4","20.89","21.04","224740"
"VEA","2018-09-18","20.89","21.18","20.82","21.18","220600"
"VEA","2018-09-19","21.18","21.69","21.18","21.69","574270"
"VEA","2018-09-20","21.69","22.7","21.69","22.56","1265400"
"VEA","2018-09-21","22.85","24.37","22.49","24.3","2509960"
"VEA","2018-09-24","24.3","25.02","23.94","25.02","468835"
"VEA","2018-09-25","24.45","26.11","24.3","25.75","1043300"
"VEA","2018-09-26","25.75","26.04","25.24","25.68","898480"
"VEA","2018-09-27","25.53","25.75","24.52","25.1","525650"
"VEA","2018-09-28","25.02","25.02","24.45","24.73","719400"
"VEA","2018-10-01","24.73","24.73","23.79","23.94","512315"
"VEA","2018-10-02","23.57","24.23","23.14","24.16","433020"
"VEA","2018-10-03","24.01","25.9","24.01","25.68","1245530"
"VEA","2018-10-04","25.39","26.48","25.39","26.04","665970"
"VEA","2018-10-05","26.04","26.04","25.1","25.39","268300"
"VEA","2018-10-08","24.73","25.32","24.52","24.81","281960"
"VEA","2018-10-09","24.95","26.11","24.66","25.32","155330"
"VEA","2018-10-10","25.39","25.68","25.17","25.61","228220"
"VEA","2018-10-11","25.02","25.02","23.86","23.94","953830"
"VEA","2018-10-12","23.57","25.61","23.43","25.61","1000600"
"VEA","2018-10-15","25.39","25.61","24.66","24.81","102420"
"VEA","2018-10-16","24.95","25.32","24.95","25.32","202500"
"VEA","2018-10-17","25.32","25.39","24.95","24.95","290700"
"VEA","2018-10-18","24.88","24.88","24.16","24.66","456000"
"VEA","2018-10-19","24.52","25.39","24.16","24.66","166000"
"VEA","2018-10-22","24.45","25.32","24.45","25.1","302600"
"VEA","2018-10-23","25.39","25.75","24.3","24.59","223800"
"VEA","2018-10-24","24.81","24.95","24.37","24.45","147400"
"VEA","2018-10-25","24.3","24.45","23.21","23.86","643900"
"VEA","2018-10-26","23.94","24.23","23.65","23.65","323500"
"VEA","2018-10-29","23.86","23.94","23.36","23.72","95600"
"VEA","2018-10-30","23.5","23.86","23.5","23.65","94500"
"VEA","2018-10-31","23.94","24.95","23.94","24.95","1147700"
"VEA","2018-11-01","24.95","26.11","24.88","25.82","1392224"
"VEA","2018-11-02","25.82","26.55","25.82","26.11","966740"
"VEA","2018-11-05","26.26","26.26","25.1","25.32","219500"
"VEA","2018-11-06","25.39","25.75","25.39","25.39","173810"
"VEA","2018-11-07","25.39","25.39","24.66","24.88","235594"
"VEA","2018-11-08","24.88","25.46","24.88","25.24","214700"
"VEA","2018-11-09","24.81","25.24","24.81","24.95","147900"
"VEA","2018-11-12","25.1","25.32","24.81","25.17","205680"
"VEA","2018-11-13","24.88","26.04","24.88","25.53","741111"
"VEA","2018-11-14","25.68","25.82","25.53","25.68","391500"
"VEA","2018-11-15","25.68","27.06","25.68","26.62","1772374"
"VEA","2018-11-16","26.62","27.56","26.62","27.56","1139221"
"VEA","2018-11-19","27.2","28.07","25.24","27.78","553860"
"VEA","2018-11-20","27.56","27.56","27.06","27.2","579944"
"VEA","2018-11-21","27.13","27.2","26.4","26.98","460130"
"VEA","2018-11-22","26.84","27.2","26.84","26.91","523120"
"VEA","2018-11-23","26.91","27.06","26.48","26.77","532670"
"VEA","2018-11-26","26.69","26.84","26.48","26.69","177530"
"VEA","2018-11-27","26.69","27.56","26.69","27.13","1090700"
"VEA","2018-11-28","27.2","28","27.13","27.78","907440"
"VEA","2018-11-29","27.78","28.07","27.49","27.49","885500"
"VEA","2018-11-30","27.49","27.85","27.42","27.78","713585"
"VEA","2018-12-03","28.07","28.07","27.71","27.93","614010"
"VEA","2018-12-04","27.78","28","27.71","27.71","469224"
"VEA","2018-12-05","27.78","27.78","27.27","27.56","457660"
"VEA","2018-12-06","27.42","27.49","26.77","26.91","373670"
"VEA","2018-12-07","26.91","27.56","26.91","27.42","156594"
"VEA","2018-12-10","27.27","27.27","26.55","26.62","279530"
"VEA","2018-12-11","26.84","27.06","26.48","26.91","239660"
"VEA","2018-12-12","26.98","27.13","26.84","27.06","122130"
"VEA","2018-12-13","26.98","28","26.91","27.93","592890"
"VEA","2018-12-14","27.93","27.93","27.56","27.85","192180"
"VEA","2018-12-17","27.85","27.85","27.27","27.78","254450"
"VEA","2018-12-18","27.56","27.93","27.2","27.64","660510"
"VEA","2018-12-19","27.35","27.56","27.2","27.35","212090"
"VEA","2018-12-20","27.27","27.64","27.2","27.49","606820"
"VEA","2018-12-21","27.56","27.56","27.35","27.49","510420"
"VEA","2018-12-24","27.42","27.56","26.26","26.84","806610"
"VEA","2018-12-25","26.69","26.84","24.45","26.69","1347415"
"VEA","2018-12-26","25.75","27.56","25.75","27.56","858800"
"VEA","2018-12-27","27.56","27.93","27.27","27.78","685290"
"VEA","2018-12-28","27.56","29.02","27.2","28.29","1033050"
"VEA","2019-01-02","28.43","28.43","27.42","27.56","125436"
"VEA","2019-01-03","27.64","27.64","26.84","27.13","274900"
"VEA","2019-01-04","27.13","27.35","26.84","27.35","90190"
"VEA","2019-01-07","27.42","27.42","27.2","27.27","82050"
"VEA","2019-01-08","27.2","27.78","27.2","27.71","226780"
"VEA","2019-01-09","27.64","28.8","27.64","28.65","680129"
"VEA","2019-01-10","28.58","29.3","28.58","29.16","629370"
"VEA","2019-01-11","29.16","30.32","29.02","30.25","593095"
"VEA","2019-01-14","30.25","30.83","29.67","30.39","654541"
"VEA","2019-01-15","30.39","30.68","29.02","29.74","466435"
"VEA","2019-01-16","29.96","30.25","29.38","29.96","289285"
"VEA","2019-01-17","29.96","30.76","29.81","29.89","178500"
"VEA","2019-01-18","29.89","30.46","29.81","30.32","116085"
"VEA","2019-01-21","30.18","30.76","30.1","30.46","243450"
"VEA","2019-01-22","30.46","32.13","30.46","31.99","659527"
"VEA","2019-01-23","32.13","32.64","31.55","31.77","239245"
"VEA","2019-01-24","31.92","32.13","31.63","32.06","146860"
"VEA","2019-01-25","31.92","32.64","31.92","32.28","196385"
"VEA","2019-01-28","32.42","34.24","32.42","33.15","465470"
"VEA","2019-01-29","33.08","34.02","33","33.66","167270"
"VEA","2019-01-30","34.02","34.09","33.58","33.8","252830"
"VEA","2019-01-31","34.45","36.27","34.09","35.54","514830"
"VEA","2019-02-01","35.54","36.12","35.4","36.12","290800"
"VEA","2019-02-11","36.12","38.08","36.12","38.08","215712"
"VEA","2019-02-12","38.23","39.75","34.38","36.41","1262338"
"VEA","2019-02-13","35.91","36.63","34.96","36.2","390483"
"VEA","2019-02-14","36.2","36.85","35.25","35.33","284795"
"VEA","2019-02-15","36.49","36.49","34.09","34.53","559780"
"VEA","2019-02-18","34.82","34.82","33","33.73","897239"
"VEA","2019-02-19","33.73","35.47","33.58","35.4","316226"
"VEA","2019-02-20","35.18","35.76","34.96","35.18","570850"
"VEA","2019-02-21","35.25","35.4","34.09","35.03","275690"
"VEA","2019-02-22","34.96","35.33","34.82","34.96","234175"
"VEA","2019-02-25","35.03","35.98","34.96","35.47","579173"
"VEA","2019-02-26","35.47","37.21","35.47","36.56","1001013"
"VEA","2019-02-27","36.78","36.99","35.98","36.56","378110"
"VEA","2019-02-28","36.63","36.78","35.18","35.54","575950"
"VEA","2019-03-01","35.69","38.3","35.33","36.56","548900"
"VEA","2019-03-04","36.34","37.36","35.91","36.2","444487"
"VEA","2019-03-05","36.27","36.41","35.76","36.27","176050"
"VEA","2019-03-06","36.63","36.92","35.33","35.69","342200"
"VEA","2019-03-07","35.69","36.27","35.4","36.05","340557"
"VEA","2019-03-08","35.91","36.34","35.4","35.69","297920"
"VEA","2019-03-11","35.98","35.98","34.82","35.4","215125"
"VEA","2019-03-12","35.4","36.12","35.33","35.76","357708"
"VEA","2019-03-13","35.76","37.5","35.54","36.92","1366510"
"VEA","2019-03-14","36.63","36.92","36.27","36.7","311460"
"VEA","2019-03-15","36.63","36.63","36.2","36.63","192659"
"VEA","2019-03-18","36.27","37.72","36.27","36.56","711800"
"VEA","2019-03-19","36.63","37.21","36.49","36.7","599220"
"VEA","2019-03-20","36.78","37.28","36.34","36.85","555990"
"VEA","2019-03-21","36.99","38.59","36.92","37.14","1206517"
"VEA","2019-03-22","37.65","37.65","37.07","37.65","413085"
"VEA","2019-03-25","37.36","38.15","36.92","37.72","654037"
"VEA","2019-03-26","37.5","39.17","37.5","38.66","1138600"
"VEA","2019-03-27","38.81","39.31","38.08","38.44","677848"
"VEA","2019-03-28","38.37","38.66","37.79","38.66","614418"
"VEA","2019-03-29","38.44","38.59","38.08","38.15","239600"
"VEA","2019-04-01","38.15","38.15","36.12","37.21","1144740"
"VEA","2019-04-02","37.28","38.08","37.07","37.36","232740"
"VEA","2019-04-03","37.43","37.43","36.41","36.63","293766"
"VEA","2019-04-04","36.41","36.85","36.27","36.7","385575"
"VEA","2019-04-05","36.56","37.21","36.56","36.7","159960"
"VEA","2019-04-08","36.78","37.07","35.11","35.18","704910"
"VEA","2019-04-09","35.62","36.2","35.25","36.2","465472"
"VEA","2019-04-10","36.05","36.49","35.91","36.34","344660"
"VEA","2019-04-11","36.34","36.7","36.2","36.2","264112"
"VEA","2019-04-12","35.98","36.05","35.54","35.83","231486"
"VEA","2019-04-16","35.54","35.83","35.54","35.76","151744"
"VEA","2019-04-17","35.69","35.69","35.47","35.54","218450"
