symbol,date,open,high,low,close,volume
"VET","2017-12-13","14.99","14.99","14.99","14.99","100"
"VET","2017-12-18","17.2","17.2","17.2","17.2","100"
"VET","2017-12-27","19.73","19.73","19.73","19.73","100"
"VET","2017-12-28","18.43","18.43","18.43","18.43","300"
"VET","2018-01-02","21.18","21.18","21.18","21.18","100"
"VET","2018-01-03","23.7","23.7","23.7","23.7","600"
"VET","2018-01-04","26.76","26.76","26.76","26.76","100"
"VET","2018-01-08","26.76","30.74","26.76","30.74","500"
"VET","2018-01-09","34.41","34.41","34.41","34.41","100"
"VET","2018-01-24","29.29","39.53","29.29","39.53","600"
"VET","2018-01-26","43.51","43.51","43.51","43.51","100"
"VET","2018-01-31","43.59","43.59","43.59","43.59","500"
"VET","2018-02-02","37.09","37.09","37.09","37.09","100"
"VET","2018-02-07","38.23","38.23","38.23","38.23","500"
"VET","2018-02-08","43.97","43.97","43.97","43.97","100"
"VET","2018-02-13","44.35","50.47","44.35","50.47","200"
"VET","2018-02-22","40.3","40.3","40.3","40.3","500"
"VET","2018-02-23","40.53","40.53","34.26","34.26","500"
"VET","2018-02-26","40.53","40.53","32.73","32.73","500"
"VET","2018-02-28","32.12","32.12","32.12","32.12","100"
"VET","2018-03-01","36.93","36.93","36.93","36.93","200"
"VET","2018-03-02","31.43","31.43","31.43","31.43","600"
"VET","2018-03-05","26.76","26.76","26.76","26.76","200"
"VET","2018-03-06","22.79","30.74","22.79","30.74","300"
"VET","2018-03-07","21.79","29.21","21.79","29.21","300"
"VET","2018-03-08","27.83","27.83","27.83","27.83","100"
"VET","2018-03-09","31.96","31.96","31.96","31.96","200"
"VET","2018-03-12","27.3","27.3","27.3","27.3","100"
"VET","2018-03-13","31.35","31.35","23.32","23.32","2000"
"VET","2018-03-14","31.43","31.43","31.43","31.43","200"
"VET","2018-03-15","36.02","36.02","36.02","36.02","100"
"VET","2018-03-20","32.88","32.88","32.88","32.88","500"
"VET","2018-03-26","30.59","30.59","30.59","30.59","200"
"VET","2018-03-30","30.59","35.1","30.59","35.1","700"
"VET","2018-04-03","32.12","34.41","32.12","34.41","300"
"VET","2018-04-06","32.88","32.88","32.88","32.88","100"
"VET","2018-04-11","32.88","32.88","32.88","32.88","200"
"VET","2018-04-23","37.77","37.77","37.77","37.77","100"
"VET","2018-04-26","43.43","43.43","43.43","43.43","100"
"VET","2018-05-11","36.93","36.93","36.93","36.93","300"
"VET","2018-05-16","31.43","31.43","31.43","31.43","600"
"VET","2018-05-22","26.76","26.76","26.76","26.76","300"
