symbol,date,open,high,low,close,volume,year,month,week,weekday
"VHD","2017-06-22","18.19","18.19","7.87","7.87","45000","2017","06","25","Thursday"
"VHD","2017-06-23","7.8","7.8","7.28","7.28","1100","2017","06","25","Friday"
"VHD","2017-06-26","7.28","7.28","7.28","7.28","1000","2017","06","26","Monday"
"VHD","2017-06-27","7.14","7.14","6.95","6.95","600","2017","06","26","Tuesday"
"VHD","2017-06-28","6.61","6.61","6.08","6.08","7400","2017","06","26","Wednesday"
"VHD","2017-06-29","5.95","6.61","5.22","5.29","9800","2017","06","26","Thursday"
"VHD","2017-06-30","5.29","6.35","5.29","6.35","5200","2017","06","26","Friday"
"VHD","2017-07-03","6.28","6.28","6.28","6.28","500","2017","07","27","Monday"
"VHD","2017-07-04","6.86","6.86","6.86","6.86","500","2017","07","27","Tuesday"
"VHD","2017-07-05","6.72","6.72","6.72","6.72","500","2017","07","27","Wednesday"
"VHD","2017-07-07","5.78","6.57","5.78","6.57","700","2017","07","27","Friday"
"VHD","2017-07-10","6.14","6.36","6.14","6.36","3000","2017","07","28","Monday"
"VHD","2017-07-11","6.5","6.93","6.5","6.93","500","2017","07","28","Tuesday"
"VHD","2017-07-12","6.93","6.93","6.93","6.93","200","2017","07","28","Wednesday"
"VHD","2017-07-14","6.57","6.57","5.92","5.92","1800","2017","07","28","Friday"
"VHD","2017-07-17","6.86","6.86","6.86","6.86","200","2017","07","29","Monday"
"VHD","2017-07-18","5.85","6.5","5.85","5.85","5400","2017","07","29","Tuesday"
"VHD","2017-07-20","6.14","6.14","5.78","5.78","4900","2017","07","29","Thursday"
"VHD","2017-07-21","5.78","5.78","5.78","5.78","5300","2017","07","29","Friday"
"VHD","2017-07-24","4.98","6.14","4.91","4.91","2200","2017","07","30","Monday"
"VHD","2017-07-25","5.92","5.92","5.92","5.92","100","2017","07","30","Tuesday"
"VHD","2017-07-28","5.13","5.92","5.13","5.92","690","2017","07","30","Friday"
"VHD","2017-07-31","5.92","5.92","5.92","5.92","200","2017","07","31","Monday"
"VHD","2017-08-01","5.2","5.92","5.13","5.92","1600","2017","08","31","Tuesday"
"VHD","2017-08-02","5.85","5.85","5.85","5.85","100","2017","08","31","Wednesday"
"VHD","2017-08-03","5.78","5.78","5.78","5.78","100","2017","08","31","Thursday"
"VHD","2017-08-08","5.06","5.78","5.06","5.78","3500","2017","08","32","Tuesday"
"VHD","2017-08-09","5.13","5.13","5.13","5.13","1200","2017","08","32","Wednesday"
"VHD","2017-08-10","5.34","5.34","5.27","5.27","3400","2017","08","32","Thursday"
"VHD","2017-08-11","6","6","6","6","100","2017","08","32","Friday"
"VHD","2017-08-18","6","6.86","6","6.86","800","2017","08","33","Friday"
"VHD","2017-08-21","5.34","5.34","5.34","5.34","5900","2017","08","34","Monday"
"VHD","2017-08-22","6.07","6.07","6.07","6.07","2000","2017","08","34","Tuesday"
"VHD","2017-08-25","6.07","6.07","6.07","6.07","10","2017","08","34","Friday"
"VHD","2017-08-31","5.2","5.2","5.2","5.2","1400","2017","08","35","Thursday"
"VHD","2017-09-01","5.85","5.85","5.85","5.85","1000","2017","09","35","Friday"
"VHD","2017-09-06","5.27","5.27","5.27","5.27","500","2017","09","36","Wednesday"
"VHD","2017-09-18","5.42","5.42","5.42","5.42","300","2017","09","38","Monday"
"VHD","2017-09-19","5.42","5.42","5.42","5.42","280","2017","09","38","Tuesday"
"VHD","2017-09-21","5.42","5.42","5.42","5.42","5000","2017","09","38","Thursday"
"VHD","2017-09-25","5.42","5.42","5.42","5.42","100","2017","09","39","Monday"
"VHD","2017-09-26","6.07","6.07","6.07","6.07","500","2017","09","39","Tuesday"
"VHD","2017-09-28","5.42","5.42","5.42","5.42","5000","2017","09","39","Thursday"
"VHD","2017-09-29","5.42","5.42","5.42","5.42","11800","2017","09","39","Friday"
"VHD","2017-10-02","5.42","5.42","5.42","5.42","1000","2017","10","40","Monday"
"VHD","2017-10-04","5.06","5.06","5.06","5.06","1000","2017","10","40","Wednesday"
"VHD","2017-10-09","5.34","5.34","5.34","5.34","1000","2017","10","41","Monday"
"VHD","2017-10-11","5.42","5.42","5.42","5.42","11000","2017","10","41","Wednesday"
"VHD","2017-10-12","5.2","5.2","5.2","5.2","100","2017","10","41","Thursday"
"VHD","2017-10-16","5.92","5.92","5.85","5.92","14700","2017","10","42","Monday"
"VHD","2017-10-17","6","6","5.92","5.92","800","2017","10","42","Tuesday"
"VHD","2017-10-18","6.07","6.21","6.07","6.14","2300","2017","10","42","Wednesday"
"VHD","2017-10-19","5.92","5.92","5.92","5.92","200","2017","10","42","Thursday"
"VHD","2017-10-24","5.92","5.92","5.92","5.92","1000","2017","10","43","Tuesday"
"VHD","2017-10-25","6.72","6.72","6.72","6.72","100","2017","10","43","Wednesday"
"VHD","2017-10-26","6.21","6.36","6.14","6.14","6200","2017","10","43","Thursday"
"VHD","2017-10-30","6.14","6.14","6.14","6.14","1000","2017","10","44","Monday"
"VHD","2017-10-31","6.07","6.14","6.07","6.14","1000","2017","10","44","Tuesday"
"VHD","2017-11-01","6.5","6.5","6.5","6.5","100","2017","11","44","Wednesday"
"VHD","2017-11-02","6.14","6.14","6.14","6.14","500","2017","11","44","Thursday"
"VHD","2017-11-03","5.78","6.14","5.78","6.14","1900","2017","11","44","Friday"
"VHD","2017-11-15","6","6","6","6","500","2017","11","46","Wednesday"
"VHD","2017-11-30","6","6","6","6","5500","2017","11","48","Thursday"
"VHD","2017-12-01","6.07","6.07","6.07","6.07","600","2017","12","48","Friday"
"VHD","2017-12-04","6","6.93","6","6.86","32300","2017","12","49","Monday"
"VHD","2017-12-08","6.86","7.44","6.79","7.22","18900","2017","12","49","Friday"
"VHD","2017-12-11","7.22","7.22","7.22","7.22","10900","2017","12","50","Monday"
"VHD","2017-12-12","7.29","7.58","7.29","7.58","8100","2017","12","50","Tuesday"
"VHD","2017-12-13","7.58","7.66","7.58","7.66","34500","2017","12","50","Wednesday"
"VHD","2017-12-14","7.58","7.58","7.58","7.58","1900","2017","12","50","Thursday"
"VHD","2017-12-15","8.67","8.67","8.67","8.67","100","2017","12","50","Friday"
"VHD","2017-12-19","7.37","7.37","7.37","7.37","100","2017","12","51","Tuesday"
"VHD","2017-12-21","7.37","7.37","7.37","7.37","100","2017","12","51","Thursday"
"VHD","2017-12-22","7.29","7.29","7.29","7.29","3100","2017","12","51","Friday"
