symbol,date,open,high,low,close,volume,year,month,week,weekday
"VHL","2009-02-12","8.81","8.81","3.52","4.76","21500","2009","02","7","Thursday"
"VHL","2009-02-13","5.29","5.29","5.29","5.29","5000","2009","02","7","Friday"
"VHL","2009-02-16","5.66","5.66","5.66","5.66","1000","2009","02","8","Monday"
"VHL","2009-02-17","6.04","6.04","5.27","5.29","41900","2009","02","8","Tuesday"
"VHL","2009-02-18","5.06","5.06","5.06","5.06","16400","2009","02","8","Wednesday"
"VHL","2009-02-19","4.72","4.93","4.7","4.76","16700","2009","02","8","Thursday"
"VHL","2009-02-20","4.58","4.58","4.44","4.44","26200","2009","02","8","Friday"
"VHL","2009-02-23","4.4","4.4","4.14","4.14","15600","2009","02","9","Monday"
"VHL","2009-02-24","3.89","4.09","3.89","3.89","36000","2009","02","9","Tuesday"
"VHL","2009-02-25","3.89","4.16","3.89","4.16","30600","2009","02","9","Wednesday"
"VHL","2009-02-26","4.23","4.28","4.05","4.28","34000","2009","02","9","Thursday"
"VHL","2009-02-27","4.42","4.47","4.42","4.47","16300","2009","02","9","Friday"
"VHL","2009-03-02","4.49","4.77","4.49","4.74","28800","2009","03","10","Monday"
"VHL","2009-03-03","4.46","4.58","4.4","4.56","12000","2009","03","10","Tuesday"
"VHL","2009-03-04","4.58","4.58","4.53","4.56","13500","2009","03","10","Wednesday"
"VHL","2009-03-05","4.65","4.76","4.65","4.76","5700","2009","03","10","Thursday"
"VHL","2009-03-06","4.67","4.67","4.58","4.65","5600","2009","03","10","Friday"
"VHL","2009-03-09","4.72","4.74","4.72","4.74","7500","2009","03","11","Monday"
"VHL","2009-03-10","4.74","4.77","4.74","4.76","10800","2009","03","11","Tuesday"
"VHL","2009-03-11","4.93","4.93","4.86","4.88","23000","2009","03","11","Wednesday"
"VHL","2009-03-12","4.63","4.65","4.6","4.63","5100","2009","03","11","Thursday"
"VHL","2009-03-13","4.76","4.77","4.74","4.76","8600","2009","03","11","Friday"
"VHL","2009-03-16","4.81","4.84","4.81","4.84","8100","2009","03","12","Monday"
"VHL","2009-03-17","4.93","4.99","4.83","4.84","15800","2009","03","12","Tuesday"
"VHL","2009-03-18","5.02","5.02","4.69","4.69","7900","2009","03","12","Wednesday"
"VHL","2009-03-19","4.81","4.81","4.67","4.76","13800","2009","03","12","Thursday"
"VHL","2009-03-20","4.76","4.76","4.76","4.76","1500","2009","03","12","Friday"
"VHL","2009-03-23","4.72","4.9","4.69","4.76","9500","2009","03","13","Monday"
"VHL","2009-03-24","4.81","4.81","4.81","4.81","1100","2009","03","13","Tuesday"
"VHL","2009-03-25","4.76","4.81","4.76","4.77","3700","2009","03","13","Wednesday"
"VHL","2009-03-26","4.84","4.86","4.84","4.86","23700","2009","03","13","Thursday"
"VHL","2009-03-27","4.93","4.93","4.86","4.86","8000","2009","03","13","Friday"
"VHL","2009-03-30","4.76","4.76","4.76","4.76","5000","2009","03","14","Monday"
"VHL","2009-03-31","4.77","4.77","4.77","4.77","1500","2009","03","14","Tuesday"
"VHL","2009-04-01","4.84","4.92","4.84","4.92","6400","2009","04","14","Wednesday"
"VHL","2009-04-03","4.88","4.97","4.88","4.93","12000","2009","04","14","Friday"
"VHL","2009-04-07","4.93","5.02","4.84","5.02","19600","2009","04","15","Tuesday"
"VHL","2009-04-08","4.93","4.93","4.84","4.86","8700","2009","04","15","Wednesday"
"VHL","2009-04-09","5.02","5.02","4.88","4.88","7900","2009","04","15","Thursday"
"VHL","2009-04-10","4.93","4.93","4.93","4.93","11000","2009","04","15","Friday"
"VHL","2009-04-13","5.02","5.27","5.02","5.27","41600","2009","04","16","Monday"
"VHL","2009-04-14","5.46","5.46","5.37","5.37","5300","2009","04","16","Tuesday"
"VHL","2009-04-15","5.13","5.13","5.09","5.09","5200","2009","04","16","Wednesday"
"VHL","2009-04-16","5.11","5.11","5.11","5.11","100","2009","04","16","Thursday"
"VHL","2009-04-17","5.02","5.02","4.88","4.88","6000","2009","04","16","Friday"
"VHL","2009-04-20","4.6","5.06","4.6","4.6","7000","2009","04","17","Monday"
"VHL","2009-04-21","4.33","4.6","4.33","4.6","16600","2009","04","17","Tuesday"
"VHL","2009-04-22","4.74","4.74","4.74","4.74","1000","2009","04","17","Wednesday"
"VHL","2009-04-23","5","5","5","5","200","2009","04","17","Thursday"
"VHL","2009-04-24","4.76","4.77","4.76","4.76","2500","2009","04","17","Friday"
"VHL","2009-04-27","4.93","4.93","4.93","4.93","200","2009","04","18","Monday"
"VHL","2009-04-28","4.92","4.92","4.92","4.92","100","2009","04","18","Tuesday"
"VHL","2009-04-29","4.88","4.88","4.84","4.84","4300","2009","04","18","Wednesday"
"VHL","2009-05-04","4.86","5.2","4.86","5.07","29600","2009","05","19","Monday"
"VHL","2009-05-05","5.37","5.41","5.11","5.11","38800","2009","05","19","Tuesday"
"VHL","2009-05-06","5.02","5.02","5.02","5.02","4000","2009","05","19","Wednesday"
"VHL","2009-05-07","4.93","5.11","4.88","5.11","2900","2009","05","19","Thursday"
"VHL","2009-05-08","4.84","4.84","4.76","4.76","9400","2009","05","19","Friday"
"VHL","2009-05-11","5.06","5.06","4.92","4.99","8900","2009","05","20","Monday"
"VHL","2009-05-12","4.93","5.02","4.93","5.02","12500","2009","05","20","Tuesday"
"VHL","2009-05-13","5.18","5.18","5.02","5.02","2600","2009","05","20","Wednesday"
"VHL","2009-05-14","5.06","5.06","4.93","4.93","7700","2009","05","20","Thursday"
"VHL","2009-05-15","5.09","5.09","4.97","5.02","19000","2009","05","20","Friday"
