symbol,date,open,high,low,close,volume
"VIR","2010-07-01","4.78","4.78","4.78","4.78","10"
"VIR","2010-07-02","5.25","5.25","5.25","5.25","105"
"VIR","2010-07-05","5.72","5.72","5.72","5.72","90"
"VIR","2010-07-06","6.25","6.25","6.25","6.25","20"
"VIR","2010-07-07","6.86","6.86","6.86","6.86","100"
"VIR","2010-07-08","7.53","7.53","7.53","7.53","215"
"VIR","2010-07-09","8.21","8.27","8.21","8.27","3300"
"VIR","2010-07-12","9.01","9.01","8.88","9.01","21667"
"VIR","2010-07-13","9.89","9.89","9.89","9.89","17880"
"VIR","2010-07-14","10.83","10.83","9.89","10.83","4118"
"VIR","2010-07-15","10.83","10.83","9.89","10.09","15218"
"VIR","2010-07-19","9.42","9.42","9.08","9.08","1100"
"VIR","2010-07-20","8.41","8.41","8.27","8.34","2200"
"VIR","2010-07-21","7.53","8.07","7.53","7.8","14700"
"VIR","2010-07-22","7.26","8.07","7.26","8.07","7400"
"VIR","2010-07-23","7.8","8.07","7.8","8.07","1100"
"VIR","2010-07-27","8.27","8.27","8.27","8.27","100"
"VIR","2010-07-28","7.46","7.46","7.46","7.46","1100"
"VIR","2010-07-29","7.26","7.4","7.26","7.4","6000"
"VIR","2010-08-04","6.93","6.93","6.93","6.93","4000"
"VIR","2010-08-06","6.19","7.46","6.19","7.46","2200"
"VIR","2010-08-09","7.4","7.73","7.4","7.73","3000"
"VIR","2010-08-10","6.93","7.46","6.93","7.46","4600"
"VIR","2010-08-12","7.2","7.2","6.79","6.79","4100"
"VIR","2010-08-13","6.93","6.93","6.93","6.93","500"
"VIR","2010-08-16","7.4","7.6","7.4","7.6","4900"
"VIR","2010-08-17","6.93","7.06","6.93","7","3000"
"VIR","2010-08-18","6.79","6.79","6.73","6.79","1900"
"VIR","2010-08-19","6.66","7","6.52","6.73","7000"
"VIR","2010-08-20","6.73","6.73","6.73","6.73","1100"
"VIR","2010-08-23","6.73","6.73","6.59","6.59","4000"
"VIR","2010-08-25","6.52","6.52","6.52","6.52","2000"
"VIR","2010-08-26","6.52","6.93","6.52","6.93","1200"
"VIR","2010-08-27","6.86","7.06","6.46","6.46","9600"
"VIR","2010-08-30","6.93","7.06","6.86","7.06","11100"
"VIR","2010-08-31","7.33","7.33","7.33","7.33","100"
"VIR","2010-09-01","7.73","7.73","7.73","7.73","100"
"VIR","2010-09-07","7.13","7.13","7","7","12200"
"VIR","2010-09-08","6.86","6.86","6.79","6.79","2000"
"VIR","2010-09-09","7.33","7.33","6.73","6.73","9500"
"VIR","2010-09-10","6.79","6.79","6.66","6.66","5200"
"VIR","2010-09-13","6.73","6.73","6.73","6.73","2000"
"VIR","2010-09-14","6.73","6.73","6.73","6.73","3100"
"VIR","2010-09-15","6.73","6.73","6.73","6.73","1500"
"VIR","2010-09-16","6.73","6.73","6.73","6.73","1600"
"VIR","2010-09-17","6.73","6.73","6.73","6.73","1000"
"VIR","2010-09-20","6.93","6.93","6.93","6.93","400"
"VIR","2010-09-21","7.4","7.4","7.4","7.4","200"
"VIR","2010-09-23","7","7","7","7","1000"
"VIR","2010-09-24","6.46","6.46","6.46","6.46","100"
"VIR","2010-09-27","6.86","6.86","6.79","6.79","1000"
"VIR","2010-09-28","7.06","7.4","7.06","7.06","18300"
"VIR","2010-09-29","7.06","7.06","7","7","5400"
"VIR","2010-09-30","7.13","7.13","7","7","10500"
"VIR","2010-10-04","6.93","6.93","6.86","6.86","3400"
"VIR","2010-10-05","6.93","6.93","6.79","6.79","3400"
"VIR","2010-10-06","6.93","6.93","6.93","6.93","100"
"VIR","2010-10-07","6.93","6.93","6.93","6.93","5100"
"VIR","2010-10-11","6.79","6.93","6.79","6.93","6200"
