symbol,date,open,high,low,close,volume
"VMC","2006-12-11","4.94","7.22","4.94","9.87","90954"
"VMC","2006-12-12","7.04","7.04","7.04","10.84","86908"
"VMC","2006-12-13","7.61","7.61","7.22","11.85","165875"
"VMC","2006-12-14","7.79","8.37","7.79","12.74","112681"
"VMC","2006-12-15","9.13","9.13","8.56","14.01","119873"
"VMC","2006-12-18","9.7","9.89","8.94","14.07","95899"
"VMC","2006-12-19","9.89","9.89","9.13","14.45","149243"
"VMC","2006-12-20","9.7","9.7","9.13","14.26","62634"
"VMC","2006-12-21","8.37","9.13","8.37","12.95","16482"
"VMC","2006-12-22","8.37","8.75","7.99","13.02","49298"
"VMC","2006-12-25","7.61","7.79","7.61","11.98","40157"
"VMC","2006-12-26","7.61","7.99","7.61","12.11","16182"
"VMC","2006-12-27","7.79","8.18","7.79","12.55","27571"
"VMC","2006-12-28","7.99","8.75","7.99","13.4","56790"
"VMC","2006-12-29","8.75","8.75","8.56","13.5","12137"
"VMC","2007-01-02","9.13","9.13","8.75","13.5","17681"
"VMC","2007-01-03","8.75","8.75","8.56","13.35","4645"
"VMC","2007-01-04","8.37","8.56","8.37","13.31","15134"
"VMC","2007-01-05","8.37","8.37","8.37","13.02","16482"
"VMC","2007-01-08","7.99","8.37","7.99","12.47","13186"
"VMC","2007-01-09","7.99","8.18","7.99","12.55","18280"
"VMC","2007-01-10","8.18","8.37","8.18","12.55","23375"
"VMC","2007-01-11","8.18","8.18","7.99","12.64","61285"
"VMC","2007-01-12","8.18","8.18","7.99","12.45","16033"
"VMC","2007-01-15","8.18","8.18","7.61","11.98","12137"
"VMC","2007-01-16","7.99","7.99","7.22","11.88","31167"
"VMC","2007-01-17","7.61","7.79","7.42","11.6","6143"
"VMC","2007-01-18","7.42","7.61","7.42","11.6","5843"
"VMC","2007-01-19","7.42","7.61","7.42","11.64","11537"
"VMC","2007-01-22","8.18","8.18","7.99","12.64","33115"
"VMC","2007-01-23","8.94","8.94","8.37","13.69","46001"
"VMC","2007-01-24","9.7","9.7","8.56","14.16","51246"
"VMC","2007-01-25","8.94","9.7","8.56","13.4","23525"
"VMC","2007-01-26","8.75","8.75","8.37","13.12","19479"
"VMC","2007-01-29","8.75","8.75","7.99","13.21","19329"
"VMC","2007-01-30","8.56","8.56","8.37","13.16","17231"
"VMC","2007-01-31","8.37","8.75","8.37","13.16","29518"
"VMC","2007-02-01","8.75","8.75","8.75","13.5","41056"
"VMC","2007-02-02","9.7","9.7","8.94","13.88","30717"
"VMC","2007-02-05","10.08","10.08","9.51","15.42","125567"
"VMC","2007-02-06","10.46","11.03","10.27","16.75","128864"
"VMC","2007-02-07","11.98","11.98","11.79","18.18","80165"
"VMC","2007-02-08","13.12","13.12","12.55","19.01","82563"
"VMC","2007-02-09","12.55","12.55","11.41","17.45","50197"
"VMC","2007-02-12","10.65","11.79","10.65","17.11","59187"
"VMC","2007-02-13","12.36","12.36","11.03","17.4","24723"
"VMC","2007-02-14","11.22","11.6","10.65","17.07","41656"
"VMC","2007-02-15","11.22","12.17","11.22","18.61","14684"
"VMC","2007-02-26","12.74","12.74","12.74","19.41","6742"
"VMC","2007-02-27","14.07","14.07","14.07","21.35","19779"
"VMC","2007-02-28","15.4","15.4","15.02","22.82","134858"
"VMC","2007-03-01","15.4","15.4","14.45","22.63","93651"
"VMC","2007-03-02","15.02","15.97","14.83","23.77","80615"
"VMC","2007-03-05","15.97","16.35","15.59","23.77","117626"
"VMC","2007-03-06","17.3","17.3","15.78","24.91","25323"
"VMC","2007-03-07","16.92","18.06","16.35","25.29","40607"
"VMC","2007-03-08","16.73","16.92","16.35","25.1","39558"
"VMC","2007-03-09","16.92","16.92","15.59","24.68","31616"
"VMC","2007-03-12","16.35","16.35","15.4","23.77","22925"
"VMC","2007-03-13","15.59","15.59","15.02","22.82","7492"
"VMC","2007-03-14","13.69","15.21","13.69","21.83","21577"
"VMC","2007-03-15","13.12","13.12","13.12","20","7492"
"VMC","2007-03-16","13.12","14.45","12.93","22","17082"
"VMC","2007-03-19","15.59","15.59","14.26","22.82","41806"
"VMC","2007-03-20","15.21","15.21","13.69","22.25","15883"
"VMC","2007-03-21","13.69","14.45","13.12","20.91","17831"
"VMC","2007-03-22","13.88","13.88","12.93","19.49","17831"
"VMC","2007-03-23","12.36","13.12","12.36","19.96","14085"
"VMC","2007-03-26","12.36","12.36","11.6","17.97","19329"
"VMC","2007-03-27","11.22","11.22","10.84","17.09","8990"
"VMC","2007-03-28","10.08","12.17","9.89","18.4","20078"
"VMC","2007-03-29","11.6","11.98","11.6","18.04","20228"
"VMC","2007-03-30","13.12","13.12","11.22","18.44","53643"
"VMC","2007-04-02","11.22","11.98","11.22","18.06","14085"
"VMC","2007-04-03","11.22","11.41","10.65","17.3","11837"
"VMC","2007-04-04","11.6","11.98","11.6","17.68","7192"
"VMC","2007-04-05","11.98","12.93","11.22","17.49","10488"
"VMC","2007-04-06","11.79","11.79","11.22","17.68","38809"
"VMC","2007-04-09","11.98","11.98","11.6","18.06","24124"
"VMC","2007-04-10","11.79","11.98","11.79","18.06","22476"
"VMC","2007-04-11","11.98","11.98","11.6","17.78","23525"
"VMC","2007-04-12","11.6","11.6","11.6","17.59","21727"
"VMC","2007-04-13","11.22","11.41","11.22","16.92","28919"
"VMC","2007-04-16","11.41","11.41","10.27","15.97","21427"
"VMC","2007-04-17","10.46","10.46","9.51","15.27","42105"
"VMC","2007-04-18","9.89","10.84","9.51","16.45","31766"
"VMC","2007-04-19","10.84","10.84","9.7","15.06","13635"
"VMC","2007-04-20","10.46","10.46","9.51","14.83","12436"
"VMC","2007-04-23","9.32","9.7","8.75","13.59","17531"
"VMC","2007-04-24","8.75","8.94","8.75","13.59","23375"
"VMC","2007-04-25","8.94","9.32","8.94","13.97","11987"
"VMC","2007-05-02","8.94","9.13","8.75","13.5","16033"
"VMC","2007-05-03","8.94","8.94","8.75","13.21","11687"
"VMC","2007-05-04","8.75","8.75","8.56","13.12","14684"
"VMC","2007-05-07","8.75","9.32","8.75","13.97","12436"
"VMC","2007-05-08","9.7","9.89","9.13","14.24","26522"
"VMC","2007-05-09","9.7","9.7","9.13","13.88","17082"
"VMC","2007-05-10","9.13","9.13","8.75","13.61","6143"
"VMC","2007-05-11","8.94","9.13","8.94","13.97","18430"
"VMC","2007-05-14","9.32","9.32","9.32","14.26","6443"
"VMC","2007-05-15","9.32","9.32","9.13","13.96","9440"
"VMC","2007-05-16","9.13","9.13","8.94","13.69","8840"
"VMC","2007-05-17","8.94","9.13","8.75","13.88","11987"
"VMC","2007-05-18","9.13","9.13","8.94","13.88","6143"
"VMC","2007-05-21","9.13","10.08","9.13","15.23","21876"
"VMC","2007-05-22","10.65","10.65","10.65","16.27","18730"
"VMC","2007-05-23","11.79","11.79","10.65","16.24","46151"
"VMC","2007-05-24","10.65","10.65","10.08","15.42","6293"
"VMC","2007-05-25","9.89","10.84","9.89","16.35","9589"
"VMC","2007-05-28","10.27","10.84","10.27","15.59","45701"
"VMC","2007-05-29","10.27","10.46","10.08","15.69","21427"
"VMC","2007-05-30","10.08","10.08","9.89","15.21","15433"
"VMC","2007-05-31","10.27","10.46","10.27","15.78","16482"
"VMC","2007-06-01","10.46","10.46","10.08","15.32","7791"
"VMC","2007-06-04","10.08","10.27","10.08","15.23","11238"
"VMC","2007-06-05","10.08","10.08","9.7","14.93","9889"
"VMC","2007-06-06","10.08","10.08","9.89","15.3","36861"
"VMC","2007-06-07","10.08","11.03","8.94","15.29","28619"
"VMC","2007-06-08","10.27","10.27","9.89","15.21","11238"
"VMC","2007-06-11","10.08","10.08","9.89","15.02","38359"
"VMC","2007-06-12","10.08","10.08","9.89","15.27","16632"
"VMC","2007-06-13","10.08","10.08","9.89","15.21","16482"
"VMC","2007-06-14","10.08","10.08","9.7","14.87","8990"
"VMC","2007-06-15","9.89","10.08","9.89","15.02","7791"
"VMC","2007-06-18","9.89","9.89","9.7","14.83","5094"
"VMC","2007-06-19","9.7","9.7","9.51","14.7","3146"
"VMC","2007-06-20","9.7","9.7","9.7","14.83","599"
"VMC","2007-06-21","9.7","9.7","9.32","14.16","10638"
"VMC","2007-06-22","9.32","9.32","9.32","14.26","11987"
"VMC","2007-06-25","9.32","9.32","8.94","13.78","4195"
"VMC","2007-06-26","9.32","9.32","9.13","14.26","3746"
"VMC","2007-06-27","9.32","9.51","9.32","14.14","7791"
"VMC","2007-06-28","9.51","9.51","9.13","14.26","7791"
"VMC","2007-06-29","8.94","8.94","8.75","13.48","31916"
"VMC","2007-07-02","8.56","8.56","7.99","12.17","3296"
"VMC","2007-07-03","8.18","8.37","7.79","12.64","10788"
"VMC","2007-07-04","8.75","8.94","8.75","13.5","5244"
"VMC","2007-07-05","8.75","8.75","8.18","12.74","53643"
"VMC","2007-07-06","8.75","8.75","8.56","13.12","749"
"VMC","2007-07-09","8.75","9.13","8.75","13.25","3895"
"VMC","2007-07-10","8.75","8.75","8.56","13.31","38809"
"VMC","2007-07-11","8.75","8.94","8.56","13.21","18880"
"VMC","2007-07-12","8.94","8.94","8.94","13.5","749"
"VMC","2007-07-13","8.75","8.75","8.75","13.4","52444"
"VMC","2007-07-16","8.56","8.75","8.56","13.21","1048"
"VMC","2007-07-17","8.56","8.75","8.56","13.21","4944"
"VMC","2007-07-18","8.56","8.75","8.37","12.64","33115"
"VMC","2007-07-19","8.56","8.56","8.37","12.83","48099"
