symbol,date,open,high,low,close,volume,year,month,week,weekday
"VNI","2009-09-09","30","30","30","30","26500","2009","09","37","Wednesday"
"VNI","2009-09-10","31.5","31.5","31.5","31.5","13130","2009","09","37","Thursday"
"VNI","2009-09-11","33","33","33","33","19320","2009","09","37","Friday"
"VNI","2009-09-14","34.6","34.6","34.6","34.6","13120","2009","09","38","Monday"
"VNI","2009-09-15","36.3","36.3","36.3","36.3","17860","2009","09","38","Tuesday"
"VNI","2009-09-16","70","38.1","38.1","38.1","4000","2009","09","38","Wednesday"
"VNI","2009-09-17","40","40","40","40","174490","2009","09","38","Thursday"
"VNI","2009-09-18","42","42","42","42","259560","2009","09","38","Friday"
"VNI","2009-09-21","44.1","44.1","44.1","44.1","18070","2009","09","39","Monday"
"VNI","2009-09-22","46.3","46.3","46.3","46.3","38540","2009","09","39","Tuesday"
"VNI","2009-09-23","48.6","48.6","48.6","48.6","30670","2009","09","39","Wednesday"
"VNI","2009-09-24","51","51","51","51","59160","2009","09","39","Thursday"
"VNI","2009-09-25","53.5","53.5","53.5","53.5","98470","2009","09","39","Friday"
"VNI","2009-09-28","56","56","56","56","16500","2009","09","40","Monday"
"VNI","2009-09-29","58.5","58.5","58.5","58.5","24000","2009","09","40","Tuesday"
"VNI","2009-09-30","61","61","61","61","37740","2009","09","40","Wednesday"
"VNI","2009-10-01","64","64","58","58","85570","2009","10","40","Thursday"
"VNI","2009-10-02","55.5","55.5","55.5","55.5","5540","2009","10","40","Friday"
"VNI","2009-10-05","53","53","53","53","3180","2009","10","41","Monday"
"VNI","2009-10-06","50.5","50.5","50.5","50.5","6760","2009","10","41","Tuesday"
"VNI","2009-10-07","48","53","48","48.1","274690","2009","10","41","Wednesday"
"VNI","2009-10-08","50.5","50.5","50","50.5","129200","2009","10","41","Thursday"
"VNI","2009-10-09","53","53","53","53","65070","2009","10","41","Friday"
"VNI","2009-10-12","55","55.5","53","55.5","167280","2009","10","42","Monday"
"VNI","2009-10-13","53.5","55","53","53","119370","2009","10","42","Tuesday"
"VNI","2009-10-14","51","53.5","51","53","110640","2009","10","42","Wednesday"
"VNI","2009-10-15","54","54","52","52","74110","2009","10","42","Thursday"
"VNI","2009-10-16","50.5","51.5","50","50","79030","2009","10","42","Friday"
"VNI","2009-10-19","48.3","49","48","48.3","78220","2009","10","43","Monday"
"VNI","2009-10-20","50.5","50.5","50","50.5","37090","2009","10","43","Tuesday"
"VNI","2009-10-21","52.5","53","50","52","51120","2009","10","43","Wednesday"
"VNI","2009-10-22","49.4","49.6","49.4","49.4","48690","2009","10","43","Thursday"
"VNI","2009-10-23","47","47","47","47","56380","2009","10","43","Friday"
"VNI","2009-10-26","44.7","44.7","44.7","44.7","31660","2009","10","44","Monday"
"VNI","2009-10-27","42.5","42.5","42.5","42.5","9200","2009","10","44","Tuesday"
"VNI","2009-10-28","40.4","42","40.4","40.5","102110","2009","10","44","Wednesday"
"VNI","2009-10-29","38.5","39","38.5","38.5","26000","2009","10","44","Thursday"
"VNI","2009-10-30","38.5","39","38","38.9","34900","2009","10","44","Friday"
"VNI","2009-11-02","38.9","37","37","37","8750","2009","11","45","Monday"
"VNI","2009-11-03","35.2","35.2","35.2","35.2","5650","2009","11","45","Tuesday"
"VNI","2009-11-04","33.5","33.5","33.5","33.5","12170","2009","11","45","Wednesday"
"VNI","2009-11-05","31.9","35.1","31.9","35.1","60930","2009","11","45","Thursday"
"VNI","2009-11-06","36","36","34.1","34.1","21930","2009","11","45","Friday"
"VNI","2009-11-09","32.4","32.5","32.4","32.5","11840","2009","11","46","Monday"
"VNI","2009-11-10","33.8","33.8","30.9","30.9","19000","2009","11","46","Tuesday"
"VNI","2009-11-11","30","32","29.5","31.9","23410","2009","11","46","Wednesday"
"VNI","2009-11-12","33.4","33.4","33","33.4","19860","2009","11","46","Thursday"
"VNI","2009-11-13","35","35","34.8","35","34600","2009","11","46","Friday"
"VNI","2009-11-16","36.7","36.7","36.7","36.7","16390","2009","11","47","Monday"
"VNI","2009-11-17","38.5","38.5","38.5","38.5","3150","2009","11","47","Tuesday"
"VNI","2009-11-18","40.4","40.4","39","40.4","96140","2009","11","47","Wednesday"
"VNI","2009-11-19","42.4","42.4","41","42.4","63410","2009","11","47","Thursday"
"VNI","2009-11-20","44.4","44.4","40.3","40.3","48950","2009","11","47","Friday"
"VNI","2009-11-23","38.3","38.4","38.3","38.3","25850","2009","11","48","Monday"
"VNI","2009-11-24","37.1","39","36.4","36.4","21830","2009","11","48","Tuesday"
"VNI","2009-11-25","34.6","34.7","34.6","34.6","26640","2009","11","48","Wednesday"
"VNI","2009-11-26","32.9","32.9","32.9","32.9","4880","2009","11","48","Thursday"
"VNI","2009-11-27","31.3","34.5","31.3","34.5","42240","2009","11","48","Friday"
"VNI","2009-11-30","33.6","36.2","33.6","33.7","6400","2009","11","49","Monday"
"VNI","2009-12-01","35","35","34","35","13690","2009","12","49","Tuesday"
"VNI","2009-12-02","34","34","33.3","33.3","23820","2009","12","49","Wednesday"
"VNI","2009-12-03","32","34.6","31.8","33.9","7130","2009","12","49","Thursday"
"VNI","2009-12-04","32.5","33.7","32.4","33.4","6000","2009","12","49","Friday"
"VNI","2009-12-07","32.4","34.3","32.4","33","1900","2009","12","50","Monday"
"VNI","2009-12-08","31.8","32.4","31.5","32","7110","2009","12","50","Tuesday"
"VNI","2009-12-09","30.4","30.4","30.4","30.4","9050","2009","12","50","Wednesday"
"VNI","2009-12-10","29.3","31.7","29.1","29.1","18430","2009","12","50","Thursday"
"VNI","2009-12-11","29.1","29.1","27.7","27.7","20040","2009","12","50","Friday"
"VNI","2009-12-14","26.7","29","26.7","29","17160","2009","12","51","Monday"
"VNI","2009-12-15","29.5","29.5","29.2","29.5","12210","2009","12","51","Tuesday"
"VNI","2009-12-16","28.2","30","28.1","28.1","10830","2009","12","51","Wednesday"
"VNI","2009-12-17","26.7","28.1","26.7","26.7","9390","2009","12","51","Thursday"
"VNI","2009-12-18","27.7","28","27","28","10400","2009","12","51","Friday"
"VNI","2009-12-21","29.4","29.4","29.3","29.4","3250","2009","12","52","Monday"
"VNI","2009-12-22","30.7","30.7","29","30.3","4870","2009","12","52","Tuesday"
"VNI","2009-12-23","31.5","31.5","29.5","29.5","14910","2009","12","52","Wednesday"
"VNI","2009-12-24","28.5","29","28.4","29","17800","2009","12","52","Thursday"
"VNI","2009-12-25","30.4","30.4","30.4","30.4","34200","2009","12","52","Friday"
"VNI","2009-12-28","31.6","31.6","30.4","30.4","17500","2009","12","53","Monday"
"VNI","2009-12-29","30.1","30.1","29.1","29.1","8260","2009","12","53","Tuesday"
"VNI","2009-12-30","28.2","30.5","28.2","30.5","34560","2009","12","53","Wednesday"
"VNI","2009-12-31","32","32","30","30","20830","2009","12","53","Thursday"
"VNI","2010-01-04","31.5","31.5","31.5","31.5","4020","2010","01","2","Monday"
"VNI","2010-01-05","33","33","33","33","34860","2010","01","2","Tuesday"
"VNI","2010-01-06","34.6","34.6","31.5","34","34180","2010","01","2","Wednesday"
"VNI","2010-01-07","34","34","32.3","33","21860","2010","01","2","Thursday"
"VNI","2010-01-08","33","33.5","31.6","31.7","23500","2010","01","2","Friday"
"VNI","2010-01-11","30.5","32","30.5","32","17790","2010","01","3","Monday"
"VNI","2010-01-12","32","32","30.4","30.4","14540","2010","01","3","Tuesday"
"VNI","2010-01-13","30.2","30.4","29","30.2","29340","2010","01","3","Wednesday"
"VNI","2010-01-14","31.7","31.7","31","31.7","13880","2010","01","3","Thursday"
"VNI","2010-01-15","30.7","31.9","30.6","30.7","6850","2010","01","3","Friday"
"VNI","2010-01-18","29.3","30.7","29.3","29.4","21670","2010","01","4","Monday"
"VNI","2010-01-19","30.5","30.5","29.5","30","9230","2010","01","4","Tuesday"
"VNI","2010-01-20","29.6","30","29","29.6","9130","2010","01","4","Wednesday"
"VNI","2010-01-21","28.3","29.5","28.3","28.6","11370","2010","01","4","Thursday"
"VNI","2010-01-22","28.5","28.6","27.2","27.2","22010","2010","01","4","Friday"
"VNI","2010-01-25","27.2","28.5","27.2","27.4","3620","2010","01","5","Monday"
"VNI","2010-01-26","28.5","28.7","28.4","28.7","7160","2010","01","5","Tuesday"
"VNI","2010-01-27","28.7","29.9","27.5","27.5","11040","2010","01","5","Wednesday"
"VNI","2010-01-28","26.9","28","26.9","27.2","9220","2010","01","5","Thursday"
"VNI","2010-01-29","27.5","27.5","26.5","26.6","6700","2010","01","5","Friday"
"VNI","2010-02-01","27.4","27.9","27.4","27.9","3360","2010","02","6","Monday"
"VNI","2010-02-02","26.9","28.8","26.9","27.2","3520","2010","02","6","Tuesday"
"VNI","2010-02-03","28","28","27.9","28","5800","2010","02","6","Wednesday"
"VNI","2010-02-04","28","28.1","28","28","3880","2010","02","6","Thursday"
"VNI","2010-02-05","27.5","27.5","26.7","27","9590","2010","02","6","Friday"
"VNI","2010-02-08","26.8","27","26.8","27","6790","2010","02","7","Monday"
"VNI","2010-02-09","28","28","27","28","1590","2010","02","7","Tuesday"
"VNI","2010-02-10","28.7","28.7","27","28.3","920","2010","02","7","Wednesday"
"VNI","2010-02-11","27.5","28","27.4","27.9","1620","2010","02","7","Thursday"
"VNI","2010-02-12","28.3","28.3","28","28","2240","2010","02","7","Friday"
"VNI","2010-02-22","28","28.5","28","28","6460","2010","02","9","Monday"
"VNI","2010-02-23","27.1","27.3","27","27","4640","2010","02","9","Tuesday"
"VNI","2010-02-24","27","27","26.8","27","1840","2010","02","9","Wednesday"
"VNI","2010-02-25","28","28","26.8","27.5","2540","2010","02","9","Thursday"
"VNI","2010-02-26","27.5","27.5","27.5","27.5","1260","2010","02","9","Friday"
"VNI","2010-03-01","27.5","27.5","27","27.5","6990","2010","03","10","Monday"
