symbol,date,open,high,low,close,volume
"VNM","2006-01-19","2.56","2.56","2.56","2.56","109350"
"VNM","2006-01-20","2.66","2.66","2.61","2.61","157840"
"VNM","2006-01-23","2.61","2.61","2.54","2.54","81400"
"VNM","2006-01-24","2.54","2.54","2.52","2.52","66000"
"VNM","2006-01-25","2.52","2.56","2.52","2.56","57220"
"VNM","2006-01-26","2.59","2.59","2.59","2.59","18750"
"VNM","2006-01-27","2.56","2.56","2.56","2.56","25630"
"VNM","2006-02-06","2.56","2.56","2.56","2.56","25190"
"VNM","2006-02-07","2.61","2.61","2.61","2.61","138720"
"VNM","2006-02-08","2.66","2.66","2.66","2.66","159300"
"VNM","2006-02-09","2.66","2.66","2.66","2.66","153580"
"VNM","2006-02-10","2.61","2.66","2.61","2.66","128650"
"VNM","2006-02-13","2.66","2.66","2.66","2.66","153670"
"VNM","2006-02-14","2.66","2.66","2.66","2.66","113260"
"VNM","2006-02-15","2.66","2.66","2.64","2.64","132600"
"VNM","2006-02-16","2.66","2.66","2.66","2.66","184290"
"VNM","2006-02-17","2.71","2.78","2.71","2.78","128090"
"VNM","2006-02-20","2.9","2.9","2.9","2.9","62050"
"VNM","2006-02-21","3.05","3.05","3.05","3.05","101970"
"VNM","2006-02-22","3.15","3.15","3.05","3.05","264890"
"VNM","2006-02-23","3.1","3.1","3.1","3.1","130490"
"VNM","2006-02-24","3.12","3.12","3.12","3.12","90480"
"VNM","2006-02-27","3.15","3.17","3.15","3.17","162140"
"VNM","2006-02-28","3.19","3.31","3.19","3.31","164820"
"VNM","2006-03-01","3.46","3.46","3.44","3.44","164480"
"VNM","2006-03-02","3.46","3.48","3.46","3.48","222520"
"VNM","2006-03-03","3.44","3.44","3.31","3.31","227880"
"VNM","2006-03-06","3.29","3.39","3.29","3.39","200050"
"VNM","2006-03-07","3.39","3.39","3.39","3.39","129210"
"VNM","2006-03-08","3.34","3.34","3.29","3.29","163660"
"VNM","2006-03-09","3.34","3.34","3.31","3.31","206310"
"VNM","2006-03-10","3.34","3.34","3.31","3.31","125760"
"VNM","2006-03-13","3.39","3.39","3.39","3.39","257130"
"VNM","2006-03-14","3.41","3.44","3.41","3.44","223540"
"VNM","2006-03-15","3.44","3.44","3.34","3.34","201720"
"VNM","2006-03-16","3.44","3.44","3.39","3.39","171110"
"VNM","2006-03-17","3.39","3.44","3.39","3.44","189800"
"VNM","2006-03-20","3.44","3.48","3.44","3.48","320020"
"VNM","2006-03-21","3.53","3.56","3.53","3.56","266040"
"VNM","2006-03-22","3.63","3.63","3.56","3.56","173010"
"VNM","2006-03-23","3.58","3.61","3.58","3.61","181330"
"VNM","2006-03-24","3.61","3.61","3.58","3.58","137520"
"VNM","2006-03-27","3.61","3.61","3.61","3.61","167410"
"VNM","2006-03-28","3.61","3.61","3.61","3.61","130790"
"VNM","2006-03-29","3.63","3.7","3.63","3.7","284640"
"VNM","2006-03-30","3.87","3.87","3.87","3.87","184200"
"VNM","2006-03-31","3.97","3.97","3.92","3.92","171770"
"VNM","2006-04-03","4.07","4.11","4.07","4.11","259620"
"VNM","2006-04-04","4.26","4.26","3.92","3.92","242500"
"VNM","2006-04-05","4.11","4.11","4.11","4.11","191790"
"VNM","2006-04-06","4.21","4.21","4.21","4.21","234410"
"VNM","2006-04-07","4.31","4.36","4.31","4.36","276750"
"VNM","2006-04-10","4.43","4.43","4.31","4.31","190930"
"VNM","2006-04-11","4.26","4.26","4.19","4.19","152780"
"VNM","2006-04-12","4.26","4.31","4.26","4.31","134540"
"VNM","2006-04-13","4.36","4.4","4.36","4.4","182010"
"VNM","2006-04-14","4.4","4.4","4.36","4.36","135270"
"VNM","2006-04-17","4.36","4.36","4.36","4.36","162080"
"VNM","2006-04-18","4.4","4.4","4.4","4.4","183230"
"VNM","2006-04-19","4.45","4.45","4.4","4.4","195960"
"VNM","2006-04-20","4.4","4.4","4.4","4.4","130410"
"VNM","2006-04-21","4.62","4.62","4.62","4.62","378460"
"VNM","2006-04-24","4.84","4.84","4.84","4.84","202190"
"VNM","2006-04-25","5.03","5.03","4.94","4.94","387490"
"VNM","2006-04-26","4.74","4.74","4.74","4.74","282180"
"VNM","2006-04-27","4.74","4.74","4.53","4.53","371490"
"VNM","2006-04-28","4.5","4.53","4.5","4.53","420830"
"VNM","2006-05-03","4.7","4.7","4.7","4.7","132570"
"VNM","2006-05-04","4.65","4.65","4.6","4.6","217800"
"VNM","2006-05-05","4.6","4.6","4.5","4.5","272950"
"VNM","2006-05-08","4.5","4.5","4.36","4.36","217830"
"VNM","2006-05-09","4.14","4.14","4.14","4.14","421900"
"VNM","2006-05-10","3.94","3.94","3.94","3.94","360820"
"VNM","2006-05-11","4.14","4.14","4.14","4.14","393040"
"VNM","2006-05-12","4.33","4.33","4.33","4.33","60420"
"VNM","2006-05-15","4.53","4.53","4.53","4.53","133080"
"VNM","2006-05-16","4.4","4.4","4.31","4.31","340760"
"VNM","2006-05-17","4.4","4.4","4.38","4.38","191180"
"VNM","2006-05-18","4.33","4.33","4.33","4.33","112310"
"VNM","2006-05-19","4.26","4.31","4.26","4.31","137010"
"VNM","2006-05-22","4.31","4.31","4.26","4.26","122780"
"VNM","2006-05-23","4.16","4.16","4.16","4.16","122020"
"VNM","2006-05-24","4.26","4.36","4.26","4.36","122100"
"VNM","2006-05-25","4.26","4.26","4.21","4.21","127620"
