symbol,date,open,high,low,close,volume
"VNY","2018-08-10","3.6","3.6","3.6","3.6","404200"
"VNY","2018-08-17","3.1","3.1","3.1","3.1","404200"
"VNY","2018-08-24","2.7","2.7","2.7","2.7","100"
"VNY","2018-08-31","3.1","3.1","3.1","3.1","100"
"VNY","2018-09-07","3.5","3.5","3.5","3.5","100"
"VNY","2018-09-14","4","4","3","3","245549"
"VNY","2018-09-21","3.4","3.4","3.4","3.4","100"
"VNY","2018-09-28","3.9","3.9","3.9","3.9","200"
"VNY","2018-10-05","4.4","4.4","4.4","4.4","100"
"VNY","2018-10-12","5","5","5","5","100"
"VNY","2018-10-19","4.3","4.3","4.3","4.3","37037"
"VNY","2018-10-26","4.9","4.9","4.9","4.9","100"
"VNY","2018-11-02","5","5","5","5","500"
"VNY","2018-11-09","5.1","5.1","5.1","5.1","100"
"VNY","2018-11-16","4.4","4.4","4.4","4.4","6300"
"VNY","2018-11-23","5","5","5","5","100"
"VNY","2018-12-07","5","5","5","5","500"
"VNY","2018-12-14","5.7","5.7","5.7","5.7","100"
"VNY","2019-01-04","6","6","6","6","500"
"VNY","2019-01-11","5.1","5.1","5.1","5.1","46500"
"VNY","2019-12-27","6.5","6.5","6.5","6.5","100"
"VNY","2020-03-13","5.6","5.6","5.6","5.6","260000"
"VNY","2020-03-20","4.8","4.8","4.8","4.8","165000"
"VNY","2020-08-21","5.3","5.3","5.3","5.3","100"
"VNY","2020-08-28","6","6","6","6","200"
"VNY","2020-09-11","6.3","6.3","6.3","6.3","100"
"VNY","2020-09-25","7","7","7","7","600"
"VNY","2020-10-02","7.7","7.7","7.7","7.7","100"
"VNY","2020-10-16","8","8","8","8","100"
"VNY","2020-10-30","8.4","8.4","8.4","8.4","100"
"VNY","2021-02-05","8.6","8.6","8.6","8.6","37700"
"VNY","2021-02-19","9.8","9.8","8.7","8.7","1600"
"VNY","2021-02-26","9.9","9.9","9.9","9.9","100"
"VNY","2021-03-05","9.6","9.6","9.6","9.6","5000"
"VNY","2021-03-12","9.4","9.6","9.4","9.6","23000"
"VNY","2021-03-26","8.1","9.5","8.1","8.1","1800"
"VNY","2021-04-02","7.5","7.5","7.5","7.5","4000"
"VNY","2021-04-09","7","7","7","7","8700"
"VNY","2021-04-16","7","7","7","7","3000"
"VNY","2021-04-23","6","6","6","6","3000"
"VNY","2021-05-28","6.9","6.9","6.9","6.9","6000"
"VNY","2021-06-04","6.9","6.9","6.9","6.9","100"
"VNY","2021-07-09","6.6","6.6","6.6","6.6","700"
"VNY","2021-11-19","6.6","6.6","6.6","6.6","1000"
"VNY","2021-12-31","5.7","6","5.7","6","35000"
"VNY","2022-01-07","5.7","5.7","5.7","5.7","100"
"VNY","2022-01-14","6","6.5","6","6.5","13000"
"VNY","2022-01-21","6.5","6.5","6.5","6.5","20600"
"VNY","2022-01-28","6.6","6.6","6","6","1300"
"VNY","2022-02-11","6","6","6","6","12000"
"VNY","2022-02-18","6","6","5.6","5.6","5500"
"VNY","2022-02-25","6","6","6","6","100"
"VNY","2022-03-04","6","6","5.5","6","35800"
"VNY","2022-03-11","5.5","6.3","5.5","6.3","26300"
"VNY","2022-03-18","6","6.5","5.9","5.9","16500"
"VNY","2022-03-25","6.1","6.1","5.5","6","37800"
"VNY","2022-04-01","5.8","6.4","5.7","5.7","82525"
"VNY","2022-04-08","5.9","5.9","5.7","5.7","42250"
"VNY","2022-04-12","5.7","6.3","5.7","6","10700"
"VNY","2022-04-13","6.6","6.6","6.6","6.6","200"
"VNY","2022-04-14","6.3","7.5","5.8","7.5","44800"
"VNY","2022-04-15","7.1","7.1","7.1","7.1","1900"
"VNY","2022-04-18","8.1","8.1","8","8.1","4800"
"VNY","2022-04-19","9.3","9.3","8.5","9.3","41600"
"VNY","2022-04-20","10.6","10.6","10.6","10.6","2500"
