symbol,date,open,high,low,close,volume
"VPI","2017-11-28","21.68","21.68","21.68","21.68","5000"
"VPI","2017-11-29","23.8","23.8","23.8","23.8","193600"
"VPI","2017-11-30","26.16","26.16","24.53","25.07","542500"
"VPI","2017-12-01","26.65","26.65","24.23","25.07","62300"
"VPI","2017-12-04","25.07","25.07","24.23","24.23","139600"
"VPI","2017-12-05","24.04","24.23","23.62","23.86","49900"
"VPI","2017-12-06","24.23","24.23","23.38","23.38","57000"
"VPI","2017-12-07","23.68","23.68","23.44","23.62","21300"
"VPI","2017-12-08","23.62","23.62","23.01","23.14","100300"
"VPI","2017-12-11","23.14","23.32","22.71","23.2","91400"
"VPI","2017-12-12","23.01","23.2","22.41","23.01","101200"
"VPI","2017-12-13","23.14","23.14","22.41","22.89","76900"
"VPI","2017-12-14","22.89","22.89","22.29","22.29","115900"
"VPI","2017-12-15","22.41","22.41","21.32","21.32","116400"
"VPI","2017-12-18","21.26","23.01","21.2","22.71","198030"
"VPI","2017-12-19","22.71","22.77","22.23","22.23","203900"
"VPI","2017-12-20","22.29","22.35","21.98","22.35","110200"
"VPI","2017-12-21","22.97","22.97","22.22","22.47","181200"
"VPI","2017-12-22","22.47","22.6","22.29","22.6","161500"
"VPI","2017-12-25","22.6","22.66","22.04","22.66","187500"
"VPI","2017-12-26","22.35","22.47","21.97","22.47","219400"
"VPI","2017-12-27","22.16","22.47","22.1","22.47","96100"
"VPI","2017-12-28","22.47","22.53","21.91","22.53","79000"
"VPI","2017-12-29","22.47","23.72","21.85","23.72","216600"
"VPI","2018-01-02","23.72","23.72","22.6","22.6","212200"
"VPI","2018-01-03","22.6","22.6","22.16","22.47","193330"
"VPI","2018-01-04","22.47","22.47","22.22","22.47","259600"
"VPI","2018-01-05","22.29","22.53","22.29","22.53","202700"
"VPI","2018-01-08","22.47","22.53","22.35","22.53","237900"
"VPI","2018-01-09","22.35","22.47","22.35","22.35","97200"
"VPI","2018-01-10","22.41","22.47","22.35","22.41","132400"
"VPI","2018-01-11","22.41","22.47","22.41","22.47","92900"
"VPI","2018-01-12","22.41","22.47","22.41","22.47","123400"
"VPI","2018-01-15","22.47","22.97","22.47","22.85","125130"
"VPI","2018-01-16","22.85","22.91","22.66","22.85","69900"
"VPI","2018-01-17","22.85","23.22","22.85","23.03","182800"
"VPI","2018-01-18","23.03","23.47","23.03","23.22","87900"
"VPI","2018-01-19","23.22","23.66","23.22","23.53","193700"
"VPI","2018-01-22","23.53","23.66","23.41","23.6","138500"
"VPI","2018-01-23","23.53","23.66","23.35","23.66","78400"
"VPI","2018-01-24","23.66","23.72","23.53","23.72","73300"
"VPI","2018-01-25","23.66","23.84","23.47","23.84","119800"
"VPI","2018-01-26","23.91","23.91","23.41","23.84","80000"
"VPI","2018-01-29","23.72","23.84","23.41","23.66","145800"
"VPI","2018-01-30","23.53","23.53","23.03","23.1","157800"
"VPI","2018-01-31","23.6","23.66","22.97","23.41","96800"
"VPI","2018-02-01","23.6","23.66","23.35","23.53","78800"
"VPI","2018-02-02","23.47","23.53","23.28","23.53","134400"
"VPI","2018-02-05","23.41","23.41","22.66","23.1","59200"
"VPI","2018-02-06","21.22","23.03","21.22","22.35","73300"
"VPI","2018-02-07","22.22","22.78","22.16","22.53","143400"
"VPI","2018-02-08","23.1","23.1","22.41","22.6","127200"
"VPI","2018-02-09","21.85","22.78","21.85","22.78","141500"
"VPI","2018-02-12","22.66","23.41","22.47","23.1","169600"
"VPI","2018-02-13","23.1","23.35","22.35","23.35","172000"
"VPI","2018-02-21","23.47","23.6","23.28","23.6","203000"
"VPI","2018-02-22","23.6","23.66","23.35","23.41","209100"
"VPI","2018-02-23","23.41","23.6","23.1","23.6","204700"
"VPI","2018-02-26","23.53","23.97","23.41","23.72","226600"
"VPI","2018-02-27","23.6","23.78","23.41","23.72","233440"
"VPI","2018-02-28","23.6","23.72","23.35","23.72","174300"
"VPI","2018-03-01","23.6","23.66","23.41","23.41","180700"
"VPI","2018-03-02","23.66","23.66","23.53","23.66","208630"
"VPI","2018-03-05","23.47","23.72","23.47","23.66","155500"
"VPI","2018-03-06","23.6","23.72","23.47","23.66","117000"
"VPI","2018-03-07","23.66","23.72","23.47","23.6","144400"
"VPI","2018-03-08","23.47","23.66","23.41","23.6","137409"
"VPI","2018-03-09","23.6","23.66","23.28","23.41","123600"
"VPI","2018-03-12","23.41","23.41","23.28","23.41","100700"
"VPI","2018-03-13","23.35","23.41","23.28","23.41","89000"
"VPI","2018-03-14","23.35","23.6","23.16","23.6","82100"
"VPI","2018-03-15","23.66","23.72","23.35","23.66","82300"
"VPI","2018-03-16","23.47","23.66","23.35","23.66","119000"
