symbol,date,open,high,low,close,volume,year,month,week,weekday
"VSC","2008-01-09","4.07","4.3","4.07","4.07","96510","2008","01","2","Wednesday"
"VSC","2008-01-10","3.94","4.07","3.87","3.87","63590","2008","01","2","Thursday"
"VSC","2008-01-11","3.87","4.03","3.87","3.94","60040","2008","01","2","Friday"
"VSC","2008-01-14","3.87","4.03","3.77","3.77","28870","2008","01","3","Monday"
"VSC","2008-01-15","3.67","3.67","3.61","3.61","8710","2008","01","3","Tuesday"
"VSC","2008-01-16","3.61","3.77","3.61","3.77","24170","2008","01","3","Wednesday"
"VSC","2008-01-17","3.77","3.8","3.64","3.71","27040","2008","01","3","Thursday"
"VSC","2008-01-18","3.74","3.77","3.71","3.77","18510","2008","01","3","Friday"
"VSC","2008-01-21","3.77","3.77","3.61","3.61","27850","2008","01","4","Monday"
"VSC","2008-01-22","3.48","3.67","3.44","3.44","30590","2008","01","4","Tuesday"
"VSC","2008-01-23","3.31","3.31","3.28","3.28","23670","2008","01","4","Wednesday"
"VSC","2008-01-25","3.18","3.25","3.15","3.18","23710","2008","01","4","Friday"
"VSC","2008-01-28","3.31","3.31","3.28","3.31","42340","2008","01","5","Monday"
"VSC","2008-01-29","3.48","3.48","3.48","3.48","1170","2008","01","5","Tuesday"
"VSC","2008-01-30","3.64","3.64","3.64","3.64","260","2008","01","5","Wednesday"
"VSC","2008-02-01","3.97","3.97","3.97","3.97","15470","2008","02","5","Friday"
"VSC","2008-02-12","4.17","4.17","4.17","4.17","8490","2008","02","7","Tuesday"
"VSC","2008-02-13","4.26","4.3","3.97","4.13","146090","2008","02","7","Wednesday"
"VSC","2008-02-14","4.3","4.33","4.3","4.33","76170","2008","02","7","Thursday"
"VSC","2008-02-15","4.26","4.53","4.26","4.53","81380","2008","02","7","Friday"
"VSC","2008-02-18","4.33","4.33","4.33","4.33","22300","2008","02","8","Monday"
"VSC","2008-02-19","4.2","4.26","4.13","4.17","72820","2008","02","8","Tuesday"
"VSC","2008-02-20","4.17","4.17","3.97","3.97","53480","2008","02","8","Wednesday"
"VSC","2008-02-21","3.77","3.77","3.77","3.77","30660","2008","02","8","Thursday"
"VSC","2008-02-22","3.61","3.61","3.61","3.61","62780","2008","02","8","Friday"
"VSC","2008-02-25","3.77","3.77","3.74","3.77","48970","2008","02","9","Monday"
"VSC","2008-02-26","3.61","3.61","3.61","3.61","40020","2008","02","9","Tuesday"
"VSC","2008-02-27","3.44","3.67","3.44","3.44","63030","2008","02","9","Wednesday"
"VSC","2008-02-28","3.48","3.48","3.31","3.38","40500","2008","02","9","Thursday"
"VSC","2008-02-29","3.38","3.38","3.28","3.28","40020","2008","02","9","Friday"
"VSC","2008-03-03","3.21","3.21","3.12","3.12","45940","2008","03","10","Monday"
"VSC","2008-03-04","2.97","2.97","2.97","2.97","7560","2008","03","10","Tuesday"
"VSC","2008-03-05","2.82","2.82","2.82","2.82","8730","2008","03","10","Wednesday"
"VSC","2008-03-06","2.95","2.95","2.95","2.95","12550","2008","03","10","Thursday"
"VSC","2008-03-07","3.1","3.1","3.1","3.1","103810","2008","03","10","Friday"
"VSC","2008-03-10","3.25","3.25","3.12","3.15","79070","2008","03","11","Monday"
"VSC","2008-03-11","3","3.2","3","3","65280","2008","03","11","Tuesday"
"VSC","2008-03-12","3.08","3.12","3","3.08","34470","2008","03","11","Wednesday"
"VSC","2008-03-13","3.15","3.15","3.08","3.12","24120","2008","03","11","Thursday"
"VSC","2008-03-14","3.03","3.08","2.98","2.98","65610","2008","03","11","Friday"
"VSC","2008-03-17","2.85","2.85","2.84","2.84","44800","2008","03","12","Monday"
"VSC","2008-03-18","2.71","2.71","2.71","2.71","16800","2008","03","12","Tuesday"
"VSC","2008-03-19","2.59","2.69","2.57","2.57","72570","2008","03","12","Wednesday"
"VSC","2008-03-20","2.49","2.56","2.46","2.46","111310","2008","03","12","Thursday"
"VSC","2008-03-21","2.36","2.41","2.36","2.38","78880","2008","03","12","Friday"
"VSC","2008-03-24","2.26","2.26","2.26","2.26","93240","2008","03","13","Monday"
"VSC","2008-03-25","2.16","2.16","2.16","2.16","89070","2008","03","13","Tuesday"
"VSC","2008-03-26","2.26","2.26","2.15","2.26","59990","2008","03","13","Wednesday"
"VSC","2008-03-27","2.28","2.28","2.28","2.28","15130","2008","03","13","Thursday"
"VSC","2008-03-28","2.28","2.29","2.28","2.29","120","2008","03","13","Friday"
"VSC","2008-03-31","2.31","2.31","2.31","2.31","2020","2008","03","14","Monday"
"VSC","2008-04-01","2.33","2.33","2.33","2.33","10020","2008","04","14","Tuesday"
"VSC","2008-04-02","2.35","2.35","2.35","2.35","5320","2008","04","14","Wednesday"
"VSC","2008-04-03","2.36","2.36","2.36","2.36","5010","2008","04","14","Thursday"
"VSC","2008-04-04","2.38","2.38","2.38","2.38","10","2008","04","14","Friday"
"VSC","2008-04-07","2.41","2.41","2.41","2.41","5000","2008","04","15","Monday"
"VSC","2008-04-08","2.41","2.44","2.38","2.41","117780","2008","04","15","Tuesday"
"VSC","2008-04-09","2.41","2.41","2.38","2.38","32590","2008","04","15","Wednesday"
"VSC","2008-04-10","2.35","2.35","2.35","2.35","5450","2008","04","15","Thursday"
"VSC","2008-04-11","2.31","2.31","2.31","2.31","8070","2008","04","15","Friday"
"VSC","2008-04-16","2.28","2.28","2.28","2.28","3220","2008","04","16","Wednesday"
"VSC","2008-04-17","2.25","2.31","2.25","2.31","62840","2008","04","16","Thursday"
"VSC","2008-04-18","2.28","2.31","2.28","2.28","20260","2008","04","16","Friday"
"VSC","2008-04-21","2.25","2.25","2.25","2.25","7360","2008","04","17","Monday"
"VSC","2008-04-22","2.21","2.21","2.21","2.21","3050","2008","04","17","Tuesday"
"VSC","2008-04-23","2.18","2.18","2.18","2.18","200","2008","04","17","Wednesday"
"VSC","2008-04-24","2.15","2.16","2.15","2.15","39480","2008","04","17","Thursday"
"VSC","2008-04-25","2.12","2.18","2.12","2.13","27990","2008","04","17","Friday"
"VSC","2008-04-28","2.1","2.16","2.1","2.15","32860","2008","04","18","Monday"
