symbol,date,open,high,low,close,volume,year,month,week,weekday
"VSF","2018-04-23","11.2","11.2","10.9","10.9","5900","2018","04","17","Monday"
"VSF","2018-04-24","10.6","10.6","10.2","10.2","1100","2018","04","17","Tuesday"
"VSF","2018-04-26","10.2","10.2","10.2","10.2","300","2018","04","17","Thursday"
"VSF","2018-04-27","10.3","10.3","10.3","10.3","3004","2018","04","17","Friday"
"VSF","2018-05-02","10.3","10.3","10.3","10.3","500","2018","05","18","Wednesday"
"VSF","2018-05-03","11","11","10.9","11","1100","2018","05","18","Thursday"
"VSF","2018-05-04","10.3","10.3","10.3","10.3","621","2018","05","18","Friday"
"VSF","2018-05-11","10.3","10.3","10.3","10.3","10","2018","05","19","Friday"
"VSF","2018-05-14","10.5","10.5","10.5","10.5","100","2018","05","20","Monday"
"VSF","2018-05-16","10.4","10.4","10.4","10.4","200","2018","05","20","Wednesday"
"VSF","2018-05-17","10.4","10.4","10.4","10.4","400","2018","05","20","Thursday"
"VSF","2018-05-18","10.4","10.4","10.4","10.4","500","2018","05","20","Friday"
"VSF","2018-05-21","10.4","10.4","10.4","10.4","200","2018","05","21","Monday"
"VSF","2018-05-22","10.3","10.3","10.3","10.3","200","2018","05","21","Tuesday"
"VSF","2018-05-25","10.3","10.3","10.3","10.3","200","2018","05","21","Friday"
"VSF","2018-06-08","10.3","10.3","10.1","10.1","200","2018","06","23","Friday"
"VSF","2018-06-29","11.5","11.7","11.5","11.7","10000","2018","06","26","Friday"
"VSF","2018-07-02","10.5","10.5","10.5","10.5","200","2018","07","27","Monday"
"VSF","2018-07-24","8","8.2","8","8","800","2018","07","30","Tuesday"
"VSF","2018-07-25","6.9","6.9","6.9","6.9","100","2018","07","30","Wednesday"
"VSF","2018-07-30","6.1","6.1","6","6","400","2018","07","31","Monday"
"VSF","2018-08-02","6.2","6.2","6.2","6.2","100","2018","08","31","Thursday"
"VSF","2018-08-06","7","7.1","7","7.1","400","2018","08","32","Monday"
"VSF","2018-08-07","8.1","8.1","8.1","8.1","600","2018","08","32","Tuesday"
"VSF","2018-08-09","9","9","9","9","300","2018","08","32","Thursday"
"VSF","2018-08-20","8","8","8","8","200","2018","08","34","Monday"
"VSF","2018-08-21","8","8","8","8","200","2018","08","34","Tuesday"
"VSF","2018-08-30","8","8","8","8","200","2018","08","35","Thursday"
"VSF","2018-09-05","8","8","8","8","300","2018","09","36","Wednesday"
"VSF","2018-09-06","8","8","8","8","700","2018","09","36","Thursday"
"VSF","2018-09-07","8","8","8","8","300","2018","09","36","Friday"
"VSF","2018-09-10","8","8","8","8","100","2018","09","37","Monday"
"VSF","2018-09-13","8","8","8","8","200","2018","09","37","Thursday"
"VSF","2018-09-14","8","8","8","8","200","2018","09","37","Friday"
"VSF","2018-09-18","8","8","8","8","200","2018","09","38","Tuesday"
"VSF","2018-09-21","8","8","8","8","500","2018","09","38","Friday"
"VSF","2018-09-27","9.2","9.2","9.2","9.2","100","2018","09","39","Thursday"
"VSF","2018-10-01","8.1","8.1","8.1","8.1","500","2018","10","40","Monday"
"VSF","2018-10-11","8.1","8.1","8.1","8.1","300","2018","10","41","Thursday"
"VSF","2018-10-30","7.5","7.5","6.9","6.9","1800","2018","10","44","Tuesday"
"VSF","2018-11-13","6.5","6.5","6.5","6.5","300","2018","11","46","Tuesday"
"VSF","2018-12-03","5.9","5.9","5.9","5.9","100","2018","12","49","Monday"
"VSF","2018-12-24","6.7","6.7","6.7","6.7","100","2018","12","52","Monday"
"VSF","2018-12-25","7.7","7.7","7.7","7.7","100","2018","12","52","Tuesday"
"VSF","2018-12-26","8.8","8.8","8.8","8.8","100","2018","12","52","Wednesday"
"VSF","2018-12-27","8.8","8.8","8.8","8.8","100","2018","12","52","Thursday"
"VSF","2019-02-22","8.8","8.8","8.8","8.8","100","2019","02","8","Friday"
"VSF","2019-02-27","8.8","8.8","8.8","8.8","1000","2019","02","9","Wednesday"
"VSF","2019-02-28","8","8","8","8","1000","2019","02","9","Thursday"
"VSF","2019-03-01","8.5","9.2","8.5","9.2","800","2019","03","9","Friday"
"VSF","2019-03-04","9.5","9.5","9.5","9.5","100","2019","03","10","Monday"
"VSF","2019-03-06","9.9","10","9.9","10","500","2019","03","10","Wednesday"
"VSF","2019-03-08","10","10","10","10","3000","2019","03","10","Friday"
"VSF","2019-03-11","10","11.5","10","11.5","6100","2019","03","11","Monday"
"VSF","2019-03-12","12","12","12","12","2000","2019","03","11","Tuesday"
"VSF","2019-03-13","12","12","12","12","2000","2019","03","11","Wednesday"
"VSF","2019-03-14","12","12","12","12","1500","2019","03","11","Thursday"
"VSF","2019-03-15","11.8","12","11.8","12","2100","2019","03","11","Friday"
"VSF","2019-03-18","11.9","11.9","11.9","11.9","100","2019","03","12","Monday"
"VSF","2019-03-19","11.9","11.9","11.9","11.9","100","2019","03","12","Tuesday"
"VSF","2019-03-20","11.8","11.8","11.8","11.8","200","2019","03","12","Wednesday"
"VSF","2019-03-21","11.8","11.8","11.8","11.8","200","2019","03","12","Thursday"
"VSF","2019-03-22","11.5","11.8","11.5","11.8","1000","2019","03","12","Friday"
"VSF","2019-03-26","9.9","9.9","9.9","9.9","200","2019","03","13","Tuesday"
"VSF","2019-03-27","8.6","8.6","8.6","8.6","100","2019","03","13","Wednesday"
"VSF","2019-04-01","9.8","9.8","9.8","9.8","300","2019","04","14","Monday"
"VSF","2019-04-02","11.2","11.2","11.2","11.2","1400","2019","04","14","Tuesday"
"VSF","2019-04-18","11.2","11.2","11.2","11.2","100","2019","04","16","Thursday"
"VSF","2019-05-07","11.2","11.2","11.2","11.2","50","2019","05","19","Tuesday"
"VSF","2019-05-09","11.2","11.2","11.2","11.2","1","2019","05","19","Thursday"
"VSF","2019-06-06","11.5","11.5","11.5","11.5","100","2019","06","23","Thursday"
"VSF","2019-06-18","9.8","9.8","9.8","9.8","100","2019","06","25","Tuesday"
"VSF","2019-06-19","8.5","10","8.5","10","1100","2019","06","25","Wednesday"
"VSF","2019-06-20","9.5","9.9","9.5","9.9","800","2019","06","25","Thursday"
"VSF","2019-06-21","9.6","9.6","9.6","9.6","900","2019","06","25","Friday"
"VSF","2019-06-24","8.2","8.2","8.2","8.2","1100","2019","06","26","Monday"
"VSF","2019-06-25","9","9.4","9","9.4","200","2019","06","26","Tuesday"
"VSF","2019-06-26","9.9","10","7.9","10","8700","2019","06","26","Wednesday"
"VSF","2019-06-27","9.4","10","7.9","10","6200","2019","06","26","Thursday"
"VSF","2019-06-28","9.7","9.9","9.7","9.9","300","2019","06","26","Friday"
"VSF","2019-07-01","9","9","9","9","100","2019","07","27","Monday"
"VSF","2019-07-02","9.5","10.3","8.2","8.2","600","2019","07","27","Tuesday"
"VSF","2019-07-03","8.4","9.3","8.4","9.3","5900","2019","07","27","Wednesday"
"VSF","2019-07-04","7.8","10","7.8","9","1600","2019","07","27","Thursday"
"VSF","2019-07-05","7.9","9.4","7.9","9.13","600","2019","07","27","Friday"
"VSF","2019-07-08","9.6","9.9","9.6","9.8","300","2019","07","28","Monday"
"VSF","2019-07-09","8.4","9.7","8.4","9.39","900","2019","07","28","Tuesday"
"VSF","2019-07-10","9","9","9","9","400","2019","07","28","Wednesday"
"VSF","2019-07-11","8","9.2","8","9.2","800","2019","07","28","Thursday"
"VSF","2019-07-12","8","8.6","8","8.6","12100","2019","07","28","Friday"
"VSF","2019-07-16","8","8","8","8","400","2019","07","29","Tuesday"
"VSF","2019-07-23","7.1","7.2","7.1","7.2","10400","2019","07","30","Tuesday"
"VSF","2019-07-26","6.2","6.2","6.2","6.2","200","2019","07","30","Friday"
"VSF","2019-07-29","6.9","7.1","6.9","7","6700","2019","07","31","Monday"
"VSF","2019-07-30","7","7","7","7","800","2019","07","31","Tuesday"
"VSF","2019-07-31","7","7","7","7","4400","2019","07","31","Wednesday"
"VSF","2019-08-01","8","8","7","7","300","2019","08","31","Thursday"
"VSF","2019-08-05","6.8","6.8","6.8","6.8","3800","2019","08","32","Monday"
"VSF","2019-08-09","7","7.1","7","7.1","3800","2019","08","32","Friday"
"VSF","2019-08-16","8.1","8.1","7","7","7900","2019","08","33","Friday"
"VSF","2019-08-23","7.2","7.2","7.2","7.2","100","2019","08","34","Friday"
"VSF","2019-08-30","7","7.8","7","7.8","2600","2019","08","35","Friday"
"VSF","2019-09-06","7","7","7","7","2700","2019","09","36","Friday"
"VSF","2019-09-27","6.5","7","6.5","7","400","2019","09","39","Friday"
"VSF","2019-10-18","6","6.5","6","6.5","14700","2019","10","42","Friday"
"VSF","2019-10-25","5.8","7.3","5.6","7.3","3300","2019","10","43","Friday"
"VSF","2019-11-15","6.5","7.8","6.5","7.8","2400","2019","11","46","Friday"
"VSF","2019-11-22","6.5","6.5","6.5","6.5","8700","2019","11","47","Friday"
"VSF","2019-11-29","6.5","6.6","6.5","6.6","200","2019","11","48","Friday"
"VSF","2019-12-13","5.8","7.4","5.8","7.4","1800","2019","12","50","Friday"
"VSF","2019-12-20","6.7","6.7","6.7","6.7","1800","2019","12","51","Friday"
"VSF","2019-12-27","5.7","5.7","5.7","5.7","600","2019","12","52","Friday"
"VSF","2019-12-30","6.5","6.5","6.5","6.5","100","2019","12","1","Monday"
"VSF","2019-12-31","7.4","7.4","7.3","7.4","6000","2019","12","1","Tuesday"
"VSF","2020-01-02","7","8.5","7","8.5","5000","2020","01","1","Thursday"
"VSF","2020-01-03","9.4","9.4","7.1","9.4","5900","2020","01","1","Friday"
"VSF","2020-01-06","10","10.1","10","10.1","2000","2020","01","2","Monday"
"VSF","2020-01-07","10","11.5","8.5","8.5","3600","2020","01","2","Tuesday"
"VSF","2020-01-08","8.9","8.9","8.9","8.9","100","2020","01","2","Wednesday"
"VSF","2020-01-09","9.7","10.2","7.8","10","7900","2020","01","2","Thursday"
"VSF","2020-01-10","10","10.7","9","10.1","14400","2020","01","2","Friday"
"VSF","2020-01-13","8.6","10.9","8.6","10.9","8700","2020","01","3","Monday"
"VSF","2020-01-14","10.2","10.5","9.8","10.1","2200","2020","01","3","Tuesday"
"VSF","2020-01-15","10.1","10.1","10","10.1","5800","2020","01","3","Wednesday"
"VSF","2020-01-16","9.5","9.5","9","9","1400","2020","01","3","Thursday"
"VSF","2020-01-17","8","8","8","8","100","2020","01","3","Friday"
"VSF","2020-01-21","8","8","8","8","200","2020","01","4","Tuesday"
"VSF","2020-01-31","7.8","7.8","7.8","7.8","100","2020","01","5","Friday"
"VSF","2020-02-03","7.5","7.5","7.5","7.5","300","2020","02","6","Monday"
"VSF","2020-02-05","7.4","7.4","7.3","7.3","300","2020","02","6","Wednesday"
"VSF","2020-02-06","8.2","8.2","8.2","8.2","400","2020","02","6","Thursday"
"VSF","2020-02-10","8","8","8","8","100","2020","02","7","Monday"
"VSF","2020-02-13","7.5","7.5","7.5","7.5","1800","2020","02","7","Thursday"
"VSF","2020-02-20","7.5","7.5","7.2","7.4","19100","2020","02","8","Thursday"
"VSF","2020-02-21","7","7","7","7","600","2020","02","8","Friday"
"VSF","2020-02-24","7","7.2","7","7.1","7200","2020","02","9","Monday"
"VSF","2020-03-02","7","7.1","7","7.1","8000","2020","03","10","Monday"
"VSF","2020-03-03","7","7.1","7","7.1","1400","2020","03","10","Tuesday"
"VSF","2020-03-04","7.1","7.2","7.1","7.2","2000","2020","03","10","Wednesday"
"VSF","2020-03-05","7.2","7.2","7.2","7.2","10000","2020","03","10","Thursday"
"VSF","2020-03-06","6.2","7.2","6.2","7.2","2500","2020","03","10","Friday"
"VSF","2020-03-09","7.2","7.5","7.2","7.2","5600","2020","03","11","Monday"
"VSF","2020-03-10","7.5","7.5","7","7","6800","2020","03","11","Tuesday"
"VSF","2020-03-17","6.1","7.1","6.1","7.1","1200","2020","03","12","Tuesday"
"VSF","2020-03-23","6.9","6.9","6.9","6.9","200","2020","03","13","Monday"
"VSF","2020-03-25","6.9","6.9","6.9","6.9","300","2020","03","13","Wednesday"
"VSF","2020-03-27","6","6","6","6","5200","2020","03","13","Friday"
"VSF","2020-03-30","6","6","6","6","500","2020","03","14","Monday"
"VSF","2020-04-01","6.5","6.5","6.5","6.5","1000","2020","04","14","Wednesday"
"VSF","2020-04-03","6","6.5","6","6.5","3400","2020","04","14","Friday"
"VSF","2020-04-06","6.5","6.5","6.5","6.5","500","2020","04","15","Monday"
"VSF","2020-04-07","7.4","7.4","7.4","7.4","400","2020","04","15","Tuesday"
"VSF","2020-04-08","7.4","7.4","7.4","7.4","300","2020","04","15","Wednesday"
"VSF","2020-04-09","7.6","7.6","7.6","7.6","2600","2020","04","15","Thursday"
"VSF","2020-04-10","6.5","6.5","6.5","6.5","300","2020","04","15","Friday"
"VSF","2020-04-13","7.2","7.2","7.2","7.2","300","2020","04","16","Monday"
"VSF","2020-04-14","7.3","7.4","7.3","7.4","6100","2020","04","16","Tuesday"
"VSF","2020-04-15","7.2","7.3","7.2","7.3","700","2020","04","16","Wednesday"
"VSF","2020-04-16","7.3","7.3","7.3","7.3","2300","2020","04","16","Thursday"
"VSF","2020-04-17","7.3","7.3","7.2","7.2","3100","2020","04","16","Friday"
