symbol,date,open,high,low,close,volume,year,month,week,weekday
"VTD","2019-11-06","9.45","9.45","9.45","9.45","161100","2019","11","45","Wednesday"
"VTD","2019-11-07","10.87","10.87","10.87","10.87","900","2019","11","45","Thursday"
"VTD","2019-11-08","12.44","12.44","12.44","12.44","200","2019","11","45","Friday"
"VTD","2019-11-11","14.25","14.25","14.25","14.25","80100","2019","11","46","Monday"
"VTD","2019-11-12","16.38","16.38","13.23","15.98","142800","2019","11","46","Tuesday"
"VTD","2019-11-13","15.98","15.98","14.8","15.98","203600","2019","11","46","Wednesday"
"VTD","2019-11-14","15.67","16.06","15.67","16.06","85300","2019","11","46","Thursday"
"VTD","2019-11-15","15.75","16.85","15.75","16.85","24000","2019","11","46","Friday"
"VTD","2019-11-18","16.22","17.32","16.06","17.32","98000","2019","11","47","Monday"
"VTD","2019-11-19","16.38","18.11","16.06","18.11","65300","2019","11","47","Tuesday"
"VTD","2019-11-20","16.46","18.74","16.46","18.74","116600","2019","11","47","Wednesday"
"VTD","2019-11-21","18.43","20.24","18.35","20.24","91800","2019","11","47","Thursday"
"VTD","2019-11-22","20.24","22.36","20.24","22.36","18300","2019","11","47","Friday"
"VTD","2019-11-25","25.43","25.43","21.18","22.84","158200","2019","11","48","Monday"
"VTD","2019-11-26","22.84","22.91","21.02","22.13","112600","2019","11","48","Tuesday"
"VTD","2019-11-27","22.13","23.23","20.47","22.6","103900","2019","11","48","Wednesday"
"VTD","2019-11-28","22.05","22.84","21.26","22.68","100700","2019","11","48","Thursday"
"VTD","2019-11-29","22.44","25.12","22.44","25.12","289600","2019","11","48","Friday"
"VTD","2019-12-02","25.12","26.46","24.8","24.8","241000","2019","12","49","Monday"
"VTD","2019-12-03","25.43","25.43","23.62","23.7","69700","2019","12","49","Tuesday"
"VTD","2019-12-04","23.54","23.54","21.26","21.73","57200","2019","12","49","Wednesday"
"VTD","2019-12-05","21.65","21.65","18.58","20.95","115400","2019","12","49","Thursday"
"VTD","2019-12-06","20.95","21.5","20.63","21.5","32100","2019","12","49","Friday"
"VTD","2019-12-09","21.57","22.2","21.57","22.13","99600","2019","12","50","Monday"
"VTD","2019-12-10","21.89","22.44","21.89","22.44","107000","2019","12","50","Tuesday"
"VTD","2019-12-11","22.44","23.7","22.2","22.36","111200","2019","12","50","Wednesday"
"VTD","2019-12-12","22.36","22.36","19.84","20.95","58400","2019","12","50","Thursday"
"VTD","2019-12-13","20.87","21.42","19.68","20.47","70100","2019","12","50","Friday"
"VTD","2019-12-16","20.39","20.95","20.39","20.95","31800","2019","12","51","Monday"
"VTD","2019-12-17","20.39","20.87","20.39","20.71","32400","2019","12","51","Tuesday"
"VTD","2019-12-18","20.71","21.02","20.71","20.87","53300","2019","12","51","Wednesday"
"VTD","2019-12-19","20.79","21.18","20.79","21.02","69600","2019","12","51","Thursday"
"VTD","2019-12-20","21.02","21.34","21.02","21.26","40300","2019","12","51","Friday"
"VTD","2019-12-23","21.18","21.26","21.1","21.26","53700","2019","12","52","Monday"
"VTD","2019-12-24","21.18","21.5","20.55","21.42","137600","2019","12","52","Tuesday"
"VTD","2019-12-25","21.18","21.65","21.1","21.42","58300","2019","12","52","Wednesday"
"VTD","2019-12-26","21.34","22.05","21.34","22.05","58100","2019","12","52","Thursday"
"VTD","2019-12-27","22.05","22.91","22.05","22.91","68700","2019","12","52","Friday"
"VTD","2019-12-30","22.84","23.62","22.84","23.62","52700","2019","12","1","Monday"
"VTD","2019-12-31","23.62","23.94","23.23","23.23","53700","2019","12","1","Tuesday"
"VTD","2020-01-02","23.23","23.54","23.15","23.31","55800","2020","01","1","Thursday"
"VTD","2020-01-03","23.31","23.31","22.52","22.6","58600","2020","01","1","Friday"
"VTD","2020-01-06","22.6","22.6","21.34","21.73","63600","2020","01","2","Monday"
"VTD","2020-01-07","21.73","21.97","20.32","21.02","66600","2020","01","2","Tuesday"
"VTD","2020-01-08","20.87","21.18","20.47","20.95","47300","2020","01","2","Wednesday"
"VTD","2020-01-09","20.87","21.34","20.87","21.26","52200","2020","01","2","Thursday"
"VTD","2020-01-10","21.18","21.65","21.18","21.5","55500","2020","01","2","Friday"
"VTD","2020-01-13","21.42","21.81","21.42","21.81","63800","2020","01","3","Monday"
"VTD","2020-01-14","21.73","22.05","21.65","22.05","62800","2020","01","3","Tuesday"
"VTD","2020-01-15","21.97","22.05","20.87","21.65","58100","2020","01","3","Wednesday"
"VTD","2020-01-16","21.57","21.73","20.95","21.1","42100","2020","01","3","Thursday"
"VTD","2020-01-17","21.1","21.42","20.47","21.42","69900","2020","01","3","Friday"
