symbol,date,open,high,low,close,volume
"VTO","2007-10-09","28.68","28.68","28.68","28.68","1000"
"VTO","2007-10-11","32.82","32.82","32.18","31.54","548040"
"VTO","2007-10-15","31.07","31.86","31.07","31.38","289380"
"VTO","2007-10-16","31.38","31.38","30.59","30.59","162830"
"VTO","2007-10-17","29.63","30.59","29.63","29.63","191670"
"VTO","2007-10-18","29.63","29.63","29","29","251450"
"VTO","2007-10-19","30.27","30.27","29","30.27","346790"
"VTO","2007-10-26","30.27","30.27","29.79","30.11","126060"
"VTO","2007-10-31","29.79","30.11","29.63","30.11","255080"
"VTO","2007-11-01","30.27","30.59","30.27","30.27","264210"
"VTO","2007-11-02","29.95","30.27","29.95","29.95","126930"
"VTO","2007-11-06","30.11","30.11","29.79","29.95","264770"
"VTO","2007-11-07","30.11","30.75","29.95","30.75","529460"
"VTO","2007-11-08","30.59","30.59","30.27","30.27","106150"
"VTO","2007-11-09","30.27","30.59","30.11","30.59","403180"
"VTO","2007-11-12","30.59","30.59","29.95","30.27","100390"
"VTO","2007-11-13","29.63","29.95","28.84","28.84","174080"
"VTO","2007-11-14","29.79","29.95","29","29.79","70230"
"VTO","2007-11-15","29.15","29.63","29.15","29.47","57330"
"VTO","2007-11-16","29.15","29.31","29.15","29.15","64440"
"VTO","2007-11-19","29.31","29.31","29","29.15","98050"
"VTO","2007-11-20","28.84","29","28.84","28.84","63480"
"VTO","2007-11-21","28.04","28.52","28.04","28.36","84100"
"VTO","2007-11-22","28.36","28.84","28.36","28.84","153350"
"VTO","2007-11-23","28.84","29.31","28.84","29.31","82300"
"VTO","2007-11-26","29.31","29.79","29.31","29.47","47620"
"VTO","2007-11-27","29.31","29.31","28.84","29","29950"
"VTO","2007-11-28","29.95","29.95","29.15","29.31","51290"
"VTO","2007-11-29","29.15","29.31","29.15","29.15","37920"
"VTO","2007-11-30","29.15","29.15","28.52","28.68","76940"
"VTO","2007-12-03","28.68","29.31","28.68","29.31","58600"
"VTO","2007-12-04","29.31","29.31","29.15","29.15","63880"
"VTO","2007-12-05","29","29","28.52","28.68","86330"
"VTO","2007-12-06","28.68","29.15","28.68","28.84","39300"
"VTO","2007-12-07","29.15","29.31","29","29.31","107630"
"VTO","2007-12-10","29","29","28.68","28.84","40340"
"VTO","2007-12-11","28.68","28.68","28.36","28.36","46560"
"VTO","2007-12-12","28.36","28.68","28.04","28.36","60340"
"VTO","2007-12-13","28.36","28.52","27.72","27.72","28540"
"VTO","2007-12-14","27.4","27.72","27.08","27.08","24340"
"VTO","2007-12-17","27.08","27.4","26.61","26.61","48730"
"VTO","2007-12-18","26.45","26.92","26.45","26.61","51760"
"VTO","2007-12-19","27.08","27.88","26.92","27.72","53190"
"VTO","2007-12-20","26.45","27.4","26.45","26.92","63580"
"VTO","2007-12-21","26.45","26.92","26.45","26.76","68110"
"VTO","2007-12-24","19.12","19.12","18","18.8","35810"
"VTO","2007-12-25","18.32","18.32","18","18","47420"
"VTO","2007-12-26","17.84","18.16","17.68","18","31340"
"VTO","2007-12-27","18.48","18.48","18.16","18.16","35610"
"VTO","2007-12-28","18.32","18.96","18","18.96","43900"
"VTO","2008-01-02","18.48","18.48","18.16","18.32","41240"
"VTO","2008-01-03","18","18.16","17.84","18","34280"
"VTO","2008-01-04","17.84","18","17.68","18","22950"
"VTO","2008-01-07","17.52","17.68","17.21","17.21","26080"
"VTO","2008-01-08","17.52","17.52","16.73","16.73","41530"
"VTO","2008-01-09","16.89","16.89","16.25","16.25","27650"
"VTO","2008-01-10","15.93","15.93","15.45","15.45","61890"
"VTO","2008-01-11","15.93","15.93","15.77","15.77","52460"
