symbol,date,open,high,low,close,volume,year,month,week,weekday
"VTQ","2021-05-20","13.92","13.92","10","10","1700","2021","05","21","Thursday"
"VTQ","2021-05-25","13.62","13.62","11.86","13.62","900","2021","05","22","Tuesday"
"VTQ","2021-05-26","14.9","14.9","14.9","14.9","800","2021","05","22","Wednesday"
"VTQ","2021-05-28","17.05","17.05","17.05","17.05","200","2021","05","22","Friday"
"VTQ","2021-05-31","19.6","19.6","19.6","19.6","200","2021","05","23","Monday"
"VTQ","2021-06-01","22.54","22.54","22.54","22.54","100","2021","06","23","Tuesday"
"VTQ","2021-06-02","25.87","25.87","25.87","25.87","100","2021","06","23","Wednesday"
"VTQ","2021-06-03","29.69","29.69","29.69","29.69","100","2021","06","23","Thursday"
"VTQ","2021-06-07","34.1","34.1","34.1","34.1","100","2021","06","24","Monday"
"VTQ","2021-06-10","39.2","39.2","29.01","29.01","500","2021","06","24","Thursday"
"VTQ","2021-08-04","44.79","44.79","44.79","44.79","100","2021","08","32","Wednesday"
"VTQ","2021-08-10","43.12","43.12","43.12","43.12","100","2021","08","33","Tuesday"
"VTQ","2021-08-11","36.65","36.65","36.65","36.65","100","2021","08","33","Wednesday"
"VTQ","2021-08-13","33.32","33.32","33.32","33.32","100","2021","08","33","Friday"
"VTQ","2021-08-16","32.34","32.34","32.34","32.34","100","2021","08","34","Monday"
"VTQ","2021-08-30","27.54","27.54","27.54","27.54","100","2021","08","36","Monday"
"VTQ","2021-08-31","23.42","23.42","23.42","23.42","100","2021","08","36","Tuesday"
"VTQ","2021-09-01","19.99","19.99","19.99","19.99","500","2021","09","36","Wednesday"
"VTQ","2021-09-06","19.99","19.99","19.99","19.99","200","2021","09","37","Monday"
"VTQ","2021-09-07","19.99","22.93","19.99","22.93","200","2021","09","37","Tuesday"
"VTQ","2021-09-09","18.33","18.33","18.33","18.33","100","2021","09","37","Thursday"
"VTQ","2021-09-10","18.33","18.33","18.23","18.23","200","2021","09","37","Friday"
"VTQ","2021-09-20","18.33","18.33","18.33","18.33","100","2021","09","39","Monday"
"VTQ","2022-02-25","25.58","25.58","25.58","25.58","200","2022","02","8","Friday"
"VTQ","2022-02-28","27.44","27.44","27.44","27.44","400","2022","02","9","Monday"
"VTQ","2022-10-11","27.4","27.4","27.4","27.4","100","2022","10","41","Tuesday"
