symbol,date,open,high,low,close,volume
"VTZ","2021-11-25","12.96","12.96","12.96","12.96","100"
"VTZ","2021-11-26","14.17","14.17","14.17","14.17","100"
"VTZ","2021-11-29","15.57","15.57","15.48","15.57","1110100"
"VTZ","2021-11-30","17.04","17.04","14.78","14.78","421800"
"VTZ","2021-12-01","15.22","15.22","13.48","14.78","16700"
"VTZ","2021-12-02","13.3","14.35","13.3","13.3","96600"
"VTZ","2021-12-03","12","12","12","12","59100"
"VTZ","2021-12-06","10.87","11.74","10.87","10.87","596300"
"VTZ","2021-12-07","10.87","11.83","10.87","11.74","58000"
"VTZ","2021-12-08","12.17","12.78","12.17","12.44","138100"
"VTZ","2021-12-09","12.17","12.17","11.22","11.57","244100"
"VTZ","2021-12-10","11.39","11.74","10.87","11.48","65800"
"VTZ","2021-12-13","11.57","11.74","10.96","11.22","93100"
"VTZ","2021-12-14","11.3","11.48","10.96","11.22","154400"
"VTZ","2021-12-15","11.13","11.22","10.96","11.22","120400"
"VTZ","2021-12-16","11.22","11.22","10.78","11.13","112000"
"VTZ","2021-12-17","11.13","11.13","10.7","11.04","92200"
"VTZ","2021-12-20","11.04","11.04","10.35","10.61","45400"
"VTZ","2021-12-21","10.52","10.96","10.44","10.96","77800"
"VTZ","2021-12-22","11.13","11.3","10.52","10.61","82400"
"VTZ","2021-12-23","10.96","10.96","10.44","10.7","56600"
"VTZ","2021-12-24","10.44","10.78","10.44","10.61","58000"
"VTZ","2021-12-27","10.61","10.7","10.35","10.35","98700"
"VTZ","2021-12-28","10.61","10.61","10.26","10.61","163500"
"VTZ","2021-12-29","10.61","10.87","10.44","10.7","36400"
"VTZ","2021-12-30","10.7","10.78","10.44","10.7","40600"
"VTZ","2021-12-31","10.61","10.61","10.44","10.44","25000"
"VTZ","2022-01-04","10.35","10.61","10.26","10.61","181800"
"VTZ","2022-01-05","10.7","11.13","10.7","10.78","88300"
"VTZ","2022-01-06","10.78","10.78","10.44","10.44","92400"
"VTZ","2022-01-07","10.61","10.61","10.35","10.61","120200"
"VTZ","2022-01-10","10.52","11.13","10.52","10.52","209100"
"VTZ","2022-01-11","10.78","10.87","10.52","10.7","137088"
"VTZ","2022-01-12","10.78","11.13","10.26","10.44","1965012"
"VTZ","2022-01-13","10.44","10.61","10.26","10.44","64400"
"VTZ","2022-01-14","10.44","10.44","10.26","10.44","47200"
"VTZ","2022-01-17","10.44","10.52","10.26","10.35","69000"
"VTZ","2022-01-18","10.35","10.44","10.17","10.17","37200"
"VTZ","2022-01-19","9.74","10.26","9.74","10.09","33700"
"VTZ","2022-01-20","10.09","10.35","10","10.26","71200"
