symbol,date,open,high,low,close,volume
"VXB","2010-06-22","16.23","16.23","12.78","14.5","30200"
"VXB","2010-06-23","12.98","13.23","12.34","13.23","11300"
"VXB","2010-06-24","13.03","13.72","13.03","13.72","22100"
"VXB","2010-06-25","13.13","13.72","13.13","13.72","1400"
"VXB","2010-06-28","12.73","14.26","12.73","12.78","3000"
"VXB","2010-06-29","12.29","13.03","12.29","13.03","800"
"VXB","2010-06-30","12.73","12.78","12.69","12.78","2700"
"VXB","2010-07-01","13.28","13.28","12.83","12.88","1100"
"VXB","2010-07-02","12.78","13.82","12.78","13.82","158700"
"VXB","2010-07-05","14.7","14.7","14.5","14.7","77600"
"VXB","2010-07-06","13.77","15.49","13.77","13.96","9800"
"VXB","2010-07-07","15.04","15.04","13.77","14.21","8200"
"VXB","2010-07-08","13.77","13.77","13.37","13.67","19600"
"VXB","2010-07-09","12.88","13.18","12.88","13.18","8300"
"VXB","2010-07-12","13.28","13.96","13.28","13.96","4000"
"VXB","2010-07-13","14.46","14.75","13.77","13.77","33200"
"VXB","2010-07-14","13.62","13.67","13.52","13.52","6600"
"VXB","2010-07-15","13.28","14.16","13.23","13.23","3700"
"VXB","2010-07-16","13.03","13.03","12.83","12.98","16000"
"VXB","2010-07-19","13.28","13.28","13.03","13.03","12100"
"VXB","2010-07-20","13.28","13.28","12.98","12.98","3700"
"VXB","2010-07-21","13.28","13.28","12.78","12.78","12400"
"VXB","2010-07-22","13.03","13.03","12.14","12.29","4200"
"VXB","2010-07-23","12.29","12.54","12.05","12.29","7300"
"VXB","2010-07-26","12.29","12.54","12.29","12.29","1800"
"VXB","2010-07-27","12.54","12.54","11.8","11.8","2400"
"VXB","2010-07-28","12.29","12.29","11.65","12.05","8500"
"VXB","2010-07-29","12.24","12.29","12.19","12.19","1800"
"VXB","2010-07-30","12.29","12.29","12.29","12.29","500"
"VXB","2010-08-02","12.29","12.29","11.8","11.8","1300"
"VXB","2010-08-03","11.26","11.31","11.26","11.26","6500"
"VXB","2010-08-04","12.05","12.05","11.55","11.65","2300"
"VXB","2010-08-05","11.8","11.8","11.7","11.7","1000"
"VXB","2010-08-06","11.31","11.31","11.01","11.31","8100"
"VXB","2010-08-09","11.06","11.06","10.42","10.42","1300"
"VXB","2010-08-10","10.08","10.08","10.08","10.08","1900"
"VXB","2010-08-11","10.77","10.77","10.32","10.77","2400"
"VXB","2010-08-12","11.11","11.11","10.32","10.32","2400"
"VXB","2010-08-13","11.31","11.31","10.32","10.32","1000"
"VXB","2010-08-16","11.46","11.46","11.31","11.31","600"
"VXB","2010-08-17","11.8","11.8","11.8","11.8","100"
"VXB","2010-08-18","11.06","11.06","11.06","11.06","1200"
