symbol,date,open,high,low,close,volume
"WSB","2010-08-16","8.54","8.54","8.54","8.54","2500"
"WSB","2010-08-17","8.59","9.04","8.59","9.04","9000"
"WSB","2010-08-18","9.49","9.49","8.79","8.79","1500"
"WSB","2010-08-19","8.79","9.24","8.79","8.79","1200"
"WSB","2010-08-20","8.84","8.84","8.84","8.84","500"
"WSB","2010-08-23","9.04","9.04","9.04","9.04","500"
"WSB","2010-08-25","8.54","8.54","8.54","8.54","100"
"WSB","2010-08-26","7.79","7.79","7.79","7.79","100"
"WSB","2010-08-27","7.13","7.13","7.13","7.13","100"
"WSB","2010-08-30","6.43","7.74","6.43","7.74","1100"
"WSB","2010-08-31","8.04","8.04","8.04","8.04","1000"
"WSB","2010-09-01","7.84","7.84","7.84","7.84","100"
"WSB","2010-09-07","8.59","8.59","8.59","8.59","2800"
"WSB","2010-09-08","8.59","8.59","8.59","8.59","1000"
"WSB","2010-09-09","9.44","9.44","9.44","9.44","200"
"WSB","2010-09-10","10.3","10.3","10.3","10.3","8100"
"WSB","2010-09-13","9.29","9.29","9.29","9.29","100"
"WSB","2010-09-14","8.49","9.29","8.49","9.29","5100"
"WSB","2010-09-15","8.44","8.44","8.44","8.44","100"
"WSB","2010-09-16","9.24","9.24","9.24","9.24","3400"
"WSB","2010-09-21","10.05","10.05","10.05","10.05","100"
"WSB","2010-09-22","9.14","9.14","9.14","9.14","100"
"WSB","2010-09-23","8.24","10.05","8.24","10.05","300"
"WSB","2010-09-24","8.34","8.34","8.34","8.34","100"
"WSB","2010-09-27","7.63","7.63","7.63","7.63","100"
"WSB","2010-09-28","8.39","8.39","8.39","8.39","25100"
"WSB","2010-09-30","9.04","9.04","9.04","9.04","2000"
"WSB","2010-10-01","9.74","9.74","8.14","8.14","4200"
"WSB","2010-10-04","8.94","8.94","8.94","8.94","100"
"WSB","2010-10-07","8.94","8.94","8.09","8.09","32300"
"WSB","2010-10-08","8.89","8.89","8.29","8.54","14100"
"WSB","2010-10-12","8.04","8.04","8.04","8.04","6000"
"WSB","2010-10-13","8.04","8.04","8.04","8.04","1000"
"WSB","2010-10-18","8.04","8.04","8.04","8.04","7100"
"WSB","2010-10-20","7.84","7.84","7.79","7.79","3000"
"WSB","2010-10-21","7.79","8.44","7.79","7.79","4500"
"WSB","2010-10-26","8.04","8.04","8.04","8.04","2700"
"WSB","2010-11-01","7.84","7.84","7.84","7.84","300"
"WSB","2010-11-03","8.04","8.04","7.89","7.89","2800"
"WSB","2010-11-04","7.84","7.84","7.79","7.79","4000"
"WSB","2010-11-10","7.79","7.79","7.79","7.79","1000"
"WSB","2010-11-12","7.53","7.53","7.28","7.28","2000"
"WSB","2010-11-17","8.09","8.09","8.09","8.09","100"
"WSB","2010-11-18","8.89","8.89","8.89","8.89","100"
"WSB","2010-11-29","9.69","9.69","9.69","8.89","100"
"WSB","2010-11-30","8.74","9.99","8.74","9.99","1100"
"WSB","2010-12-03","8.79","8.79","8.49","8.49","2200"
"WSB","2010-12-07","9.29","9.29","8.74","8.74","600"
"WSB","2010-12-09","9.54","9.54","9.54","9.54","100"
"WSB","2010-12-10","8.69","8.69","8.69","8.69","2000"
"WSB","2010-12-15","8.04","8.04","8.04","8.04","1700"
"WSB","2010-12-16","8.34","8.34","8.34","8.34","100"
"WSB","2010-12-17","7.79","8.29","7.79","8.29","9900"
"WSB","2010-12-21","8.59","8.59","8.59","8.59","93800"
"WSB","2010-12-22","9.39","9.39","9.39","9.39","100"
"WSB","2010-12-23","9.54","9.99","9.54","9.99","200"
"WSB","2010-12-24","10.45","10.45","10.45","10.45","100"
"WSB","2010-12-28","11.3","11.3","11.3","11.3","200"
"WSB","2010-12-29","12.41","12.41","10.2","10.2","500"
"WSB","2010-12-31","10.65","10.65","10.65","10.65","100"
"WSB","2011-01-06","9.59","9.59","9.59","9.59","400"
"WSB","2011-01-24","8.64","8.64","8.64","8.64","100"
"WSB","2011-01-26","7.84","7.84","7.79","7.79","1500"
"WSB","2011-02-09","7.53","7.53","7.53","7.53","1700"
"WSB","2011-02-10","7.53","7.63","7.53","7.53","4200"
"WSB","2011-02-11","7.53","7.53","7.53","7.53","3500"
"WSB","2011-02-14","7.53","7.53","7.53","7.53","9900"
"WSB","2011-02-15","7.53","7.53","7.53","7.53","5800"
"WSB","2011-02-16","7.79","8.29","7.58","8.29","7200"
"WSB","2011-02-18","8.24","8.24","8.24","8.24","100"
"WSB","2011-02-22","7.89","7.89","7.79","7.79","11600"
"WSB","2011-02-23","8.04","8.04","7.79","7.84","15000"
"WSB","2011-02-24","7.79","7.79","7.74","7.79","38900"
"WSB","2011-02-25","7.79","7.79","7.79","7.79","18500"
"WSB","2011-02-28","7.79","7.79","7.79","7.79","29100"
"WSB","2011-03-01","7.89","7.89","7.79","7.79","1100"
"WSB","2011-03-02","7.58","7.68","7.53","7.68","6600"
"WSB","2011-03-03","7.53","7.63","7.53","7.63","10300"
"WSB","2011-03-04","7.63","7.63","7.63","7.63","17000"
"WSB","2011-03-07","7.63","7.63","7.63","7.63","47000"
"WSB","2011-03-08","7.74","7.79","7.74","7.79","1500"
"WSB","2011-03-10","7.53","7.53","7.53","7.53","1100"
"WSB","2011-03-11","7.79","7.79","7.63","7.63","36400"
"WSB","2011-03-14","7.63","7.63","7.58","7.58","48300"
"WSB","2011-03-15","7.74","7.74","7.53","7.53","44400"
"WSB","2011-03-16","7.63","7.63","7.63","7.63","100"
"WSB","2011-03-17","7.53","7.53","7.53","7.53","7800"
"WSB","2011-03-18","7.53","7.63","7.53","7.53","16000"
"WSB","2011-03-21","8.04","8.04","8.04","8.04","100"
"WSB","2011-03-23","8.84","8.84","8.84","8.84","5000"
"WSB","2011-03-24","8.29","8.49","8.29","8.49","2300"
"WSB","2011-03-28","7.53","7.53","7.53","7.53","5400"
"WSB","2011-03-29","7.58","7.58","7.53","7.53","13000"
"WSB","2011-03-30","7.53","7.53","7.53","7.53","6900"
"WSB","2011-03-31","7.53","7.53","7.53","7.53","4500"
"WSB","2011-04-04","7.33","7.33","7.28","7.28","1300"
"WSB","2011-04-05","7.23","7.23","7.23","7.23","1000"
"WSB","2011-04-14","7.79","7.79","7.79","7.79","100"
"WSB","2011-04-18","7.13","7.13","7.13","7.13","700"
"WSB","2011-04-19","7.13","7.13","7.13","7.13","1400"
"WSB","2011-04-20","7.23","7.23","7.23","7.23","2000"
