symbol,date,open,high,low,close,volume
"YEG","2018-06-26","300","300","300","300","6100"
"YEG","2018-06-27","321","321","321","321","16860"
"YEG","2018-06-28","342","343.4","342","343","76700"
"YEG","2018-06-29","321","321","319","319","1800"
"YEG","2018-07-02","296.7","296.7","296.7","296.7","10610"
"YEG","2018-07-03","296.7","296.7","276","276","10050"
"YEG","2018-07-04","256.7","256.7","256.7","256.7","10000"
"YEG","2018-07-05","238.8","241","238.8","241","123420"
"YEG","2018-07-06","224.2","230","224.2","225","16270"
"YEG","2018-07-09","225","240.7","218.5","240.7","11290"
"YEG","2018-07-10","257.5","257.5","231","256.5","37640"
"YEG","2018-07-11","256.5","256.5","246","250","13200"
"YEG","2018-07-12","250","250","232.5","244","18810"
"YEG","2018-07-13","249.5","249.9","232.5","245.4","35730"
"YEG","2018-07-16","245.4","245.4","235","245","3810"
"YEG","2018-07-17","245","247","239","239","6870"
"YEG","2018-07-18","227","244.9","225","244.9","8530"
"YEG","2018-07-19","228","244.9","228","244.9","4450"
"YEG","2018-07-20","230","230","227.8","228","3220"
"YEG","2018-07-23","228","228.2","218.7","221","1060"
"YEG","2018-07-24","219.1","235","207","235","5680"
"YEG","2018-07-25","220.5","251.4","218.6","251.4","6190"
"YEG","2018-07-26","233.9","248","233.9","233.9","590"
"YEG","2018-07-27","217.6","218.2","217.6","217.6","5750"
"YEG","2018-07-30","202.4","202.5","202.4","202.4","29730"
"YEG","2018-07-31","200.1","202.4","200","202.4","860"
"YEG","2018-08-01","200","202","190.8","200.9","1150"
"YEG","2018-08-02","195","199.9","187","191.1","1560"
"YEG","2018-08-03","200","200","195","200","620"
"YEG","2018-08-06","200","200","191","191","2210"
"YEG","2018-08-07","192","195","192","194","230"
"YEG","2018-08-08","196.3","197","194","197","2220"
"YEG","2018-08-09","196","199.7","195","197","480"
"YEG","2018-08-10","195","198.8","195","195","3080"
"YEG","2018-08-13","199.7","199.7","195","196.7","360"
"YEG","2018-08-14","198.4","199","192","196.1","6220"
"YEG","2018-08-15","198.2","198.2","193.5","197.1","1750"
"YEG","2018-08-16","197.1","197.1","190.1","196","510"
"YEG","2018-08-17","195","198.9","194.5","195","10480"
"YEG","2018-08-20","197.9","198.5","185","197.8","60190"
"YEG","2018-08-21","197.8","198.1","196","198","19930"
"YEG","2018-08-23","195.5","195.5","181.9","181.9","14060"
"YEG","2018-08-24","188.9","194.6","180","194.6","13260"
"YEG","2018-08-27","195","196","181","181","26360"
"YEG","2018-08-28","185","193.6","185","193.6","7340"
"YEG","2018-08-29","196","200","195.5","198","26110"
"YEG","2018-08-30","197.9","199","188","197","7220"
"YEG","2018-08-31","200","200","194.9","196","12700"
"YEG","2018-09-04","209.7","209.7","209.7","209.7","142940"
"YEG","2018-09-05","224.3","224.3","224.3","224.3","43200"
"YEG","2018-09-06","240","240","224.3","235","47180"
"YEG","2018-09-07","218.6","235","218.6","218.6","27120"
"YEG","2018-09-10","218","218.6","203.3","217","27320"
"YEG","2018-09-11","213.9","217","210","216.4","43640"
"YEG","2018-09-12","216.4","221","215.5","218.9","22050"
"YEG","2018-09-13","217","220.1","217","219.3","21050"
"YEG","2018-09-14","220.5","221.4","219.3","221.4","51660"
"YEG","2018-09-17","221.9","234","219.4","234","18800"
"YEG","2018-09-18","234","235","225.6","235","3850"
"YEG","2018-09-19","235","236","229","229","6180"
"YEG","2018-09-20","229","232.8","222","229","32370"
"YEG","2018-09-21","229","233","225","230","5240"
"YEG","2018-09-24","222.1","222.1","219","221.5","3790"
"YEG","2018-09-25","221.5","225","216","220","3200"
"YEG","2018-09-26","225","225","214","223.7","6080"
"YEG","2018-09-27","231","231","218","222","18120"
"YEG","2018-09-28","222","222","221","222","8540"
"YEG","2018-10-01","222","224.9","220","224.9","5210"
"YEG","2018-10-02","224.9","225","222","224.9","7030"
"YEG","2018-10-03","226","230","225","228.3","6270"
"YEG","2018-10-04","232","232","227","227","3780"
"YEG","2018-10-05","227","230.1","227","230.1","27970"
"YEG","2018-10-08","232.2","239.8","226.5","239","14710"
"YEG","2018-10-09","240.2","245","240","244","15330"
"YEG","2018-10-10","244","244","239.1","239.1","20860"
"YEG","2018-10-11","239.1","239.1","227.2","228","14860"
