symbol,date,open,high,low,close,volume
"YTC","2017-08-03","26.74","26.74","26.74","26.74","100"
"YTC","2017-08-04","30.69","30.69","30.69","30.69","3000"
"YTC","2017-08-07","30.69","30.69","30.69","30.69","500"
"YTC","2017-08-08","30.69","30.69","26.11","26.11","5500"
"YTC","2017-08-09","31.41","32.03","31.41","32.03","10000"
"YTC","2017-08-10","28.71","28.71","27.82","27.82","1500"
"YTC","2017-08-11","28.27","28.27","28.27","28.27","500"
"YTC","2017-08-14","27.82","27.82","27.82","27.82","500"
"YTC","2017-08-16","27.37","27.37","27.37","27.37","500"
"YTC","2017-08-17","26.92","26.92","26.92","26.92","500"
"YTC","2017-08-18","27.37","27.37","27.37","27.37","2500"
"YTC","2017-08-21","26.92","26.92","26.47","26.47","1200"
"YTC","2017-08-22","26.92","30.51","26.92","30.51","67700"
"YTC","2017-08-23","26.92","26.92","26.47","26.47","5500"
"YTC","2017-08-24","26.92","26.92","26.92","26.92","5000"
"YTC","2017-08-30","24.23","24.23","24.23","24.23","100"
"YTC","2017-09-05","27.82","27.82","27.82","27.82","1500"
"YTC","2017-09-06","28.71","28.71","28.71","28.71","5000"
"YTC","2017-09-07","33.02","33.02","33.02","33.02","100"
"YTC","2017-09-08","35.89","35.89","35.89","35.89","100"
"YTC","2017-09-11","41.28","41.28","34.99","34.99","1100"
"YTC","2017-09-13","30.51","30.51","30.51","30.51","100"
"YTC","2017-09-18","32.75","32.75","32.75","32.75","100"
"YTC","2017-09-20","35.44","35.44","35.44","35.44","100"
"YTC","2017-09-21","30.15","30.15","30.15","30.15","100"
"YTC","2017-09-22","33.2","33.2","33.2","33.2","100"
"YTC","2017-09-25","35.89","35.89","35.44","35.44","400"
"YTC","2017-09-27","30.24","30.24","30.24","30.24","100"
"YTC","2017-09-28","25.75","34.1","25.75","34.1","300"
"YTC","2017-09-29","35.89","35.89","35.89","35.89","100"
"YTC","2017-10-05","32.3","32.3","32.3","32.3","200"
"YTC","2017-10-24","27.82","27.82","27.82","27.82","2200"
"YTC","2017-10-31","30.42","30.42","30.42","30.42","100"
"YTC","2017-11-01","34.1","34.1","34.1","34.1","100"
"YTC","2017-11-02","31.68","31.68","31.68","31.68","100"
"YTC","2017-11-10","27.01","27.01","27.01","27.01","100"
"YTC","2017-11-14","31.05","31.05","31.05","31.05","100"
"YTC","2017-11-28","26.92","26.92","26.47","26.47","900"
"YTC","2017-11-29","30.6","30.6","30.6","30.6","100"
"YTC","2017-11-30","34.1","34.1","34.1","34.1","100"
"YTC","2017-12-01","28.98","28.98","28.98","28.98","25500"
"YTC","2017-12-05","32.75","33.29","32.75","33.29","600"
"YTC","2017-12-11","28.27","28.27","28.27","28.27","600"
"YTC","2017-12-12","25.13","32.48","25.13","32.48","400"
"YTC","2017-12-13","27.01","32.48","32.48","32.48","50"
"YTC","2017-12-14","30.96","30.96","30.96","30.96","100"
"YTC","2017-12-15","30.96","30.96","30.96","30.96","10"
"YTC","2017-12-19","26.38","26.38","26.38","26.38","200"
"YTC","2017-12-20","26.38","26.38","26.38","26.38","10"
"YTC","2017-12-21","26.38","26.38","26.38","26.38","31"
"YTC","2017-12-25","30.24","30.24","30.24","30.24","100"
"YTC","2017-12-26","30.24","30.24","30.24","30.24","2500"
"YTC","2018-01-03","34.1","34.1","34.1","34.1","100"
"YTC","2018-01-15","31.41","31.41","31.41","31.41","100"
"YTC","2018-01-23","31.41","31.41","31.41","31.41","2300"
"YTC","2018-01-24","35.89","35.89","34.55","35.89","2700"
"YTC","2018-01-25","35.89","40.38","35.89","40.38","300"
"YTC","2018-01-29","32.3","32.3","32.3","32.3","800"
"YTC","2018-01-30","34.01","34.01","34.01","34.01","100"
"YTC","2018-02-02","36.31","36.31","36.31","36.31","100"
"YTC","2018-02-06","30.88","30.88","30.88","30.88","500"
"YTC","2018-02-07","35.48","35.48","35.48","35.48","100"
"YTC","2018-02-12","39.17","39.17","39.17","39.17","100"
"YTC","2018-02-28","42.86","42.86","42.86","42.86","100"
"YTC","2018-03-05","45.62","45.62","45.62","45.62","100"
"YTC","2018-03-08","46.08","50.23","38.8","46.08","7400"
"YTC","2018-03-09","46.08","46.08","36.04","38.71","7900"
"YTC","2018-03-12","45.62","45.62","44.15","44.15","1240"
"YTC","2018-03-13","38.71","47.01","38.71","47.01","300"
"YTC","2018-03-14","43.78","43.78","39.17","43.32","1700"
"YTC","2018-03-15","44.7","44.7","44.7","44.7","200"
"YTC","2018-03-16","45.16","45.16","45.16","45.16","100"
"YTC","2018-03-19","49.77","49.77","49.77","49.77","100"
"YTC","2018-03-26","49.77","49.77","49.77","49.77","2"
"YTC","2018-03-27","49.77","49.77","49.77","49.77","7"
"YTC","2018-03-29","55.3","55.3","55.3","55.3","100"
"YTC","2018-04-02","61.75","61.75","61.75","61.75","100"
"YTC","2018-04-04","61.75","61.75","61.75","61.75","2"
"YTC","2018-04-13","61.75","61.75","61.75","61.75","2"
"YTC","2018-04-16","61.75","61.75","61.75","61.75","3"
"YTC","2018-04-17","61.75","61.75","61.75","61.75","1"
"YTC","2018-04-26","61.75","61.75","61.75","61.75","1"
"YTC","2018-05-02","52.53","52.53","52.53","52.53","100"
"YTC","2018-05-03","52.53","52.53","52.53","52.53","2"
"YTC","2018-05-04","52.53","52.53","52.53","52.53","2"
"YTC","2018-05-09","44.7","45.16","44.7","45.16","1000"
